district,BALLOTS CAST,JOSEPH R BIDEN,DONALD J TRUMP
34,75026,33923,38472
41,207250,139289,59909
40,266288,149512,107038
42,103314,69558,29854
49,193390,126372,59298
61,210285,170992,31287
39,88526,56660,28263
48,202021,128291,66564
67,39280,24432,13391
65,169857,132059,31116
69,220004,154470,56583
56,214304,137793,68510
64,180189,118122,54892
62,169432,120631,41954
52,227797,180764,38644
51,260873,200046,52335
55,244149,202961,33111
44,273897,184532,79388
46,220871,147644,65137
54,149693,115044,28693
66,265196,163456,90543
57,130245,109535,15887
53,50908,35492,13362
43,175319,127253,41276
