Page: 2 of 35,,,,,,,,,,,3/27/2020 3:38:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEMOCRATIC PARTY PRESIDENTIAL PREFERENCE (Vote for  1) 
DEM  **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,"Registered 
Voters",,Precinct,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,"NAKIA L. ANTHONY
Qualified Write In 
",,"DAPHNE DENISE BRADFORD
Qualified Write In 
",,"WILLIE FELIX CARTER
Qualified Write In 
",,"MICHAEL DENAME
Qualified Write In 
",,"JEFFREY H. DROBMAN
Qualified Write In 
",,"ROBERT JORDAN
Qualified Write In 
",,"HEATHER MARIE STAGG
Qualified Write In 
",
County,,,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa County,,,,Contra Costa County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALHA101 0,,,,ALHA101 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,204,295,,Vote By Mail,0,0.00%,0,0.00%,22,11.00%,,0,0.00%,2,1.00%,,0,0.00%,0,0.00%,14,7.00%,51,25.50%,0,0.00%,1,0.50%,0,0.00%,0,0.00%,40,20.00%,0,0.00%,0,0.00%,12,6.00%,55,27.50%,3,1.50%,0,0.00%,200,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,51,295,,Election Day,0,0.00%,0,0.00%,5,9.80%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,12,23.53%,0,0.00%,2,3.92%,0,0.00%,0,0.00%,8,15.69%,0,0.00%,0,0.00%,0,0.00%,23,45.10%,1,1.96%,0,0.00%,51,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,255,295,,Total,0,0.00%,0,0.00%,27,10.76%,,0,0.00%,2,0.80%,,0,0.00%,0,0.00%,14,5.58%,63,25.10%,0,0.00%,3,1.20%,0,0.00%,0,0.00%,48,19.12%,0,0.00%,0,0.00%,12,4.78%,78,31.08%,4,1.59%,0,0.00%,251,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALHA801 0,,,,ALHA801 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,8,16,,Vote By Mail,****,****,****,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
