2020 Inyo Presidential Primary,5.10.11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - PF (Vote For=1),President of the US - PF (Vote For=1),President of the US - PF (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),"County Supervisor, 2nd District (Vote For=1)","County Supervisor, 2nd District (Vote For=1)","County Supervisor, 2nd District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 5th District (Vote For=1)","County Supervisor, 5th District (Vote For=1)",State Proposition 13 (Vote For=1),State Proposition 13 (Vote For=1),Measure M- School Bond Measure (Vote For=1),Measure M- School Bond Measure (Vote For=1)
,,,,,,,,JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,Write-in,NAKIA L. ANTHONY,DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,MICHAEL DENAME,JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG,ROBERT ARDINI,JOE WALSH,BILL WELD,"ROQUE ""ROCKY"" DE LA FUENTE",MATTHEW JOHN MATERN,ZOLTAN G. ISTVAN,DONALD J. TRUMP,Write-in,DENIS C. GRASSKA,ROBERT LEE MANNING JR.,PHIL COLLINS,"ROQUE ""ROCKY"" DE LA FUENTE",CHARLES KRAUT,J.R. MYERS,DON BLANKENSHIP,Write-in,DAVID ROLDE,HOWIE HAWKINS,DARIO HUNTER,DENNIS LAMBERT,SEDINAM MOYOWASIFZA-CURRY,Write-in,KENT MESPLAY,KEN ARMSTRONG,MAX ABRAMSON,SAM ROBB,KIM RUFF,STEVEN A RICHEY,JACOB HORNBERGER,SOURAYA FAAS,KEENAN WALLACE DUNHAM,ADAM KOKESH,VERMIN SUPREME,JO JORGENSEN,DAN BEHRMAN,ERIK CHASE GERHARDT,Write-in,NICHOLAS D'ARTAGNAN DUMAS,GEBY EVA ESPINOSA,JAMES ORLANDO OGLE,HOWIE HAWKINS,GLORIA LA RIVA,Write-in,BOB CONAWAY,JAMES ELLARS,JEFF ESMUS,JUSTIN DAVID WHITEHEAD,JERRY LAWS,JAY OBERNOLTE,TIM DONNELLY,JEREMY STAAT,CHRISTINE BUBSER,Write-in,J. GREEN,DEVON MATHIS,DREW PHELPS,Write-in,PHILIP T. ASHWORTH,SUSANNE MARIE RIZO,BRIAN LAMB,Write-in,HEATHER F. LIND,JEFF GRIFFITHS,Write-in,JEN ROESER,DEENA DAVENPORT CONWAY,DONALD BRIGHT,Write-in,MATT KINGSLEY,Write-in,YES,NO,BONDS-YES,BONDS-NO
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,PrecinctPortion,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,,,,,,,,,REP,REP,REP,REP,REP,REP,REP,,,,AI,AI,AI,AI,AI,,GRN,GRN,GRN,GRN,GRN,,,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,,,,,PF,PF,,DEM,DEM,NPP,REP,REP,REP,REP,REP,DEM,,,REP,DEM,,,,,,,,,,,,,,,,,,
1,2,1,1,2-1-1,Vote by Mail,117 (117),5 (5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,0,0,0,1,0,1
2,2,1,3,2-1-3,Vote by Mail,117 (117),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,0,0,0,1,0,1
3,2,1,4,2-1-4,Vote by Mail,117 (117),5 (5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,1,0,0,1,1,0
4,2,1,5,2-1-5,Vote by Mail,117 (117),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,0,1
5,2,1,6,2-1-6,Vote by Mail,117 (117),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,0,1
6,2,1,7,2-1-7,Vote by Mail,117 (117),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,1,0,1,0,1,0
7,2,1,8,2-1-8,Vote by Mail,117 (117),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,1,0,0,1,1,0
8,2,1,9,2-1-9,Vote by Mail,117 (117),5 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,0,0,1,0,1
