County                        Registered Voters             Ballots Cast                  Voter Turnout                 
01001                         738                           226                           30.62%
01002                         969                           318                           32.82%
01003                         1089                          376                           34.53%
01004                         689                           232                           33.67%
01005                         1559                          536                           34.38%
01006                         1130                          366                           32.39%
01007                         685                           219                           31.97%
01008                         974                           326                           33.47%
01009                         544                           149                           27.39%
01010                         954                           236                           24.74%
01011                         485                           124                           25.57%
01012                         429                           141                           32.87%
01013                         467                           147                           31.48%
01014                         297                           106                           35.69%
01015                         605                           267                           44.13%
01016                         672                           264                           39.29%
01017                         386                           199                           51.55%
02018                         509                           329                           64.64%
02019                         404                           261                           64.60%
02020                         391                           255                           65.22%
02021                         589                           290                           49.24%
02022                         330                           165                           50.00%
02023                         478                           290                           60.67%
02024                         407                           146                           35.87%
02025                         1069                          497                           46.49%
02026                         508                           272                           53.54%
02027                         830                           439                           52.89%
02028                         375                           185                           49.33%
02029                         735                           297                           40.41%
02030                         899                           428                           47.61%
02031                         652                           316                           48.47%
02032                         754                           302                           40.05%
02033                         576                           240                           41.67%
02034                         922                           259                           28.09%
02035                         367                           140                           38.15%
02036                         666                           352                           52.85%
02037                         806                           386                           47.89%
02038                         302                           193                           63.91%
02039                         556                           264                           47.48%
02040                         413                           193                           46.73%
02041                         939                           537                           57.19%
02042                         873                           504                           57.73%
02043                         900                           466                           51.78%
02044                         305                           106                           34.75%
02045                         819                           313                           38.22%
02046                         599                           323                           53.92%
02047                         1599                          753                           47.09%
02048                         531                           325                           61.21%
02049                         378                           125                           33.07%
02050                         288                           126                           43.75%
02051                         703                           412                           58.61%
02052                         631                           357                           56.58%
02053                         269                           141                           52.42%
02054                         374                           253                           67.65%
02055                         435                           285                           65.52%
02056                         271                           540                           199.26%
03057                         1185                          407                           34.35%
03058                         881                           318                           36.10%
03059                         1152                          482                           41.84%
03060                         828                           344                           41.55%
03061                         1410                          572                           40.57%
03062                         1111                          385                           34.65%
03063                         503                           218                           43.34%
03064                         1063                          547                           51.46%
03065                         934                           497                           53.21%
03066                         871                           309                           35.48%
03067                         565                           317                           56.11%
03068                         1000                          398                           39.80%
03069                         441                           182                           41.27%
03070                         844                           481                           56.99%
03071                         338                           145                           42.90%
03072                         1025                          363                           35.41%
03073                         1080                          311                           28.80%
03074                         956                           545                           57.01%
03075                         675                           355                           52.59%
03076                         326                           179                           54.91%
03077                         1222                          386                           31.59%
03078                         1125                          532                           47.29%
03079                         923                           343                           37.16%
03080                         738                           251                           34.01%
03081                         620                           281                           45.32%
04082                         299                           157                           52.51%
04083                         454                           211                           46.48%
04084                         369                           214                           57.99%
04085                         327                           126                           38.53%
04086                         593                           259                           43.68%
04087                         1344                          464                           34.52%
04088                         1507                          501                           33.24%
04089                         448                           300                           66.96%
04090                         655                           296                           45.19%
04091                         530                           282                           53.21%
04092                         594                           280                           47.14%
04093                         305                           178                           58.36%
04094                         1337                          645                           48.24%
04095                         451                           270                           59.87%
04096                         1053                          549                           52.14%
04097                         620                           346                           55.81%
04098                         270                           172                           63.70%
04099                         624                           272                           43.59%
04100                         344                           196                           56.98%
04101                         974                           344                           35.32%
04102                         1193                          341                           28.58%
04103                         983                           309                           31.43%
05104                         546                           286                           52.38%
05105                         1015                          421                           41.48%
05106                         1065                          463                           43.47%
05107                         768                           299                           38.93%
05108                         1108                          427                           38.54%
05109                         927                           414                           44.66%
05110                         838                           414                           49.40%
05111                         1082                          383                           35.40%
05112                         476                           205                           43.07%
05113                         1213                          504                           41.55%
05114                         540                           364                           67.41%
05115                         1276                          506                           39.66%
05116                         1115                          363                           32.56%
05117                         1265                          442                           34.94%
05118                         1620                          539                           33.27%
05119                         925                           422                           45.62%
05120                         897                           292                           32.55%
05121                         617                           182                           29.50%
05122                         451                           127                           28.16%
05123                         301                           117                           38.87%
05124                         369                           95                            25.75%
05125                         423                           180                           42.55%
05126                         656                           290                           44.21%
05127                         506                           239                           47.23%
91128                         12                            2                             16.67%
91129                         34                            9                             26.47%
91130                         106                           19                            17.92%
91131                         10                            5                             50.00%
91132                         5                             3                             60.00%
91133                         149                           90                            60.40%
91134                         74                            46                            62.16%
91135                         1                             0                             0.00%
91136                         17                            9                             52.94%
91137                         35                            17                            48.57%
91138                         263                           113                           42.97%
91139                         56                            31                            55.36%
91140                         30                            5                             16.67%
91141                         12                            11                            91.67%
91142                         151                           90                            59.60%
91143                         8                             7                             87.50%
91144                         161                           63                            39.13%
91145                         143                           53                            37.06%
91146                         177                           72                            40.68%
91147                         13                            7                             53.85%
91148                         189                           111                           58.73%
91149                         131                           70                            53.44%
91150                         85                            38                            44.71%
91151                         4                             3                             75.00%
91152                         4                             0                             0.00%
91153                         8                             2                             25.00%
91154                         10                            7                             70.00%
91155                         2                             0                             0.00%
91156                         163                           90                            55.21%
91157                         91                            39                            42.86%
91158                         0                             0                             0.00%
91159                         2                             2                             100.00%
91160                         241                           78                            32.37%
91161                         102                           38                            37.25%
91162                         0                             0                             0.00%
91163                         97                            31                            31.96%
91164                         3                             0                             0.00%
91165                         166                           32                            19.28%
91166                         73                            28                            38.36%
91167                         144                           96                            66.67%
91168                         64                            46                            71.88%
91169                         10                            6                             60.00%
91170                         41                            14                            34.15%
91171                         18                            9                             50.00%
91172                         83                            24                            28.92%
91173                         80                            20                            25.00%
92174                         54                            36                            66.67%
92175                         190                           111                           58.42%
92176                         34                            13                            38.24%
92177                         17                            11                            64.71%
92178                         12                            4                             33.33%
92179                         146                           63                            43.15%
92180                         0                             0                             0.00%
92181                         1                             0                             0.00%
92182                         42                            17                            40.48%
92183                         138                           42                            30.43%
92184                         48                            13                            27.08%
92185                         5                             1                             20.00%
92186                         110                           42                            38.18%
92187                         182                           78                            42.86%
92188                         207                           87                            42.03%
92189                         214                           91                            42.52%
92190                         200                           84                            42.00%
92191                         112                           46                            41.07%
92192                         16                            2                             12.50%
92193                         123                           54                            43.90%
93194                         20                            5                             25.00%
93195                         202                           69                            34.16%
93196                         204                           82                            40.20%
93197                         11                            3                             27.27%
93198                         1                             0                             0.00%
93199                         185                           127                           68.65%
93200                         2                             2                             100.00%
93201                         16                            1                             6.25%
93202                         137                           95                            69.34%
93203                         58                            34                            58.62%
93204                         15                            7                             46.67%
93205                         42                            16                            38.10%
93206                         25                            4                             16.00%
93207                         46                            19                            41.30%
93208                         68                            40                            58.82%
93209                         57                            36                            63.16%
93210                         5                             1                             20.00%
93211                         34                            26                            76.47%
93212                         135                           84                            62.22%
93213                         3                             2                             66.67%
94214                         66                            43                            65.15%
94215                         18                            11                            61.11%
94216                         87                            40                            45.98%
94217                         111                           53                            47.75%
94218                         279                           99                            35.48%
94219                         165                           61                            36.97%
94220                         23                            9                             39.13%
94221                         174                           80                            45.98%
94222                         22                            17                            77.27%
94223                         117                           67                            57.26%
94224                         80                            46                            57.50%
94225                         76                            42                            55.26%
94226                         127                           56                            44.09%
94227                         194                           73                            37.63%
94228                         117                           43                            36.75%
94229                         53                            19                            35.85%
94230                         216                           117                           54.17%
94231                         25                            15                            60.00%
94232                         9                             6                             66.67%
94233                         5                             3                             60.00%
94234                         139                           66                            47.48%
94235                         7                             3                             42.86%
94236                         12                            3                             25.00%
94237                         108                           49                            45.37%
94238                         132                           66                            50.00%
94239                         77                            31                            40.26%
94240                         67                            23                            34.33%
94241                         126                           88                            69.84%
94242                         41                            20                            48.78%
94243                         235                           124                           52.77%
94244                         89                            49                            55.06%
94245                         134                           60                            44.78%
94246                         78                            40                            51.28%
94247                         27                            3                             11.11%
95248                         53                            35                            66.04%
95249                         4                             4                             100.00%
95250                         13                            8                             61.54%
95251                         191                           100                           52.36%
95252                         40                            20                            50.00%
95253                         0                             0                             0.00%
95254                         198                           72                            36.36%
95255                         177                           70                            39.55%
95256                         88                            25                            28.41%
95257                         150                           76                            50.67%
95258                         9                             3                             33.33%
95259                         0                             0                             0.00%
95260                         232                           102                           43.97%
95261                         3                             1                             33.33%
95262                         7                             5                             71.43%
95263                         1                             0                             0.00%
95264                         16                            9                             56.25%
95265                         176                           84                            47.73%
95266                         18                            10                            55.56%
95267                         11                            1                             9.09%
95268                         0                             0                             0.00%
95269                         256                           100                           39.06%
Total:                        104477                        45265                         43.33%

                                                                                                                                                                                                                                                                                               American Independent Party Presidential Preference (Vote For 1)
                                                            Write-in                                                                                  PHIL COLLINS                                                                              DON BLANKENSHIP                                                                           ROQUE "ROCKY" DE LA FUENTE                                                                J.R. MYERS                                                                                CHARLES KRAUT                                                                             
County                        Registered Voters             Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Total                         
01001                         738                           1                             1                             2                             0                             1                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             4                             
01002                         969                           1                             0                             1                             0                             1                             1                             0                             0                             0                             2                             1                             3                             0                             0                             0                             0                             0                             0                             5                             
01003                         1089                          3                             0                             3                             1                             1                             2                             0                             2                             2                             1                             0                             1                             1                             0                             1                             0                             0                             0                             9                             
01004                         689                           2                             0                             2                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             3                             
01005                         1559                          2                             0                             2                             2                             1                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             6                             
