,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,,,,,County Jurisdiction,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes
C08S16A33E1B1AVUAPP0001,79,1,,5,0,C08S16A33E1B1AVUAPP0001,1,1.35%,0,,0.00%,2,2.70%,0,,0.00%,1,1.35%,0,0.00%,0,0.00%,0,0.00%,44,59.46%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,4.05%,0,0.00%,0,0.00%,0,0.00%,23,31.08%,0,0.00%,0,0.00%,0,0.00%,74
C08S16A33E1B1AVUUNI0002,10,33,,2,0,C08S16A33E1B1AVUUNI0002,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,50.00%,0,0.00%,0,0.00%,0,0.00%,1,12.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,37.50%,0,0.00%,0,0.00%,0,0.00%,8
C08S16A33E1B1AVUUNI0003,8,19,,0,0,C08S16A33E1B1AVUUNI0003,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,25.00%,3,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,25.00%,0,0.00%,0,0.00%,0,0.00%,1,12.50%,0,0.00%,0,0.00%,0,0.00%,8
C08S16A33E1B1AVUUNI0004,0,0,,0,0,C08S16A33E1B1AVUUNI0004,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1AVUUNI0005,0,0,,0,0,C08S16A33E1B1AVUUNI0005,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1AVUAPP0006,0,0,,0,0,C08S16A33E1B1AVUAPP0006,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1AVUUNI0007,0,0,,0,0,C08S16A33E1B1AVUUNI0007,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1AVUUNI0008,0,0,,0,0,C08S16A33E1B1AVUUNI0008,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1AVUUNI0009,0,0,,0,0,C08S16A33E1B1AVUUNI0009,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1AVUUNI0010,4,2,,****,****,C08S16A33E1B1AVUUNI0010,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1AVUUNI0011,119,926,,8,0,C08S16A33E1B1AVUUNI0011,0,0.00%,0,,0.00%,5,4.50%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.90%,43,38.74%,0,0.00%,6,5.41%,0,0.00%,1,0.90%,14,12.61%,0,0.00%,0,0.00%,7,6.31%,32,28.83%,1,0.90%,1,0.90%,0,0.00%,111
C08S16A33E1B1AVUUNI0012,66,458,,4,0,C08S16A33E1B1AVUUNI0012,1,1.61%,0,,0.00%,7,11.29%,0,,0.00%,1,1.61%,0,0.00%,0,0.00%,1,1.61%,24,38.71%,0,0.00%,1,1.61%,0,0.00%,0,0.00%,7,11.29%,0,0.00%,1,1.61%,2,3.23%,16,25.81%,1,1.61%,0,0.00%,0,0.00%,62
C08S16A33E1B1AVUUNI0013,22,172,,2,0,C08S16A33E1B1AVUUNI0013,0,0.00%,0,,0.00%,1,5.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,60.00%,0,0.00%,0,0.00%,1,5.00%,0,0.00%,1,5.00%,0,0.00%,0,0.00%,0,0.00%,5,25.00%,0,0.00%,0,0.00%,0,0.00%,20
C08S16A33E1B1AVUUNI0014,76,514,,2,0,C08S16A33E1B1AVUUNI0014,0,0.00%,0,,0.00%,4,5.41%,0,,0.00%,1,1.35%,0,0.00%,0,0.00%,2,2.70%,27,36.49%,0,0.00%,2,2.70%,0,0.00%,0,0.00%,10,13.51%,0,0.00%,0,0.00%,1,1.35%,26,35.14%,1,1.35%,0,0.00%,0,0.00%,74
C08S16A33E1B1AVUUNI0015,27,357,,2,0,C08S16A33E1B1AVUUNI0015,0,0.00%,0,,0.00%,3,12.00%,1,,4.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,4.00%,0,0.00%,0,0.00%,0,0.00%,10,40.00%,0,0.00%,0,0.00%,0,0.00%,25
C08S16A33E1B1AVUUNI0016,8,25,,0,0,C08S16A33E1B1AVUUNI0016,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,25.00%,0,0.00%,0,0.00%,0,0.00%,3,37.50%,0,0.00%,0,0.00%,0,0.00%,8
C08S16A33E1B1AVUUNI0017,33,362,,4,0,C08S16A33E1B1AVUUNI0017,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,31.03%,0,0.00%,0,0.00%,0,0.00%,1,3.45%,4,13.79%,1,3.45%,0,0.00%,3,10.34%,11,37.93%,0,0.00%,0,0.00%,0,0.00%,29
C08S16A33E1B1AVUUNI0018,36,290,,0,1,C08S16A33E1B1AVUUNI0018,0,0.00%,0,,0.00%,3,8.57%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,3,8.57%,7,20.00%,0,0.00%,4,11.43%,0,0.00%,2,5.71%,0,0.00%,0,0.00%,0,0.00%,4,11.43%,12,34.29%,0,0.00%,0,0.00%,0,0.00%,35
C08S16A33E1B1AVUUNI0019,2,28,,****,****,C08S16A33E1B1AVUUNI0019,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1AVUUNI0020,11,110,,0,0,C08S16A33E1B1AVUUNI0020,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,9.09%,0,0.00%,0,0.00%,7,63.64%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,27.27%,0,0.00%,0,0.00%,0,0.00%,11
C08S16A33E1B1AVUUNI0021,0,0,,0,0,C08S16A33E1B1AVUUNI0021,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BKUUNI0022,3,7,,****,****,C08S16A33E1B1BKUUNI0022,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1BKUUNI0023,7,126,,0,0,C08S16A33E1B1BKUUNI0023,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,57.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,42.86%,0,0.00%,0,0.00%,0,0.00%,7
C08S16A33E1B1BKUUNI0024,0,0,,0,0,C08S16A33E1B1BKUUNI0024,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BKUUNI0025,0,0,,0,0,C08S16A33E1B1BKUUNI0025,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BKUUNI0026,5,20,,****,****,C08S16A33E1B1BKUUNI0026,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1BKUUNI0027,0,0,,0,0,C08S16A33E1B1BKUUNI0027,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BKUUNI0028,0,0,,0,0,C08S16A33E1B1BKUUNI0028,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BKUUNI0029,3,14,,****,****,C08S16A33E1B1BKUUNI0029,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1BRUUNI0030,1,1,,****,****,C08S16A33E1B1BRUUNI0030,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
