Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Pct 1101,,,,Pct 1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,34,20.36%,,0,0.00%,6,3.59%,,0,0.00%,0,0.00%,5,2.99%,62,37.13%,0,0.00%,1,0.60%,0,0.00%,0,0.00%,23,13.77%,0,0.00%,0,0.00%,11,6.59%,25,14.97%,0,0.00%,0,0.00%,0,0.00%,167,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,10,11.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,46,54.12%,1,1.18%,1,1.18%,0,0.00%,0,0.00%,6,7.06%,0,0.00%,0,0.00%,1,1.18%,20,23.53%,0,0.00%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,44,17.46%,,0,0.00%,6,2.38%,,0,0.00%,0,0.00%,5,1.98%,108,42.86%,1,0.40%,2,0.79%,0,0.00%,0,0.00%,29,11.51%,0,0.00%,0,0.00%,12,4.76%,45,17.86%,0,0.00%,0,0.00%,0,0.00%,252,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1102,,,,Pct 1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,69,24.21%,,0,0.00%,3,1.05%,,0,0.00%,0,0.00%,3,1.05%,102,35.79%,0,0.00%,4,1.40%,0,0.00%,0,0.00%,35,12.28%,0,0.00%,0,0.00%,13,4.56%,55,19.30%,1,0.35%,0,0.00%,0,0.00%,285,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,44,22.22%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,84,42.42%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,9.60%,0,0.00%,0,0.00%,0,0.00%,50,25.25%,1,0.51%,0,0.00%,0,0.00%,198,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,1,,Total,0,0.00%,0,0.00%,113,23.40%,,0,0.00%,3,0.62%,,0,0.00%,0,0.00%,3,0.62%,186,38.51%,0,0.00%,4,0.83%,0,0.00%,0,0.00%,54,11.18%,0,0.00%,0,0.00%,13,2.69%,105,21.74%,2,0.41%,0,0.00%,0,0.00%,483,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1103,,,,Pct 1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,5,0,,Vote by Mail,2,0.70%,0,0.00%,63,22.03%,,0,0.00%,6,2.10%,,0,0.00%,2,0.70%,1,0.35%,96,33.57%,0,0.00%,1,0.35%,0,0.00%,0,0.00%,36,12.59%,0,0.00%,0,0.00%,14,4.90%,62,21.68%,3,1.05%,0,0.00%,0,0.00%,286,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,1,0.55%,0,0.00%,40,22.10%,,0,0.00%,1,0.55%,,0,0.00%,0,0.00%,0,0.00%,81,44.75%,0,0.00%,1,0.55%,0,0.00%,0,0.00%,12,6.63%,0,0.00%,0,0.00%,0,0.00%,45,24.86%,0,0.00%,0,0.00%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,3,0.64%,0,0.00%,103,22.06%,,0,0.00%,7,1.50%,,0,0.00%,2,0.43%,1,0.21%,177,37.90%,0,0.00%,2,0.43%,0,0.00%,0,0.00%,48,10.28%,0,0.00%,0,0.00%,14,3.00%,107,22.91%,3,0.64%,0,0.00%,0,0.00%,467,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1104/1105,,,,Pct 1104/1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,2,0.74%,0,0.00%,50,18.52%,,0,0.00%,4,1.48%,,0,0.00%,1,0.37%,3,1.11%,120,44.44%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,34,12.59%,0,0.00%,0,0.00%,10,3.70%,44,16.30%,2,0.74%,0,0.00%,0,0.00%,270,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,21,14.09%,,0,0.00%,1,0.67%,,0,0.00%,0,0.00%,0,0.00%,81,54.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,8.05%,0,0.00%,0,0.00%,0,0.00%,32,21.48%,2,1.34%,0,0.00%,0,0.00%,149,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,2,0.48%,0,0.00%,71,16.95%,,0,0.00%,5,1.19%,,0,0.00%,1,0.24%,3,0.72%,201,47.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,46,10.98%,0,0.00%,0,0.00%,10,2.39%,76,18.14%,4,0.95%,0,0.00%,0,0.00%,419,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1106,,,,Pct 1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,30,15.96%,,0,0.00%,3,1.60%,,0,0.00%,0,0.00%,4,2.13%,77,40.96%,0,0.00%,3,1.60%,0,0.00%,0,0.00%,14,7.45%,0,0.00%,0,0.00%,10,5.32%,47,25.00%,0,0.00%,0,0.00%,0,0.00%,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,20,14.81%,,0,0.00%,1,0.74%,,0,0.00%,0,0.00%,0,0.00%,65,48.15%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,8.89%,0,0.00%,0,0.00%,0,0.00%,37,27.41%,0,0.00%,0,0.00%,0,0.00%,135,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,50,15.48%,,0,0.00%,4,1.24%,,0,0.00%,0,0.00%,4,1.24%,142,43.96%,0,0.00%,3,0.93%,0,0.00%,0,0.00%,26,8.05%,0,0.00%,0,0.00%,10,3.10%,84,26.01%,0,0.00%,0,0.00%,0,0.00%,323,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1107,,,,Pct 1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,34,15.11%,,0,0.00%,7,3.11%,,0,0.00%,0,0.00%,8,3.56%,85,37.78%,0,0.00%,4,1.78%,0,0.00%,0,0.00%,21,9.33%,0,0.00%,0,0.00%,4,1.78%,58,25.78%,4,1.78%,0,0.00%,0,0.00%,225,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,20,16.95%,,0,0.00%,1,0.85%,,0,0.00%,0,0.00%,0,0.00%,55,46.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,3.39%,0,0.00%,0,0.00%,1,0.85%,37,31.36%,0,0.00%,0,0.00%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,1,,Total,0,0.00%,0,0.00%,54,15.74%,,0,0.00%,8,2.33%,,0,0.00%,0,0.00%,8,2.33%,140,40.82%,0,0.00%,4,1.17%,0,0.00%,0,0.00%,25,7.29%,0,0.00%,0,0.00%,5,1.46%,95,27.70%,4,1.17%,0,0.00%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1108,,,,Pct 1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,8,0,,Vote by Mail,0,0.00%,0,0.00%,52,18.64%,,0,0.00%,3,1.08%,,0,0.00%,0,0.00%,4,1.43%,104,37.28%,0,0.00%,6,2.15%,0,0.00%,1,0.36%,28,10.04%,0,0.00%,0,0.00%,3,1.08%,78,27.96%,0,0.00%,0,0.00%,0,0.00%,279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
