Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,1,1,
Precinct,Type,Registered Voters,Voters Cast,Turnout (%),,,JULIÁN CASTRO,MICHAEL A. ELLINGER,,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,
10020,Vote by Mail,1301,443,34.05 %,,,1,,,77,3,4,,,32,175,,
10020,Polling Place,1301,250,19.22 %,,,,,,45,,1,,,3,119,,
10020,Total,1301,693,53.27 %,,,1,,,122,3,5,,,35,294,,
10060,Vote by Mail,1261,467,37.03 %,,,,,,91,2,2,,,21,177,,
10060,Polling Place,1261,231,18.32 %,,,,,,41,,1,,,,110,,
10060,Total,1261,698,55.35 %,,,,,,132,2,3,,,21,287,,
10080,Vote by Mail,1196,408,34.11 %,,,,,,73,2,1,,1,15,158,,
10080,Polling Place,1196,199,16.64 %,,,,1,,26,1,,,1,,116,,
10080,Total,1196,607,50.75 %,,,,1,,99,3,1,,2,15,274,,
10090,Vote by Mail,1240,390,31.45 %,,,1,,,59,,1,1,,13,171,,
10090,Polling Place,1240,227,18.31 %,,,,,,29,,,,,,128,,
10090,Total,1240,617,49.76 %,,,1,,,88,,1,1,,13,299,,
10110,Vote by Mail,1264,380,30.06 %,,,,1,,67,,,,,7,162,,
10110,Polling Place,1264,219,17.33 %,,,,,,30,,1,,,1,107,,
10110,Total,1264,599,47.39 %,,,,1,,97,,1,,,8,269,,
10120,Vote by Mail,1298,433,33.36 %,,,,,,75,,2,1,,11,170,,
10120,Polling Place,1298,275,21.19 %,,,,,,46,,2,,,1,141,,
10120,Total,1298,708,54.55 %,,,,,,121,,4,1,,12,311,,
10130,Vote by Mail,1481,497,33.56 %,,,,,,82,1,3,,,16,186,,
10130,Polling Place,1481,228,15.40 %,,,1,,,42,,,,,,114,,
10130,Total,1481,725,48.95 %,,,1,,,124,1,3,,,16,300,,
10141,Vote by Mail,405,172,42.47 %,,,,,,28,,,,,16,31,,
10141,Polling Place,405,55,13.58 %,,,,,,13,,,,,1,19,,
10141,Total,405,227,56.05 %,,,,,,41,,,,,17,50,,
