Santa Cruz,,,,,,,,,Precinct Canvass,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1 Presidential Preference PAF,,,,,,,,,,
,,,,,,,1,1,,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,HOWIE HAWKINS,GLORIA LA RIVA,,Write In,,
10020,Vote by Mail,3,0,0.00 %,,,,,,,,
10020,Polling Place,3,0,0.00 %,,,,,,,,
10020,Total,3,0,0.00 %,,,,,,,,
10060,Vote by Mail,2,0,0.00 %,,,,,,,,
10060,Polling Place,2,0,0.00 %,,,,,,,,
10060,Total,2,0,0.00 %,,,,,,,,
10080,Vote by Mail,6,1,16.67 %,,,,,,1,,
10080,Polling Place,6,0,0.00 %,,,,,,,,
10080,Total,6,1,16.67 %,,,,,,1,,
10090,Vote by Mail,9,5,55.56 %,,,,1,,1,,
10090,Polling Place,9,0,0.00 %,,,,,,,,
10090,Total,9,5,55.56 %,,,,1,,1,,
10110,Vote by Mail,6,1,16.67 %,,,,,,,,
10110,Polling Place,6,0,0.00 %,,,,,,,,
10110,Total,6,1,16.67 %,,,,,,,,
10120,Vote by Mail,6,3,50.00 %,,,,2,,1,,
10120,Polling Place,6,0,0.00 %,,,,,,,,
10120,Total,6,3,50.00 %,,,,2,,1,,
10130,Vote by Mail,9,4,44.44 %,,,1,2,,1,,
10130,Polling Place,9,1,11.11 %,,,,1,,,,
10130,Total,9,5,55.56 %,,,1,3,,1,,
10141,Vote by Mail,1,1,100.00 %,,,,,,1,,
10141,Polling Place,1,0,0.00 %,,,,,,,,
10141,Total,1,1,100.00 %,,,,,,1,,
10143,Vote by Mail,0,0,,,,,,,,,
10143,Polling Place,0,0,,,,,,,,,
10143,Total,0,0,,,,,,,,,
10144,Vote by Mail,2,0,0.00 %,,,,,,,,
10144,Polling Place,2,0,0.00 %,,,,,,,,
10144,Total,2,0,0.00 %,,,,,,,,
10151,Vote by Mail,1,1,100.00 %,,,,1,,,,
10151,Polling Place,1,0,0.00 %,,,,,,,,
10151,Total,1,1,100.00 %,,,,1,,,,
10161,Vote by Mail,1,0,0.00 %,,,,,,,,
10161,Polling Place,1,0,0.00 %,,,,,,,,
10161,Total,1,0,0.00 %,,,,,,,,
10164,Vote by Mail,1,0,0.00 %,,,,,,,,
10164,Polling Place,1,0,0.00 %,,,,,,,,
10164,Total,1,0,0.00 %,,,,,,,,
10170,Vote by Mail,6,3,50.00 %,,,1,,,2,,
10170,Polling Place,6,0,0.00 %,,,,,,,,
10170,Total,6,3,50.00 %,,,1,,,2,,
10190,Vote by Mail,3,2,66.67 %,,,,,,2,,
10190,Polling Place,3,0,0.00 %,,,,,,,,
10190,Total,3,2,66.67 %,,,,,,2,,
10201,Vote by Mail,1,1,100.00 %,,,,1,,,,
10201,Polling Place,1,0,0.00 %,,,,,,,,
10201,Total,1,1,100.00 %,,,,1,,,,
10204,Vote by Mail,0,0,,,,,,,,,
10204,Polling Place,0,0,,,,,,,,,
10204,Total,0,0,,,,,,,,,
10220,Vote by Mail,4,3,75.00 %,,,1,2,,,,
10220,Polling Place,4,1,25.00 %,,,,1,,,,
10220,Total,4,4,100.00 %,,,1,3,,,,
10231,Vote by Mail,0,0,,,,,,,,,
10231,Polling Place,0,0,,,,,,,,,
10231,Total,0,0,,,,,,,,,
10232,Vote by Mail,0,0,,,,,,,,,
10232,Polling Place,0,0,,,,,,,,,
10232,Total,0,0,,,,,,,,,
10240,Vote by Mail,5,1,20.00 %,,,,1,,,,
10240,Polling Place,5,0,0.00 %,,,,,,,,
10240,Total,5,1,20.00 %,,,,1,,,,
10260,Vote by Mail,0,0,,,,,,,,,
10260,Polling Place,0,0,,,,,,,,,
10260,Total,0,0,,,,,,,,,
10270,Vote by Mail,6,1,16.67 %,,,1,,,,,
10270,Polling Place,6,0,0.00 %,,,,,,,,
10270,Total,6,1,16.67 %,,,1,,,,,
10280,Vote by Mail,1,0,0.00 %,,,,,,,,
10280,Polling Place,1,0,0.00 %,,,,,,,,
10280,Total,1,0,0.00 %,,,,,,,,
10281,Vote by Mail,1,0,0.00 %,,,,,,,,
10281,Polling Place,1,0,0.00 %,,,,,,,,
10281,Total,1,0,0.00 %,,,,,,,,
10287,Vote by Mail,0,0,,,,,,,,,
10287,Polling Place,0,0,,,,,,,,,
10287,Total,0,0,,,,,,,,,
10291,Vote by Mail,2,0,0.00 %,,,,,,,,
10291,Polling Place,2,0,0.00 %,,,,,,,,
10291,Total,2,0,0.00 %,,,,,,,,
10310,Vote by Mail,3,0,0.00 %,,,,,,,,
10310,Polling Place,3,0,0.00 %,,,,,,,,
10310,Total,3,0,0.00 %,,,,,,,,
10351,Vote by Mail,0,0,,,,,,,,,
10351,Polling Place,0,0,,,,,,,,,
10351,Total,0,0,,,,,,,,,
10381,Vote by Mail,6,0,0.00 %,,,,,,,,
10381,Polling Place,6,0,0.00 %,,,,,,,,
10381,Total,6,0,0.00 %,,,,,,,,
10410,Vote by Mail,3,0,0.00 %,,,,,,,,
10410,Polling Place,3,0,0.00 %,,,,,,,,
10410,Total,3,0,0.00 %,,,,,,,,
10442,Vote by Mail,0,0,,,,,,,,,
10442,Polling Place,0,0,,,,,,,,,
10442,Total,0,0,,,,,,,,,
10521,Vote by Mail,0,0,,,,,,,,,
10521,Polling Place,0,0,,,,,,,,,
10521,Total,0,0,,,,,,,,,
10541,Vote by Mail,2,1,50.00 %,,,,1,,,,
10541,Polling Place,2,0,0.00 %,,,,,,,,
10541,Total,2,1,50.00 %,,,,1,,,,
10550,Vote by Mail,0,0,,,,,,,,,
