Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"1 Member, County Central Committee Democratic Party (3rd District) DEM",,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,1,1,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - CYNTHIA HAWTHORNE,DEM - HOLLIE LOCATELLI,,DEM - STACEY FALLS,DEM - CAROL FULLER,DEM - SHAWN ORGEL-OLSON,DEM - CYNDI DAWSON,DEM - CLAYTON STRAWN,DEM - CYNTHIA MATHEWS,DEM - AKIN BABATOLA,Write In,
30010,Vote by Mail,168,116,69.05 %,,,38,28,,45,30,37,48,27,45,32,,
30010,Polling Place,168,10,5.95 %,,,,,,5,,3,6,3,1,2,,
30010,Total,168,126,75.00 %,,,38,28,,50,30,40,54,30,46,34,,
30020,Vote by Mail,305,128,41.97 %,,,45,36,,51,38,36,54,23,48,37,1,
30020,Polling Place,305,124,40.66 %,,,54,47,,42,34,23,36,17,49,34,1,
30020,Total,305,252,82.62 %,,,99,83,,93,72,59,90,40,97,71,2,
30030,Vote by Mail,592,289,48.82 %,,,112,92,,101,88,82,110,55,124,97,1,
30030,Polling Place,592,190,32.09 %,,,74,58,,62,54,47,62,22,72,46,,
30030,Total,592,479,80.91 %,,,186,150,,163,142,129,172,77,196,143,1,
30041,Vote by Mail,757,385,50.86 %,,,133,108,,123,107,114,157,74,146,124,1,
30041,Polling Place,757,234,30.91 %,,,92,59,,89,63,54,96,30,89,59,,
30041,Total,757,619,81.77 %,,,225,167,,212,170,168,253,104,235,183,1,
30042,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,,
30042,Polling Place,1,0,0.00 %,,,,,,,,,,,,,,
30042,Total,1,0,0.00 %,,,,,,,,,,,,,,
30043,Vote by Mail,10,7,70.00 %,,,,2,,4,1,1,5,,3,3,,
30043,Polling Place,10,2,20.00 %,,,,,,,,,,,,,,
30043,Total,10,9,90.00 %,,,,2,,4,1,1,5,,3,3,,
30046,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,,
30046,Polling Place,1,0,0.00 %,,,,,,,,,,,,,,
30046,Total,1,0,0.00 %,,,,,,,,,,,,,,
30047,Vote by Mail,0,0,,,,,,,,,,,,,,,
30047,Polling Place,0,0,,,,,,,,,,,,,,,
30047,Total,0,0,,,,,,,,,,,,,,,
30074,Vote by Mail,6,5,83.33 %,,,1,,,3,1,3,3,1,2,2,,
30074,Polling Place,6,0,0.00 %,,,,,,,,,,,,,,
30074,Total,6,5,83.33 %,,,1,,,3,1,3,3,1,2,2,,
30080,Vote by Mail,272,150,55.15 %,,,54,44,,58,40,43,55,29,62,43,1,
30080,Polling Place,272,47,17.28 %,,,22,15,,17,12,14,15,8,20,17,,
30080,Total,272,197,72.43 %,,,76,59,,75,52,57,70,37,82,60,1,
31010,Vote by Mail,847,411,48.52 %,,,189,132,,145,147,105,158,74,195,168,,
31010,Polling Place,847,241,28.45 %,,,93,55,,84,57,68,92,51,98,68,,
31010,Total,847,652,76.98 %,,,282,187,,229,204,173,250,125,293,236,,
31011,Vote by Mail,988,519,52.53 %,,,196,150,,207,160,167,220,130,214,217,2,
31011,Polling Place,988,275,27.83 %,,,97,68,,98,75,85,115,77,104,106,2,
31011,Total,988,794,80.36 %,,,293,218,,305,235,252,335,207,318,323,4,
31012,Vote by Mail,0,0,,,,,,,,,,,,,,,
31012,Polling Place,0,0,,,,,,,,,,,,,,,
31012,Total,0,0,,,,,,,,,,,,,,,
31020,Vote by Mail,940,492,52.34 %,,,213,182,,163,170,136,174,92,246,195,2,
31020,Polling Place,940,259,27.55 %,,,111,74,,87,66,66,78,50,109,74,,
31020,Total,940,751,79.89 %,,,324,256,,250,236,202,252,142,355,269,2,
31030,Vote by Mail,1042,497,47.70 %,,,206,167,,163,157,147,189,129,218,226,3,
31030,Polling Place,1042,351,33.69 %,,,92,68,,147,54,111,149,94,98,96,1,
31030,Total,1042,848,81.38 %,,,298,235,,310,211,258,338,223,316,322,4,
31050,Vote by Mail,807,428,53.04 %,,,212,184,,105,189,82,124,53,244,184,,
31050,Polling Place,807,251,31.10 %,,,113,80,,78,93,60,100,46,111,90,1,
31050,Total,807,679,84.14 %,,,325,264,,183,282,142,224,99,355,274,1,
31070,Vote by Mail,967,513,53.05 %,,,239,192,,190,176,143,194,111,257,233,1,
31070,Polling Place,967,292,30.20 %,,,113,84,,97,80,80,102,65,117,101,1,
31070,Total,967,805,83.25 %,,,352,276,,287,256,223,296,176,374,334,2,
31131,Vote by Mail,549,292,53.19 %,,,140,126,,88,131,70,106,46,151,112,,
31131,Polling Place,549,123,22.40 %,,,54,40,,46,39,31,43,17,60,38,2,
31131,Total,549,415,75.59 %,,,194,166,,134,170,101,149,63,211,150,2,
31140,Vote by Mail,1184,535,45.19 %,,,218,169,,210,167,181,236,129,225,230,3,
31140,Polling Place,1184,400,33.78 %,,,132,95,,155,93,127,179,92,147,119,2,
31140,Total,1184,935,78.97 %,,,350,264,,365,260,308,415,221,372,349,5,
31150,Vote by Mail,1003,554,55.23 %,,,279,231,,174,229,143,196,99,290,243,,
31150,Polling Place,1003,267,26.62 %,,,97,85,,92,75,68,101,44,121,94,2,
31150,Total,1003,821,81.85 %,,,376,316,,266,304,211,297,143,411,337,2,
31160,Vote by Mail,747,393,52.61 %,,,130,83,,161,98,148,188,132,154,162,2,
31160,Polling Place,747,243,32.53 %,,,53,42,,77,38,78,103,65,64,62,1,
31160,Total,747,636,85.14 %,,,183,125,,238,136,226,291,197,218,224,3,
31190,Vote by Mail,942,463,49.15 %,,,165,135,,204,124,172,203,140,167,175,3,
31190,Polling Place,942,268,28.45 %,,,77,57,,105,58,86,122,76,75,92,1,
31190,Total,942,731,77.60 %,,,242,192,,309,182,258,325,216,242,267,4,
31210,Vote by Mail,727,343,47.18 %,,,139,93,,138,100,131,158,99,130,141,1,
31210,Polling Place,727,204,28.06 %,,,63,32,,87,31,67,99,62,51,60,1,
31210,Total,727,547,75.24 %,,,202,125,,225,131,198,257,161,181,201,2,
31240,Vote by Mail,1096,453,41.33 %,,,129,91,,236,87,200,264,167,129,175,3,
31240,Polling Place,1096,319,29.11 %,,,69,32,,144,40,123,152,108,54,88,2,
31240,Total,1096,772,70.44 %,,,198,123,,380,127,323,416,275,183,263,5,
31250,Vote by Mail,1070,576,53.83 %,,,257,221,,167,221,162,195,83,280,217,1,
31250,Polling Place,1070,324,30.28 %,,,144,121,,96,121,71,103,38,168,104,,
31250,Total,1070,900,84.11 %,,,401,342,,263,342,233,298,121,448,321,1,
31300,Vote by Mail,953,466,48.90 %,,,191,144,,160,141,146,189,102,181,173,1,
31300,Polling Place,953,257,26.97 %,,,75,58,,101,54,60,100,58,89,71,1,
31300,Total,953,723,75.87 %,,,266,202,,261,195,206,289,160,270,244,2,
31400,Vote by Mail,932,537,57.62 %,,,283,231,,152,234,109,159,77,306,230,,
31400,Polling Place,932,248,26.61 %,,,113,86,,85,82,64,92,43,122,85,1,
31400,Total,932,785,84.23 %,,,396,317,,237,316,173,251,120,428,315,1,
31450,Vote by Mail,851,468,54.99 %,,,212,162,,131,187,121,161,80,229,215,,
31450,Polling Place,851,245,28.79 %,,,92,63,,78,61,64,85,45,101,79,1,
31450,Total,851,713,83.78 %,,,304,225,,209,248,185,246,125,330,294,1,
31480,Vote by Mail,590,312,52.88 %,,,143,113,,105,103,94,118,56,140,113,,
31480,Polling Place,590,152,25.76 %,,,66,50,,55,46,39,43,25,65,40,1,
31480,Total,590,464,78.64 %,,,209,163,,160,149,133,161,81,205,153,1,
31490,Vote by Mail,683,376,55.05 %,,,178,153,,110,154,103,128,57,184,145,,
31490,Polling Place,683,180,26.35 %,,,68,48,,54,47,58,68,26,74,54,,
31490,Total,683,556,81.41 %,,,246,201,,164,201,161,196,83,258,199,,
31560,Vote by Mail,595,300,50.42 %,,,110,80,,106,80,92,120,68,115,109,1,
31560,Polling Place,595,183,30.76 %,,,63,46,,60,41,44,64,29,66,57,,
31560,Total,595,483,81.18 %,,,173,126,,166,121,136,184,97,181,166,1,
31580,Vote by Mail,504,234,46.43 %,,,110,78,,75,75,67,84,42,94,82,,
31580,Polling Place,504,175,34.72 %,,,67,48,,64,51,45,66,37,64,62,2,
31580,Total,504,409,81.15 %,,,177,126,,139,126,112,150,79,158,144,2,
31600,Vote by Mail,541,171,31.61 %,,,34,12,,96,17,101,112,82,20,79,,
31600,Polling Place,541,338,62.48 %,,,79,31,,147,28,149,190,141,35,78,2,
31600,Total,541,509,94.09 %,,,113,43,,243,45,250,302,223,55,157,2,
31610,Vote by Mail,368,119,32.34 %,,,24,13,,58,15,52,68,43,23,32,1,
31610,Polling Place,368,212,57.61 %,,,50,18,,92,15,81,113,64,20,42,3,
31610,Total,368,331,89.95 %,,,74,31,,150,30,133,181,107,43,74,4,
31630,Vote by Mail,269,67,24.91 %,,,21,12,,37,8,34,36,35,12,35,,
31630,Polling Place,269,179,66.54 %,,,35,17,,80,17,63,99,64,16,43,1,
31630,Total,269,246,91.45 %,,,56,29,,117,25,97,135,99,28,78,1,
31650,Vote by Mail,499,177,35.47 %,,,44,22,,114,21,104,125,104,30,87,1,
31650,Polling Place,499,267,53.51 %,,,54,18,,150,21,142,178,141,25,102,3,
31650,Total,499,444,88.98 %,,,98,40,,264,42,246,303,245,55,189,4,
31690,Vote by Mail,281,95,33.81 %,,,27,14,,47,21,44,58,44,27,47,,
31690,Polling Place,281,158,56.23 %,,,27,22,,67,13,65,83,55,16,43,1,
31690,Total,281,253,90.04 %,,,54,36,,114,34,109,141,99,43,90,1,
31710,Vote by Mail,767,382,49.80 %,,,171,141,,143,129,108,150,78,181,146,1,
31710,Polling Place,767,252,32.86 %,,,108,84,,101,76,65,102,41,114,88,,
31710,Total,767,634,82.66 %,,,279,225,,244,205,173,252,119,295,234,1,
,,,,,,,,,,,,,,,,,,
Total - Vote by Mail,,22854,11253,49.24 %,,,4643,3641,,4070,3646,3478,4545,2561,4872,4509,30,
Total - Polling Place,,22854,7270,31.81 %,,,2447,1701,,2742,1635,2201,3036,1734,2415,2194,33,
Contest Total,,22854,18523,81.05 %,,,7090,5342,,6812,5281,5679,7581,4295,7287,6703,63,
