Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 Superior Court Judge,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,ANNRAE ANGEL,NANCY DE LA PENA,,JACK D. GORDON,Write In,,
10020,Vote by Mail,1301,582,44.73 %,,,149,187,,126,,,
10020,Polling Place,1301,280,21.52 %,,,59,113,,37,1,,
10020,Total,1301,862,66.26 %,,,208,300,,163,1,,
10060,Vote by Mail,1261,581,46.07 %,,,160,220,,102,2,,
10060,Polling Place,1261,260,20.62 %,,,74,96,,33,4,,
10060,Total,1261,841,66.69 %,,,234,316,,135,6,,
10080,Vote by Mail,1196,519,43.39 %,,,149,194,,85,4,,
10080,Polling Place,1196,224,18.73 %,,,55,89,,29,,,
10080,Total,1196,743,62.12 %,,,204,283,,114,4,,
10090,Vote by Mail,1240,507,40.89 %,,,140,200,,70,,,
10090,Polling Place,1240,256,20.65 %,,,56,108,,42,3,,
10090,Total,1240,763,61.53 %,,,196,308,,112,3,,
10110,Vote by Mail,1264,494,39.08 %,,,146,190,,77,5,,
10110,Polling Place,1264,263,20.81 %,,,68,96,,54,,,
10110,Total,1264,757,59.89 %,,,214,286,,131,5,,
10120,Vote by Mail,1298,545,41.99 %,,,126,233,,104,1,,
10120,Polling Place,1298,308,23.73 %,,,84,100,,46,1,,
10120,Total,1298,853,65.72 %,,,210,333,,150,2,,
10130,Vote by Mail,1481,676,45.64 %,,,177,251,,135,1,,
10130,Polling Place,1481,265,17.89 %,,,61,113,,47,1,,
10130,Total,1481,941,63.54 %,,,238,364,,182,2,,
10141,Vote by Mail,405,245,60.49 %,,,56,92,,44,,,
10141,Polling Place,405,71,17.53 %,,,18,22,,14,1,,
10141,Total,405,316,78.02 %,,,74,114,,58,1,,
10143,Vote by Mail,104,76,73.08 %,,,16,25,,24,,,
10143,Polling Place,104,7,6.73 %,,,2,3,,,,,
10143,Total,104,83,79.81 %,,,18,28,,24,,,
10144,Vote by Mail,1166,564,48.37 %,,,189,175,,106,3,,
10144,Polling Place,1166,261,22.38 %,,,77,72,,39,2,,
10144,Total,1166,825,70.75 %,,,266,247,,145,5,,
10151,Vote by Mail,39,28,71.79 %,,,7,8,,6,,,
10151,Polling Place,39,1,2.56 %,,,1,,,,,,
10151,Total,39,29,74.36 %,,,8,8,,6,,,
10161,Vote by Mail,712,357,50.14 %,,,108,103,,84,1,,
10161,Polling Place,712,117,16.43 %,,,30,36,,25,,,
10161,Total,712,474,66.57 %,,,138,139,,109,1,,
10164,Vote by Mail,221,135,61.09 %,,,39,47,,29,,,
10164,Polling Place,221,2,0.90 %,,,,,,1,,,
10164,Total,221,137,61.99 %,,,39,47,,30,,,
10170,Vote by Mail,831,362,43.56 %,,,98,117,,72,1,,
10170,Polling Place,831,214,25.75 %,,,57,67,,36,1,,
10170,Total,831,576,69.31 %,,,155,184,,108,2,,
10190,Vote by Mail,1349,605,44.85 %,,,160,209,,120,4,,
10190,Polling Place,1349,287,21.28 %,,,67,101,,49,,,
10190,Total,1349,892,66.12 %,,,227,310,,169,4,,
10201,Vote by Mail,578,267,46.19 %,,,70,90,,53,,,
10201,Polling Place,578,109,18.86 %,,,23,25,,28,,,
10201,Total,578,376,65.05 %,,,93,115,,81,,,
10204,Vote by Mail,48,30,62.50 %,,,2,11,,15,,,
10204,Polling Place,48,1,2.08 %,,,1,,,,,,
10204,Total,48,31,64.58 %,,,3,11,,15,,,
10220,Vote by Mail,1197,534,44.61 %,,,121,210,,97,1,,
10220,Polling Place,1197,226,18.88 %,,,53,80,,49,,,
10220,Total,1197,760,63.49 %,,,174,290,,146,1,,
10231,Vote by Mail,185,121,65.41 %,,,31,35,,28,,,
10231,Polling Place,185,2,1.08 %,,,1,,,,,,
10231,Total,185,123,66.49 %,,,32,35,,28,,,
10232,Vote by Mail,125,88,70.40 %,,,20,36,,19,,,
10232,Polling Place,125,4,3.20 %,,,1,,,1,,,
10232,Total,125,92,73.60 %,,,21,36,,20,,,
10240,Vote by Mail,819,352,42.98 %,,,117,112,,57,1,,
10240,Polling Place,819,154,18.80 %,,,34,66,,22,2,,
10240,Total,819,506,61.78 %,,,151,178,,79,3,,
10260,Vote by Mail,972,452,46.50 %,,,115,131,,118,6,,
10260,Polling Place,972,205,21.09 %,,,39,72,,39,1,,
10260,Total,972,657,67.59 %,,,154,203,,157,7,,
10270,Vote by Mail,1343,629,46.84 %,,,169,252,,112,3,,
10270,Polling Place,1343,193,14.37 %,,,46,73,,39,1,,
10270,Total,1343,822,61.21 %,,,215,325,,151,4,,
10280,Vote by Mail,320,201,62.81 %,,,51,46,,51,1,,
10280,Polling Place,320,6,1.88 %,,,2,1,,1,,,
10280,Total,320,207,64.69 %,,,53,47,,52,1,,
10281,Vote by Mail,794,348,43.83 %,,,95,119,,61,,,
10281,Polling Place,794,205,25.82 %,,,54,53,,37,,,
10281,Total,794,553,69.65 %,,,149,172,,98,,,
10287,Vote by Mail,13,12,92.31 %,,,6,1,,5,,,
10287,Polling Place,13,0,0.00 %,,,,,,,,,
10287,Total,13,12,92.31 %,,,6,1,,5,,,
10291,Vote by Mail,1560,797,51.09 %,,,161,286,,204,3,,
10291,Polling Place,1560,296,18.97 %,,,62,105,,65,2,,
10291,Total,1560,1093,70.06 %,,,223,391,,269,5,,
10310,Vote by Mail,1464,679,46.38 %,,,202,252,,104,2,,
10310,Polling Place,1464,302,20.63 %,,,84,104,,36,2,,
10310,Total,1464,981,67.01 %,,,286,356,,140,4,,
10351,Vote by Mail,990,479,48.38 %,,,102,175,,110,1,,
10351,Polling Place,990,265,26.77 %,,,65,89,,56,,,
10351,Total,990,744,75.15 %,,,167,264,,166,1,,
10381,Vote by Mail,1410,626,44.40 %,,,168,201,,132,3,,
10381,Polling Place,1410,276,19.57 %,,,73,77,,50,1,,
10381,Total,1410,902,63.97 %,,,241,278,,182,4,,
10410,Vote by Mail,704,302,42.90 %,,,78,112,,55,2,,
10410,Polling Place,704,166,23.58 %,,,33,71,,33,1,,
10410,Total,704,468,66.48 %,,,111,183,,88,3,,
10442,Vote by Mail,50,28,56.00 %,,,11,6,,2,,,
10442,Polling Place,50,3,6.00 %,,,1,1,,,,,
10442,Total,50,31,62.00 %,,,12,7,,2,,,
10521,Vote by Mail,114,73,64.04 %,,,22,21,,16,,,
10521,Polling Place,114,6,5.26 %,,,1,4,,,,,
10521,Total,114,79,69.30 %,,,23,25,,16,,,
10541,Vote by Mail,265,181,68.30 %,,,42,58,,41,,,
10541,Polling Place,265,4,1.51 %,,,1,1,,,1,,
10541,Total,265,185,69.81 %,,,43,59,,41,1,,
10550,Vote by Mail,16,7,43.75 %,,,2,2,,2,,,
10550,Polling Place,16,1,6.25 %,,,,1,,,,,
10550,Total,16,8,50.00 %,,,2,3,,2,,,
10552,Vote by Mail,0,0,,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,,
10552,Total,0,0,,,,,,,,,,
10603,Vote by Mail,1199,552,46.04 %,,,134,177,,145,1,,
10603,Polling Place,1199,269,22.44 %,,,58,93,,62,5,,
10603,Total,1199,821,68.47 %,,,192,270,,207,6,,
10620,Vote by Mail,1362,625,45.89 %,,,172,219,,128,2,,
10620,Polling Place,1362,271,19.90 %,,,60,87,,60,1,,
10620,Total,1362,896,65.79 %,,,232,306,,188,3,,
10690,Vote by Mail,56,44,78.57 %,,,13,15,,5,,,
10690,Polling Place,56,1,1.79 %,,,,,,1,,,
10690,Total,56,45,80.36 %,,,13,15,,6,,,
10762,Vote by Mail,21,14,66.67 %,,,5,2,,5,,,
10762,Polling Place,21,0,0.00 %,,,,,,,,,
10762,Total,21,14,66.67 %,,,5,2,,5,,,
10781,Vote by Mail,304,202,66.45 %,,,56,67,,41,3,,
10781,Polling Place,304,3,0.99 %,,,1,,,,,,
10781,Total,304,205,67.43 %,,,57,67,,41,3,,
11010,Vote by Mail,1559,776,49.78 %,,,219,259,,177,,,
11010,Polling Place,1559,402,25.79 %,,,85,148,,95,,,
11010,Total,1559,1178,75.56 %,,,304,407,,272,,,
11120,Vote by Mail,944,518,54.87 %,,,120,202,,116,,,
11120,Polling Place,944,164,17.37 %,,,50,54,,25,,,
11120,Total,944,682,72.25 %,,,170,256,,141,,,
12010,Vote by Mail,343,141,41.11 %,,,50,42,,24,1,,
12010,Polling Place,343,41,11.95 %,,,7,21,,4,1,,
12010,Total,343,182,53.06 %,,,57,63,,28,2,,
12022,Vote by Mail,88,42,47.73 %,,,15,16,,9,,,
12022,Polling Place,88,1,1.14 %,,,1,,,,,,
12022,Total,88,43,48.86 %,,,16,16,,9,,,
12023,Vote by Mail,606,248,40.92 %,,,81,88,,44,1,,
12023,Polling Place,606,115,18.98 %,,,25,41,,20,1,,
12023,Total,606,363,59.90 %,,,106,129,,64,2,,
12030,Vote by Mail,1620,744,45.93 %,,,202,287,,135,2,,
12030,Polling Place,1620,290,17.90 %,,,65,121,,55,,,
12030,Total,1620,1034,63.83 %,,,267,408,,190,2,,
14110,Vote by Mail,0,0,,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,,
14110,Total,0,0,,,,,,,,,,
14121,Vote by Mail,1416,681,48.09 %,,,151,229,,197,3,,
14121,Polling Place,1416,233,16.45 %,,,47,76,,60,5,,
14121,Total,1416,914,64.55 %,,,198,305,,257,8,,
14123,Vote by Mail,0,0,,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,,
14123,Total,0,0,,,,,,,,,,
14133,Vote by Mail,5,3,60.00 %,,,,,,3,,,
14133,Polling Place,5,0,0.00 %,,,,,,,,,
14133,Total,5,3,60.00 %,,,,,,3,,,
14141,Vote by Mail,191,112,58.64 %,,,24,38,,34,,,
14141,Polling Place,191,4,2.09 %,,,2,,,,,,
14141,Total,191,116,60.73 %,,,26,38,,34,,,
20011,Vote by Mail,1387,416,29.99 %,,,75,204,,98,2,,
20011,Polling Place,1387,201,14.49 %,,,32,107,,41,,,
20011,Total,1387,617,44.48 %,,,107,311,,139,2,,
20013,Vote by Mail,543,217,39.96 %,,,35,90,,62,1,,
20013,Polling Place,543,72,13.26 %,,,8,23,,21,1,,
20013,Total,543,289,53.22 %,,,43,113,,83,2,,
20020,Vote by Mail,1662,621,37.36 %,,,115,232,,191,2,,
20020,Polling Place,1662,208,12.52 %,,,32,91,,51,2,,
20020,Total,1662,829,49.88 %,,,147,323,,242,4,,
20041,Vote by Mail,1078,462,42.86 %,,,112,155,,128,3,,
