Santa Cruz,,,,,,,,,Precinct Canvass,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,
,,,,,,,,,,,
,,,,,,,,,,,
,,1 T - Santa Cruz High School Dist Parcel Tax - 2/3,,,,,,,,,
,,,,,,,1,1,,,
,,Registered Voters,Voters Cast,Turnout (%),,,Yes,No,,,
10020,Vote by Mail,1301,582,44.73 %,,,373,158,,,
10020,Polling Place,1301,280,21.52 %,,,200,58,,,
10020,Total,1301,862,66.26 %,,,573,216,,,
10060,Vote by Mail,1261,581,46.07 %,,,379,158,,,
10060,Polling Place,1261,260,20.62 %,,,180,57,,,
10060,Total,1261,841,66.69 %,,,559,215,,,
10080,Vote by Mail,1196,519,43.39 %,,,335,147,,,
10080,Polling Place,1196,224,18.73 %,,,150,49,,,
10080,Total,1196,743,62.12 %,,,485,196,,,
10090,Vote by Mail,1240,507,40.89 %,,,327,139,,,
10090,Polling Place,1240,256,20.65 %,,,181,53,,,
10090,Total,1240,763,61.53 %,,,508,192,,,
10110,Vote by Mail,1264,494,39.08 %,,,338,123,,,
10110,Polling Place,1264,263,20.81 %,,,169,79,,,
10110,Total,1264,757,59.89 %,,,507,202,,,
10120,Vote by Mail,1298,545,41.99 %,,,352,164,,,
10120,Polling Place,1298,308,23.73 %,,,211,63,,,
10120,Total,1298,853,65.72 %,,,563,227,,,
10130,Vote by Mail,1481,676,45.64 %,,,408,226,,,
10130,Polling Place,1481,265,17.89 %,,,184,66,,,
10130,Total,1481,941,63.54 %,,,592,292,,,
10141,Vote by Mail,405,245,60.49 %,,,170,57,,,
10141,Polling Place,405,71,17.53 %,,,48,16,,,
10141,Total,405,316,78.02 %,,,218,73,,,
10143,Vote by Mail,104,76,73.08 %,,,39,35,,,
10143,Polling Place,104,7,6.73 %,,,7,,,,
10143,Total,104,83,79.81 %,,,46,35,,,
10144,Vote by Mail,1166,564,48.37 %,,,380,153,,,
10144,Polling Place,1166,261,22.38 %,,,179,54,,,
10144,Total,1166,825,70.75 %,,,559,207,,,
10161,Vote by Mail,712,357,50.14 %,,,207,135,,,
10161,Polling Place,712,117,16.43 %,,,73,36,,,
10161,Total,712,474,66.57 %,,,280,171,,,
10170,Vote by Mail,831,362,43.56 %,,,213,110,,,
10170,Polling Place,831,214,25.75 %,,,130,57,,,
10170,Total,831,576,69.31 %,,,343,167,,,
10190,Vote by Mail,1349,605,44.85 %,,,391,182,,,
10190,Polling Place,1349,287,21.28 %,,,183,85,,,
10190,Total,1349,892,66.12 %,,,574,267,,,
10220,Vote by Mail,1197,534,44.61 %,,,354,146,,,
10220,Polling Place,1197,226,18.88 %,,,162,36,,,
10220,Total,1197,760,63.49 %,,,516,182,,,
10240,Vote by Mail,819,352,42.98 %,,,228,106,,,
10240,Polling Place,819,154,18.80 %,,,96,49,,,
10240,Total,819,506,61.78 %,,,324,155,,,
10260,Vote by Mail,972,452,46.50 %,,,255,172,,,
10260,Polling Place,972,205,21.09 %,,,133,53,,,
10260,Total,972,657,67.59 %,,,388,225,,,
10270,Vote by Mail,1343,629,46.84 %,,,396,204,,,
10270,Polling Place,1343,193,14.37 %,,,124,58,,,
10270,Total,1343,822,61.21 %,,,520,262,,,
10280,Vote by Mail,320,201,62.81 %,,,117,71,,,
10280,Polling Place,320,6,1.88 %,,,5,1,,,
10280,Total,320,207,64.69 %,,,122,72,,,
10281,Vote by Mail,794,348,43.83 %,,,212,105,,,
10281,Polling Place,794,205,25.82 %,,,117,64,,,
10281,Total,794,553,69.65 %,,,329,169,,,
10287,Vote by Mail,13,12,92.31 %,,,8,4,,,
10287,Polling Place,13,0,0.00 %,,,,,,,
10287,Total,13,12,92.31 %,,,8,4,,,
10291,Vote by Mail,1560,797,51.09 %,,,451,317,,,
10291,Polling Place,1560,296,18.97 %,,,178,104,,,
10291,Total,1560,1093,70.06 %,,,629,421,,,
10310,Vote by Mail,1464,679,46.38 %,,,476,152,,,
10310,Polling Place,1464,302,20.63 %,,,208,55,,,
10310,Total,1464,981,67.01 %,,,684,207,,,
10351,Vote by Mail,990,479,48.38 %,,,258,203,,,
10351,Polling Place,990,265,26.77 %,,,151,99,,,
10351,Total,990,744,75.15 %,,,409,302,,,
10410,Vote by Mail,704,302,42.90 %,,,179,104,,,
10410,Polling Place,704,166,23.58 %,,,104,50,,,
10410,Total,704,468,66.48 %,,,283,154,,,
10442,Vote by Mail,50,28,56.00 %,,,15,11,,,
10442,Polling Place,50,3,6.00 %,,,3,,,,
10442,Total,50,31,62.00 %,,,18,11,,,
10541,Vote by Mail,265,181,68.30 %,,,85,89,,,
10541,Polling Place,265,4,1.51 %,,,3,1,,,
10541,Total,265,185,69.81 %,,,88,90,,,
10603,Vote by Mail,1199,552,46.04 %,,,301,221,,,
10603,Polling Place,1199,269,22.44 %,,,146,94,,,
10603,Total,1199,821,68.47 %,,,447,315,,,
10620,Vote by Mail,1362,625,45.89 %,,,371,220,,,
10620,Polling Place,1362,271,19.90 %,,,138,116,,,
10620,Total,1362,896,65.79 %,,,509,336,,,
10690,Vote by Mail,56,44,78.57 %,,,28,14,,,
10690,Polling Place,56,1,1.79 %,,,1,,,,
10690,Total,56,45,80.36 %,,,29,14,,,
10762,Vote by Mail,21,14,66.67 %,,,3,8,,,
10762,Polling Place,21,0,0.00 %,,,,,,,
10762,Total,21,14,66.67 %,,,3,8,,,
10781,Vote by Mail,304,202,66.45 %,,,111,76,,,
10781,Polling Place,304,3,0.99 %,,,3,,,,
10781,Total,304,205,67.43 %,,,114,76,,,
11010,Vote by Mail,1559,776,49.78 %,,,489,255,,,
11010,Polling Place,1559,402,25.79 %,,,269,122,,,
11010,Total,1559,1178,75.56 %,,,758,377,,,
11120,Vote by Mail,944,518,54.87 %,,,323,166,,,
11120,Polling Place,944,164,17.37 %,,,115,40,,,
11120,Total,944,682,72.25 %,,,438,206,,,
12010,Vote by Mail,343,141,41.11 %,,,93,34,,,
12010,Polling Place,343,41,11.95 %,,,33,6,,,
12010,Total,343,182,53.06 %,,,126,40,,,
12022,Vote by Mail,88,42,47.73 %,,,30,7,,,
12022,Polling Place,88,1,1.14 %,,,1,,,,
12022,Total,88,43,48.86 %,,,31,7,,,
12023,Vote by Mail,606,248,40.92 %,,,149,84,,,
12023,Polling Place,606,115,18.98 %,,,79,31,,,
12023,Total,606,363,59.90 %,,,228,115,,,
12030,Vote by Mail,1620,744,45.93 %,,,443,262,,,
12030,Polling Place,1620,290,17.90 %,,,181,95,,,
12030,Total,1620,1034,63.83 %,,,624,357,,,
14123,Vote by Mail,0,0,,,,,,,,
14123,Polling Place,0,0,,,,,,,,
14123,Total,0,0,,,,,,,,
20221,Vote by Mail,1437,667,46.42 %,,,362,263,,,
20221,Polling Place,1437,308,21.43 %,,,169,110,,,
20221,Total,1437,975,67.85 %,,,531,373,,,
20591,Vote by Mail,0,0,,,,,,,,
20591,Polling Place,0,0,,,,,,,,
20591,Total,0,0,,,,,,,,
22010,Vote by Mail,1274,635,49.84 %,,,356,238,,,
22010,Polling Place,1274,216,16.95 %,,,121,69,,,
22010,Total,1274,851,66.80 %,,,477,307,,,
22040,Vote by Mail,1025,501,48.88 %,,,263,205,,,
22040,Polling Place,1025,208,20.29 %,,,123,74,,,
22040,Total,1025,709,69.17 %,,,386,279,,,
22050,Vote by Mail,1809,844,46.66 %,,,500,285,,,
22050,Polling Place,1809,317,17.52 %,,,203,86,,,
22050,Total,1809,1161,64.18 %,,,703,371,,,
30010,Vote by Mail,267,147,55.06 %,,,115,23,,,
30010,Polling Place,267,13,4.87 %,,,11,1,,,
30010,Total,267,160,59.93 %,,,126,24,,,
30020,Vote by Mail,492,175,35.57 %,,,125,37,,,
30020,Polling Place,492,177,35.98 %,,,119,41,,,
30020,Total,492,352,71.54 %,,,244,78,,,
30030,Vote by Mail,968,394,40.70 %,,,284,89,,,
30030,Polling Place,968,264,27.27 %,,,172,60,,,
30030,Total,968,658,67.98 %,,,456,149,,,
30041,Vote by Mail,1308,588,44.95 %,,,382,173,,,
30041,Polling Place,1308,356,27.22 %,,,236,93,,,
30041,Total,1308,944,72.17 %,,,618,266,,,
30080,Vote by Mail,466,221,47.42 %,,,164,47,,,
30080,Polling Place,466,67,14.38 %,,,47,12,,,
30080,Total,466,288,61.80 %,,,211,59,,,
31010,Vote by Mail,1307,571,43.69 %,,,430,103,,,
31010,Polling Place,1307,318,24.33 %,,,253,40,,,
31010,Total,1307,889,68.02 %,,,683,143,,,
31011,Vote by Mail,1459,684,46.88 %,,,526,124,,,
31011,Polling Place,1459,354,24.26 %,,,281,52,,,
31011,Total,1459,1038,71.14 %,,,807,176,,,
31012,Vote by Mail,0,0,,,,,,,,
31012,Polling Place,0,0,,,,,,,,
31012,Total,0,0,,,,,,,,
31020,Vote by Mail,1457,679,46.60 %,,,491,152,,,
31020,Polling Place,1457,343,23.54 %,,,268,62,,,
31020,Total,1457,1022,70.14 %,,,759,214,,,
31030,Vote by Mail,1536,638,41.54 %,,,472,122,,,
31030,Polling Place,1536,466,30.34 %,,,370,47,,,
31030,Total,1536,1104,71.88 %,,,842,169,,,
31050,Vote by Mail,1224,595,48.61 %,,,446,121,,,
31050,Polling Place,1224,335,27.37 %,,,261,49,,,
31050,Total,1224,930,75.98 %,,,707,170,,,
31070,Vote by Mail,1356,632,46.61 %,,,487,109,,,
31070,Polling Place,1356,379,27.95 %,,,297,43,,,
31070,Total,1356,1011,74.56 %,,,784,152,,,
31131,Vote by Mail,876,417,47.60 %,,,288,107,,,
31131,Polling Place,876,175,19.98 %,,,121,44,,,
31131,Total,876,592,67.58 %,,,409,151,,,
31140,Vote by Mail,1701,699,41.09 %,,,526,137,,,
31140,Polling Place,1701,506,29.75 %,,,395,78,,,
31140,Total,1701,1205,70.84 %,,,921,215,,,
31150,Vote by Mail,1472,737,50.07 %,,,533,158,,,
31150,Polling Place,1472,361,24.52 %,,,279,64,,,
31150,Total,1472,1098,74.59 %,,,812,222,,,
31160,Vote by Mail,1136,488,42.96 %,,,405,61,,,
31160,Polling Place,1136,336,29.58 %,,,267,38,,,
31160,Total,1136,824,72.54 %,,,672,99,,,
31190,Vote by Mail,1375,576,41.89 %,,,473,68,,,
31190,Polling Place,1375,333,24.22 %,,,267,27,,,
31190,Total,1375,909,66.11 %,,,740,95,,,
31210,Vote by Mail,1111,424,38.16 %,,,327,67,,,
31210,Polling Place,1111,272,24.48 %,,,215,34,,,
31210,Total,1111,696,62.65 %,,,542,101,,,
31240,Vote by Mail,1807,608,33.65 %,,,491,76,,,
31240,Polling Place,1807,396,21.91 %,,,318,43,,,
31240,Total,1807,1004,55.56 %,,,809,119,,,
31250,Vote by Mail,1598,790,49.44 %,,,566,197,,,
31250,Polling Place,1598,411,25.72 %,,,286,98,,,
31250,Total,1598,1201,75.16 %,,,852,295,,,
31300,Vote by Mail,1463,616,42.11 %,,,441,141,,,
31300,Polling Place,1463,341,23.31 %,,,271,53,,,
31300,Total,1463,957,65.41 %,,,712,194,,,
31400,Vote by Mail,1383,755,54.59 %,,,546,180,,,
31400,Polling Place,1383,341,24.66 %,,,250,72,,,
31400,Total,1383,1096,79.25 %,,,796,252,,,
31450,Vote by Mail,1284,633,49.30 %,,,474,122,,,
31450,Polling Place,1284,334,26.01 %,,,249,65,,,
31450,Total,1284,967,75.31 %,,,723,187,,,
31480,Vote by Mail,996,467,46.89 %,,,316,110,,,
31480,Polling Place,996,225,22.59 %,,,168,44,,,
31480,Total,996,692,69.48 %,,,484,154,,,
31490,Vote by Mail,1025,510,49.76 %,,,384,107,,,
31490,Polling Place,1025,253,24.68 %,,,185,51,,,
31490,Total,1025,763,74.44 %,,,569,158,,,
31560,Vote by Mail,893,382,42.78 %,,,288,72,,,
31560,Polling Place,893,243,27.21 %,,,206,21,,,
31560,Total,893,625,69.99 %,,,494,93,,,
31580,Vote by Mail,796,335,42.09 %,,,227,86,,,
31580,Polling Place,796,230,28.89 %,,,166,50,,,
31580,Total,796,565,70.98 %,,,393,136,,,
31600,Vote by Mail,822,211,25.67 %,,,175,11,,,
31600,Polling Place,822,404,49.15 %,,,342,20,,,
31600,Total,822,615,74.82 %,,,517,31,,,
31610,Vote by Mail,623,142,22.79 %,,,117,4,,,
31610,Polling Place,623,256,41.09 %,,,212,10,,,
31610,Total,623,398,63.88 %,,,329,14,,,
31630,Vote by Mail,417,80,19.18 %,,,69,2,,,
31630,Polling Place,417,211,50.60 %,,,164,14,,,
31630,Total,417,291,69.78 %,,,233,16,,,
31650,Vote by Mail,765,199,26.01 %,,,181,8,,,
31650,Polling Place,765,327,42.75 %,,,273,15,,,
31650,Total,765,526,68.76 %,,,454,23,,,
31690,Vote by Mail,435,113,25.98 %,,,96,9,,,
31690,Polling Place,435,195,44.83 %,,,165,11,,,
31690,Total,435,308,70.80 %,,,261,20,,,
31710,Vote by Mail,1222,549,44.93 %,,,386,143,,,
31710,Polling Place,1222,356,29.13 %,,,256,83,,,
31710,Total,1222,905,74.06 %,,,642,226,,,
50011,Vote by Mail,6,3,50.00 %,,,,3,,,
50011,Polling Place,6,0,0.00 %,,,,,,,
50011,Total,6,3,50.00 %,,,,3,,,
50093,Vote by Mail,0,0,,,,,,,,
50093,Polling Place,0,0,,,,,,,,
50093,Total,0,0,,,,,,,,
50115,Vote by Mail,0,0,,,,,,,,
50115,Polling Place,0,0,,,,,,,,
50115,Total,0,0,,,,,,,,
50172,Vote by Mail,0,0,,,,,,,,
50172,Polling Place,0,0,,,,,,,,
50172,Total,0,0,,,,,,,,
50297,Vote by Mail,1,1,100.00 %,,,,1,,,
50297,Polling Place,1,0,0.00 %,,,,,,,
50297,Total,1,1,100.00 %,,,,1,,,
50521,Vote by Mail,733,378,51.57 %,,,232,131,,,
50521,Polling Place,733,125,17.05 %,,,99,20,,,
50521,Total,733,503,68.62 %,,,331,151,,,
51010,Vote by Mail,1533,496,32.35 %,,,382,86,,,
