,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
1002  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,19,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,19,3,15.7894736842105%,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Canvass,19,12,63.1578947368421%,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,0,0,12,0,0,0,0,0,0,0
Total,19,15,78.9473684210526%,0,0,5,0,0,0,0,0,3,0,1,0,0,1,0,0,1,4,0,0,15,0,0,0,0,0,0,0
1003  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,52,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,52,18,34.6153846153846%,0,0,2,0,1,0,0,4,2,0,1,0,0,2,0,0,1,3,0,0,16,0,0,0,0,0,0,0
