President of the United States Presidential Preference - DEMOCRATIC - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
101002,,,,,,,214,,,64,,,,,,29.9,,,4,,,0,,,,,0,,,,,4,,,0,,,0,,,,0,,,,0,,,
102001,,,,,,,966,,,331,,,,,,34.3,,,13,,,1,,,,,0,,,,,14,,,0,,,5,,,,0,,,,0,,,
102002,,,,,,,128,,,45,,,,,,35.2,,,6,,,2,,,,,0,,,,,7,,,0,,,0,,,,1,,,,0,,,
102003,,,,,,,242,,,81,,,,,,33.5,,,3,,,1,,,,,2,,,,,2,,,0,,,0,,,,0,,,,0,,,
102005,,,,,,,792,,,271,,,,,,34.2,,,16,,,4,,,,,1,,,,,9,,,0,,,0,,,,1,,,,0,,,
102007,,,,,,,152,,,69,,,,,,45.4,,,5,,,0,,,,,0,,,,,6,,,0,,,0,,,,0,,,,0,,,
103001,,,,,,,"1,387",,,557,,,,,,40.2,,,38,,,3,,,,,0,,,,,30,,,0,,,3,,,,0,,,,1,,,
103002,,,,,,,"1,641",,,703,,,,,,42.8,,,40,,,1,,,,,2,,,,,32,,,0,,,5,,,,2,,,,1,,,
103003,,,,,,,"1,266",,,428,,,,,,33.8,,,31,,,3,,,,,1,,,,,25,,,2,,,1,,,,1,,,,1,,,
103004,,,,,,,677,,,271,,,,,,40.0,,,26,,,1,,,,,1,,,,,11,,,0,,,0,,,,0,,,,1,,,
103005,,,,,,,"1,374",,,639,,,,,,46.5,,,35,,,2,,,,,0,,,,,32,,,0,,,3,,,,1,,,,2,,,
103009,,,,,,,839,,,388,,,,,,46.2,,,37,,,3,,,,,0,,,,,26,,,0,,,1,,,,0,,,,1,,,
103016,,,,,,,"1,163",,,388,,,,,,33.4,,,22,,,1,,,,,1,,,,,17,,,0,,,5,,,,0,,,,1,,,
103026,,,,,,,"1,479",,,614,,,,,,41.5,,,33,,,2,,,,,0,,,,,22,,,1,,,7,,,,0,,,,0,,,
104001,,,,,,,382,,,203,,,,,,53.1,,,7,,,1,,,,,0,,,,,13,,,0,,,3,,,,0,,,,0,,,
104004,,,,,,,131,,,61,,,,,,46.6,,,4,,,0,,,,,0,,,,,6,,,0,,,0,,,,0,,,,0,,,
105002,,,,,,,219,,,129,,,,,,58.9,,,10,,,0,,,,,0,,,,,2,,,0,,,1,,,,1,,,,0,,,
105003,,,,,,,70,,,41,,,,,,58.6,,,4,,,0,,,,,0,,,,,7,,,0,,,0,,,,0,,,,0,,,
105004,,,,,,,88,,,41,,,,,,46.6,,,3,,,0,,,,,0,,,,,1,,,0,,,0,,,,0,,,,0,,,
106001,,,,,,,"1,018",,,434,,,,,,42.6,,,54,,,4,,,,,1,,,,,23,,,0,,,5,,,,0,,,,0,,,
106013,,,,,,,108,,,56,,,,,,51.9,,,4,,,0,,,,,0,,,,,4,,,0,,,0,,,,0,,,,0,,,
107005,,,,,,,360,,,246,,,,,,68.3,,,49,,,0,,,,,0,,,,,23,,,0,,,1,,,,0,,,,0,,,
107007,,,,,,,189,,,93,,,,,,49.2,,,3,,,0,,,,,0,,,,,4,,,1,,,0,,,,0,,,,0,,,
108002,,,,,,,458,,,207,,,,,,45.2,,,27,,,4,,,,,1,,,,,10,,,0,,,1,,,,2,,,,0,,,
