district,BALLOTS CAST,JOSEPH R. BIDEN,ELIZABETH WARREN,BERNIE SANDERS
1,53835,13276,7139,17393
2,115900.0,24880.0,17343.0,47320.0
3,51365,11742,5923,19395
4,91725.0,23197.0,13298.0,31503.0
5,0,0,0,0
6,90135.0,24933.0,13973.0,30841.0
7,68344.0,20084.0,7896.0,20523.0
8,54888.0,15590.0,5999.0,16935.0
9,43064.0,12832.0,3146.0,13533.0
10,73483.0,22566.0,7099.0,25149.0
11,74035.0,26145.0,7451.0,23045.0
12,137888.0,38968.0,21732.0,38043.0
13,47814.0,15647.0,3189.0,16847.0
14,128234.0,33122.0,33281.0,50466.0
15,64128.0,27572.0,9291.0,27265.0
16,85444.0,36620.0,15214.0,24600.0
17,141490.0,33023.0,33511.0,49256.0
18,131189.0,28948.0,30598.0,54019.0
19,140793.0,34786.0,27416.0,48974.0
20,83787.0,22952.0,9340.0,32440.0
21,105677.0,29056.0,16409.0,29983.0
22,41401.0,11191.0,2945.0,14895.0
23,132181.0,34096.0,21611.0,28618.0
24,70498.0,16981.0,6360.0,23607.0
25,81109.0,14522.0,5555.0,27877.0
26,95612.0,18576.0,11019.0,25850.0
27,29533.0,7642.0,1979.0,12259.0
28,147912.0,32790.0,18270.0,41770.0
29,62056.0,14762.0,4564.0,24148.0
30,109119.0,30161.0,16637.0,35208.0
31,38876.0,10339.0,2756.0,15791.0
32,57435.0,10880.0,3566.0,11820.0
33,63343.0,7463.0,1652.0,10796.0
34,54566.0,13302.0,3519.0,13176.0
35,29810.0,7581.0,1781.0,13360.0
36,34280.0,10578.0,2221.0,14049.0
37,83709.0,22554.0,11686.0,30848.0
38,71317.0,20198.0,7712.0,28016.0
39,55601.0,10569.0,2116.0,13637.0
40,143578.0,23117.0,7884.0,24292.0
41,172481.0,29397.0,15366.0,28404.0
42,143746.0,37147.0,12973.0,26026.0
43,108250.0,11239.0,4377.0,26700.0
44,209916.0,27507.0,20824.0,36597.0
45,40960.0,12664.0,2563.0,17558.0
46,144272.0,21417.0,8865.0,25363.0
47,57489.0,21022.0,6529.0,17013.0
48,112508.0,15527.0,3791.0,24536.0
49,111592.0,14213.0,6383.0,22598.0
50,46960.0,14431.0,3555.0,20118.0
51,246652.0,33571.0,25514.0,40237.0
52,210756.0,17799.0,19339.0,53300.0
53,58172.0,11945.0,3041.0,19404.0
54,118354.0,9500.0,6111.0,31897.0
55,229986.0,34915.0,19768.0,39586.0
56,124970.0,18617.0,4432.0,25316.0
57,89602.0,10454.0,2965.0,21552.0
58,41688.0,11398.0,3298.0,19287.0
59,56986.0,18602.0,6196.0,17976.0
60,36634.0,10433.0,2068.0,16424.0
61,166554.0,28853.0,10122.0,27844.0
62,105194.0,11981.0,4005.0,25286.0
63,49699.0,15961.0,4140.0,18293.0
64,112345.0,15825.0,3944.0,27242.0
65,114000.0,18383.0,3058.0,22018.0
66,169530.0,28243.0,10765.0,23665.0
67,64181.0,14033.0,4482.0,22003.0
68,46953.0,9169.0,3786.0,25689.0
69,155308.0,20651.0,9656.0,29395.0
70,44189.0,11206.0,3713.0,18065.0
71,53663.0,17327.0,5608.0,16885.0
72,78302.0,24769.0,9021.0,21137.0
73,61553.0,15703.0,7805.0,24884.0
74,103848.0,19674.0,7374.0,21729.0
75,117792.0,17218.0,7073.0,17111.0
76,130288.0,18998.0,7854.0,20967.0
77,220682.0,33042.0,15764.0,32399.0
78,211110.0,27592.0,17559.0,37715.0
79,129890.0,17100.0,7031.0,26960.0
80,125068.0,15262.0,4424.0,29092.0
