4/10/2020 10:22:05 AM,,,,,,,,,,,,,,,,,,,,,
Precinct,JULIÁN CASTRO (DEM),,MICHAEL A. ELLINGER (DEM),,,,,,,,,,,,,,,,,,
95020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,,,,,,,,,,,,,,,,
Vote by Mail,0,0%,0,,0%,,,,,,,,,,,,,,,,
Total,0,0%,0,,0%,,,,,,,,,,,,,,,,
95028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,,,,,,,,,,,,,,,,
Vote by Mail,0,,0,,,,,,,,,,,,,,,,,,
Total,0,,0,,,,,,,,,,,,,,,,,,
99000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0%,0,,0%,,,,,,,,,,,,,,,,
Total,0,0%,0,,0%,,,,,,,,,,,,,,,,
99002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,,,,,,,,,,,,,,,,
Vote by Mail,0,0%,0,,0%,,,,,,,,,,,,,,,,
Total,0,0%,0,,0%,,,,,,,,,,,,,,,,
44th Assembly District - Total,108,0.16%,14,,0.02%,,,,,,,,,,,,,,,,
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
26000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,0,,0%,,,,,,,,,,,,,,,,
Vote by Mail,0,0%,0,,0%,,,,,,,,,,,,,,,,
Total,0,0%,0,,0%,,,,,,,,,,,,,,,,
45th Assembly District - Total,0,0%,0,,0%,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,,,,,,,,,,,,,,,,
Vote by Mail,0,,0,,,,,,,,,,,,,,,,,,
Total,0,,0,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,,,,,,,,,,,,,,,
Member of the State Assembly - Total,184,0.14%,24,,0.02%,,,,,,,,,,,,,,,,
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,ELIZABETH WARREN (DEM),,MARIANNE WILLIAMSON (DEM),,,ANDREW YANG (DEM),,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM)",,,JOHN K. DELANEY (DEM),,,,AMY KLOBUCHAR (DEM),,,,BERNIE SANDERS (DEM),,
95020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,1,6.67%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,1,,6.67%
Total,1,6.25%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,2,,12.5%
95028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
99000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,13,19.12%,0,,0%,0,0%,0,,0%,0,,0%,,4,,5.88%,,9,,13.24%
Total,13,19.12%,0,,0%,0,0%,0,,0%,0,,0%,,4,,5.88%,,9,,13.24%
99002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,9,24.32%,0,,0%,0,0%,0,,0%,0,,0%,,3,,8.11%,,10,,27.03%
Total,9,22.5%,0,,0%,0,0%,0,,0%,0,,0%,,3,,7.5%,,11,,27.5%
44th Assembly District - Total,7618,11.15%,72,,0.11%,426,0.62%,62,,0.09%,50,,0.07%,,1641,,2.4%,,22917,,33.54%
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
26000,,,,,,,,,,,,,,,,,,,,,
Polling Place,34,12.32%,1,,0.36%,3,1.09%,0,,0%,0,,0%,,0,,0%,,53,,19.2%
Vote by Mail,22,11.34%,0,,0%,1,0.52%,0,,0%,0,,0%,,14,,7.22%,,39,,20.1%
Total,56,11.91%,1,,0.21%,4,0.85%,0,,0%,0,,0%,,14,,2.98%,,92,,19.57%
45th Assembly District - Total,56,11.91%,1,,0.21%,4,0.85%,0,,0%,0,,0%,,14,,2.98%,,92,,19.57%
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Cumulative - Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Member of the State Assembly - Total,15230,11.52%,150,,0.11%,707,0.53%,107,,0.08%,73,,0.06%,,3195,,2.42%,,45830,,34.65%
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,JOE SESTAK (DEM),,TOM STEYER (DEM),,,DEVAL PATRICK (DEM),,MICHAEL BENNET (DEM),,,MICHAEL R. BLOOMBERG (DEM),,,,MOSIE BOYD (DEM),,,,CORY BOOKER (DEM),,
95020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,3,,20%,,0,,0%,,0,,0%
Total,0,0%,0,,0%,0,0%,0,,0%,3,,18.75%,,0,,0%,,0,,0%
95028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
99000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,0%,2,,2.94%,0,0%,2,,2.94%,12,,17.65%,,0,,0%,,1,,1.47%
Total,0,0%,2,,2.94%,0,0%,2,,2.94%,12,,17.65%,,0,,0%,,1,,1.47%
99002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,5,,13.51%,,0,,0%,,0,,0%
Total,0,0%,0,,0%,0,0%,0,,0%,5,,12.5%,,0,,0%,,0,,0%
44th Assembly District - Total,23,0.03%,1312,,1.92%,14,0.02%,64,,0.09%,8809,,12.89%,,18,,0.03%,,35,,0.05%
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
26000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,1,,0.36%,0,0%,0,,0%,37,,13.41%,,0,,0%,,0,,0%
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,33,,17.01%,,0,,0%,,0,,0%
Total,0,0%,1,,0.21%,0,0%,0,,0%,70,,14.89%,,0,,0%,,0,,0%
45th Assembly District - Total,0,0%,1,,0.21%,0,0%,0,,0%,70,,14.89%,,0,,0%,,0,,0%
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Cumulative - Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Member of the State Assembly - Total,47,0.04%,2750,,2.08%,21,0.02%,138,,0.1%,15660,,11.84%,,32,,0.02%,,90,,0.07%
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,PETE BUTTIGIEG (DEM),,JOSEPH R. BIDEN (DEM),,,TULSI GABBARD (DEM),,MARK STEWART GREENSTEIN (DEM),,,Total Votes,,"NAKIA L. ANTHONY
Qualified Write In",,,,"DAPHNE DENISE BRADFORD
Qualified Write In",,,,
95020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,1,6.67%,9,,60%,0,0%,0,,0%,15,,0,,,0%,0,,,0%,
Total,1,6.25%,9,,56.25%,0,0%,0,,0%,16,,0,,,0%,0,,,0%,
95028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
99000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,8,11.76%,17,,25%,0,0%,0,,0%,68,,0,,,0%,0,,,0%,
Total,8,11.76%,17,,25%,0,0%,0,,0%,68,,0,,,0%,0,,,0%,
99002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,0,0%,8,,21.62%,2,5.41%,0,,0%,37,,0,,,0%,0,,,0%,
Total,1,2.5%,9,,22.5%,2,5%,0,,0%,40,,0,,,0%,0,,,0%,
44th Assembly District - Total,2936,4.3%,21738,,31.81%,460,0.67%,19,,0.03%,68336,,0,,,0%,0,,,0%,
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
26000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,147,,53.26%,0,0%,0,,0%,276,,0,,,0%,0,,,0%,
Vote by Mail,11,5.67%,73,,37.63%,1,0.52%,0,,0%,194,,0,,,0%,0,,,0%,
Total,11,2.34%,220,,46.81%,1,0.21%,0,,0%,470,,0,,,0%,0,,,0%,
45th Assembly District - Total,11,2.34%,220,,46.81%,1,0.21%,0,,0%,470,,0,,,0%,0,,,0%,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Cumulative - Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Member of the State Assembly - Total,5715,4.32%,41288,,31.22%,978,0.74%,41,,0.03%,132260,,0,,,0%,0,,,0%,
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,"WILLIE FELIX CARTER
Qualified Write In",,"MICHAEL DENAME
Qualified Write In",,,"JEFFREY H. DROBMAN
Qualified Write In",,"ROBERT JORDAN
Qualified Write In",,,"HEATHER MARIE STAGG
Qualified Write In",,,,Unresolved Write-In,,,,,,
95020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
95028,,,,,,,,,,,,,,,,,,,,,
