COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
34TH CONGRESS DIST,Voter Nominated, , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DAVID KIM,JIMMY GOMEZ,
BELVEDERE,0850001A,6160,286,Y, ,POLLING PLACE,78,28,43, 
BELVEDERE,0850001A,6160,286,Y, ,VBM PORTION,240,93,129, 
BELVEDERE,0850001A,6160,286,Y,1075,TOTAL,318,121,172, 
BELVEDERE,0850005A,96,286,N, ,POLLING PLACE,159,60,80, 
BELVEDERE,0850005A,96,286,N, ,VBM PORTION,484,165,289, 
BELVEDERE,0850005A,96,286,N,1944,TOTAL,643,225,369, 
BELVEDERE,0850011A,97,286,N, ,POLLING PLACE,128,45,67, 
BELVEDERE,0850011A,97,286,N, ,VBM PORTION,464,148,269, 
BELVEDERE,0850011A,97,286,N,2122,TOTAL,592,193,336, 
BELVEDERE,0850013A,98,286,N, ,POLLING PLACE,117,47,60, 
BELVEDERE,0850013A,98,286,N, ,VBM PORTION,243,85,139, 
BELVEDERE,0850013A,98,286,N,1254,TOTAL,360,132,199, 
BELVEDERE,0850015A,99,286,N, ,POLLING PLACE,197,62,105, 
BELVEDERE,0850015A,99,286,N, ,VBM PORTION,549,174,333, 
BELVEDERE,0850015A,99,286,N,2584,TOTAL,746,236,438, 
BELVEDERE,0850017A,100,286,N, ,POLLING PLACE,176,51,103, 
BELVEDERE,0850017A,100,286,N, ,VBM PORTION,494,139,302, 
BELVEDERE,0850017A,100,286,N,2412,TOTAL,670,190,405, 
BELVEDERE,0850037C,101,286,N, ,POLLING PLACE,128,46,74, 
BELVEDERE,0850037C,101,286,N, ,VBM PORTION,548,166,339, 
BELVEDERE,0850037C,101,286,N,2506,TOTAL,676,212,413, 
BELVEDERE,0850052A,102,286,N, ,POLLING PLACE,89,41,39, 
BELVEDERE,0850052A,102,286,N, ,VBM PORTION,269,85,158, 
BELVEDERE,0850052A,102,286,N,1283,TOTAL,358,126,197, 
BELVEDERE,0850058A,103,286,N, ,POLLING PLACE,123,40,64, 
BELVEDERE,0850058A,103,286,N, ,VBM PORTION,497,173,295, 
BELVEDERE,0850058A,103,286,N,2334,TOTAL,620,213,359, 
BELVEDERE,0850061A,104,286,N, ,POLLING PLACE,170,68,77, 
BELVEDERE,0850061A,104,286,N, ,VBM PORTION,593,206,350, 
BELVEDERE,0850061A,104,286,N,2365,TOTAL,763,274,427, 
EAST LOS ANGELES,2000002A,267,286,N, ,POLLING PLACE,174,63,96, 
EAST LOS ANGELES,2000002A,267,286,N, ,VBM PORTION,400,120,254, 
EAST LOS ANGELES,2000002A,267,286,N,2398,TOTAL,574,183,350, 
EAST LOS ANGELES,2000003A,268,286,N, ,POLLING PLACE,126,42,75, 
EAST LOS ANGELES,2000003A,268,286,N, ,VBM PORTION,384,131,226, 
EAST LOS ANGELES,2000003A,268,286,N,2326,TOTAL,510,173,301, 
EAST LOS ANGELES,2000010A,6450,286,Y, ,POLLING PLACE,14,3,8, 
EAST LOS ANGELES,2000010A,6450,286,Y, ,VBM PORTION,55,11,36, 
EAST LOS ANGELES,2000010A,6450,286,Y,259,TOTAL,69,14,44, 
EAST LOS ANGELES,2000011A,269,286,N, ,POLLING PLACE,170,72,76, 
EAST LOS ANGELES,2000011A,269,286,N, ,VBM PORTION,501,126,325, 
EAST LOS ANGELES,2000011A,269,286,N,2664,TOTAL,671,198,401, 
EAST LOS ANGELES,2000018C,270,286,N, ,POLLING PLACE,187,67,85, 
EAST LOS ANGELES,2000018C,270,286,N, ,VBM PORTION,696,242,403, 
EAST LOS ANGELES,2000018C,270,286,N,2854,TOTAL,883,309,488, 
EAST LOS ANGELES,2000022A,271,286,N, ,POLLING PLACE,133,47,72, 
EAST LOS ANGELES,2000022A,271,286,N, ,VBM PORTION,493,173,277, 
EAST LOS ANGELES,2000022A,271,286,N,2458,TOTAL,626,220,349, 
EAST LOS ANGELES,2000024A,272,286,N, ,POLLING PLACE,119,51,52, 
