COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
L A UNIFIED SCH-BOE 2, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIA BRENES,ROCIO RIVAS,
BELVEDERE,0850001A,6160,286,Y, ,POLLING PLACE,78,31,42, 
BELVEDERE,0850001A,6160,286,Y, ,VBM PORTION,240,101,121, 
BELVEDERE,0850001A,6160,286,Y,1075,TOTAL,318,132,163, 
BELVEDERE,0850005A,96,286,N, ,POLLING PLACE,159,77,68, 
BELVEDERE,0850005A,96,286,N, ,VBM PORTION,484,218,221, 
BELVEDERE,0850005A,96,286,N,1944,TOTAL,643,295,289, 
BELVEDERE,0850011A,97,286,N, ,POLLING PLACE,128,49,66, 
BELVEDERE,0850011A,97,286,N, ,VBM PORTION,464,205,232, 
BELVEDERE,0850011A,97,286,N,2122,TOTAL,592,254,298, 
BELVEDERE,0850013A,98,286,N, ,POLLING PLACE,117,61,47, 
BELVEDERE,0850013A,98,286,N, ,VBM PORTION,243,132,94, 
BELVEDERE,0850013A,98,286,N,1254,TOTAL,360,193,141, 
BELVEDERE,0850015A,99,286,N, ,POLLING PLACE,197,90,80, 
BELVEDERE,0850015A,99,286,N, ,VBM PORTION,549,241,255, 
BELVEDERE,0850015A,99,286,N,2584,TOTAL,746,331,335, 
BELVEDERE,0850017A,100,286,N, ,POLLING PLACE,176,85,76, 
BELVEDERE,0850017A,100,286,N, ,VBM PORTION,494,235,195, 
BELVEDERE,0850017A,100,286,N,2412,TOTAL,670,320,271, 
BELVEDERE,0850037C,101,286,N, ,POLLING PLACE,128,66,59, 
BELVEDERE,0850037C,101,286,N, ,VBM PORTION,548,274,243, 
BELVEDERE,0850037C,101,286,N,2506,TOTAL,676,340,302, 
BELVEDERE,0850052A,102,286,N, ,POLLING PLACE,89,56,28, 
BELVEDERE,0850052A,102,286,N, ,VBM PORTION,269,127,118, 
BELVEDERE,0850052A,102,286,N,1283,TOTAL,358,183,146, 
BELVEDERE,0850058A,103,286,N, ,POLLING PLACE,123,54,51, 
BELVEDERE,0850058A,103,286,N, ,VBM PORTION,497,213,250, 
BELVEDERE,0850058A,103,286,N,2334,TOTAL,620,267,301, 
BELVEDERE,0850061A,104,286,N, ,POLLING PLACE,170,86,63, 
BELVEDERE,0850061A,104,286,N, ,VBM PORTION,593,279,267, 
BELVEDERE,0850061A,104,286,N,2365,TOTAL,763,365,330, 
COMMERCE,1430002A,6278,806,Y, ,POLLING PLACE,60,41,16, 
COMMERCE,1430002A,6278,806,Y, ,VBM PORTION,139,74,53, 
COMMERCE,1430002A,6278,806,Y,806,TOTAL,199,115,69, 
EAST LOS ANGELES,2000002A,267,286,N, ,POLLING PLACE,174,95,67, 
EAST LOS ANGELES,2000002A,267,286,N, ,VBM PORTION,400,184,186, 
EAST LOS ANGELES,2000002A,267,286,N,2398,TOTAL,574,279,253, 
EAST LOS ANGELES,2000003A,268,286,N, ,POLLING PLACE,126,66,53, 
EAST LOS ANGELES,2000003A,268,286,N, ,VBM PORTION,384,184,170, 
EAST LOS ANGELES,2000003A,268,286,N,2326,TOTAL,510,250,223, 
EAST LOS ANGELES,2000010A,6450,286,Y, ,POLLING PLACE,14,8,5, 
EAST LOS ANGELES,2000010A,6450,286,Y, ,VBM PORTION,55,31,17, 
EAST LOS ANGELES,2000010A,6450,286,Y,259,TOTAL,69,39,22, 
EAST LOS ANGELES,2000011A,269,286,N, ,POLLING PLACE,170,84,67, 
EAST LOS ANGELES,2000011A,269,286,N, ,VBM PORTION,501,235,224, 
EAST LOS ANGELES,2000011A,269,286,N,2664,TOTAL,671,319,291, 
EAST LOS ANGELES,2000018C,270,286,N, ,POLLING PLACE,187,84,77, 
EAST LOS ANGELES,2000018C,270,286,N, ,VBM PORTION,696,333,314, 
EAST LOS ANGELES,2000018C,270,286,N,2854,TOTAL,883,417,391, 
EAST LOS ANGELES,2000022A,271,286,N, ,POLLING PLACE,133,61,63, 
EAST LOS ANGELES,2000022A,271,286,N, ,VBM PORTION,493,223,233, 
EAST LOS ANGELES,2000022A,271,286,N,2458,TOTAL,626,284,296, 
EAST LOS ANGELES,2000024A,272,286,N, ,POLLING PLACE,119,61,45, 
EAST LOS ANGELES,2000024A,272,286,N, ,VBM PORTION,412,207,178, 
EAST LOS ANGELES,2000024A,272,286,N,2345,TOTAL,531,268,223, 
EAST LOS ANGELES,2000028B,6451,286,Y, ,POLLING PLACE,82,46,29, 
