COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
LOS ANGELES CITY GEN-MAYOR, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN RUTH BASS,RICK J CARUSO,
LOS ANGELES,9000001A,1084,277,N, ,POLLING PLACE,249,157,88, 
LOS ANGELES,9000001A,1084,277,N, ,VBM PORTION,1800,1346,430, 
LOS ANGELES,9000001A,1084,277,N,2597,TOTAL,2049,1503,518, 
LOS ANGELES,9000002B,1085,457,N, ,POLLING PLACE,239,134,100, 
LOS ANGELES,9000002B,1085,457,N, ,VBM PORTION,1418,966,420, 
LOS ANGELES,9000002B,1085,457,N,2668,TOTAL,1657,1100,520, 
LOS ANGELES,9000004A,1086,463,N, ,POLLING PLACE,345,121,214, 
LOS ANGELES,9000004A,1086,463,N, ,VBM PORTION,1700,904,758, 
LOS ANGELES,9000004A,1086,463,N,3082,TOTAL,2045,1025,972, 
LOS ANGELES,9000006A,1087,272,N, ,POLLING PLACE,235,120,111, 
LOS ANGELES,9000006A,1087,272,N, ,VBM PORTION,1510,833,661, 
LOS ANGELES,9000006A,1087,272,N,3092,TOTAL,1745,953,772, 
LOS ANGELES,9000008A,1088,28,N, ,POLLING PLACE,208,54,140, 
LOS ANGELES,9000008A,1088,28,N, ,VBM PORTION,839,363,434, 
LOS ANGELES,9000008A,1088,28,N,3077,TOTAL,1047,417,574, 
LOS ANGELES,9000009A,1089,9,N, ,POLLING PLACE,188,48,128, 
LOS ANGELES,9000009A,1089,9,N, ,VBM PORTION,596,240,339, 
LOS ANGELES,9000009A,1089,9,N,2304,TOTAL,784,288,467, 
LOS ANGELES,9000016A,1090,771,N, ,POLLING PLACE,251,55,193, 
LOS ANGELES,9000016A,1090,771,N, ,VBM PORTION,1169,407,731, 
LOS ANGELES,9000016A,1090,771,N,2404,TOTAL,1420,462,924, 
LOS ANGELES,9000021A,1091,28,N, ,POLLING PLACE,278,60,208, 
LOS ANGELES,9000021A,1091,28,N, ,VBM PORTION,1047,362,635, 
LOS ANGELES,9000021A,1091,28,N,2771,TOTAL,1325,422,843, 
LOS ANGELES,9000025A,7569,771,N, ,POLLING PLACE,163,50,108, 
