COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREF. - DEM,Democratic, , , ,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JULIAN CASTRO,MICHAEL A ELLINGER,ELIZABETH WARREN,M WILLIAMSON,ANDREW YANG,R DE LA FUENTE III,JOHN K DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,M R BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R BIDEN,TULSI GABBARD,MARK S GREENSTEIN,
ACTON,0050002G,6001,16,Y, ,POLLING PLACE,277,1,0,20,1,2,1,0,0,163,0,2,0,0,17,0,4,3,57,1,0, 
ACTON,0050002G,6001,16,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050002G,6001,16,Y,0,TOTAL,277,1,0,20,1,2,1,0,0,163,0,2,0,0,17,0,4,3,57,1,0, 
ACTON,0050003A,1,3,N, ,POLLING PLACE,278,1,0,24,0,0,1,0,3,110,1,1,0,0,23,1,5,7,94,2,0, 
ACTON,0050003A,1,3,N, ,VBM PORTION,138,0,0,15,0,0,0,0,4,40,0,4,0,0,14,1,0,14,32,3,0, 
ACTON,0050003A,1,3,N,566,TOTAL,416,1,0,39,0,0,1,0,7,150,1,5,0,0,37,2,5,21,126,5,0, 
ACTON,0050014A,2,6,N, ,POLLING PLACE,59,0,0,6,0,0,0,0,0,20,0,3,0,0,1,0,1,1,22,1,0, 
ACTON,0050014A,2,6,N, ,VBM PORTION,54,0,0,8,0,0,0,0,0,16,0,2,0,0,7,0,0,6,12,1,1, 
ACTON,0050014A,2,6,N,168,TOTAL,113,0,0,14,0,0,0,0,0,36,0,5,0,0,8,0,1,7,34,2,1, 
ACTON,0050022A,6002,15,Y, ,POLLING PLACE,25,0,0,7,0,0,1,0,0,12,0,0,0,0,0,0,0,0,5,0,0, 
ACTON,0050022A,6002,15,Y, ,VBM PORTION,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0, 
ACTON,0050022A,6002,15,Y,14,TOTAL,31,0,0,10,0,0,1,0,0,13,0,0,0,0,0,0,0,0,7,0,0, 
ACTON,0050025A,6003,12,Y, ,POLLING PLACE,12,0,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,2,0,0, 
ACTON,0050025A,6003,12,Y, ,VBM PORTION,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 
ACTON,0050025A,6003,12,Y,2,TOTAL,14,0,0,3,0,0,0,0,0,6,0,0,0,0,2,0,0,1,2,0,0, 
ACTON,0050026A,6004,18,Y, ,POLLING PLACE,11,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,2,0,0, 
ACTON,0050026A,6004,18,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050026A,6004,18,Y,0,TOTAL,11,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,2,0,0, 
ACTON,0050052D,6005,107,Y, ,POLLING PLACE,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050052D,6005,107,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050052D,6005,107,Y,0,TOTAL,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050063A,3,3,N, ,POLLING PLACE,167,1,1,20,0,1,1,1,1,55,1,1,0,0,8,0,2,6,61,2,0, 
ACTON,0050063A,3,3,N, ,VBM PORTION,194,1,0,26,0,1,0,0,7,43,0,5,0,0,22,0,0,13,67,0,0, 
ACTON,0050063A,3,3,N,585,TOTAL,361,2,1,46,0,2,1,1,8,98,1,6,0,0,30,0,2,19,128,2,0, 
AGOURA,0070006A,4,245,N, ,POLLING PLACE,339,0,0,41,1,0,0,0,6,96,0,2,0,0,42,0,0,5,140,1,0, 
AGOURA,0070006A,4,245,N, ,VBM PORTION,252,0,0,52,0,0,0,0,14,52,0,2,0,0,43,0,0,13,73,1,0, 
AGOURA,0070006A,4,245,N,708,TOTAL,591,0,0,93,1,0,0,0,20,148,0,4,0,0,85,0,0,18,213,2,0, 
AGOURA,0070041A,5,245,N, ,POLLING PLACE,239,0,0,32,1,0,0,0,2,61,2,2,0,1,25,0,1,1,104,2,0, 
AGOURA,0070041A,5,245,N, ,VBM PORTION,197,0,0,20,0,0,0,0,10,52,0,6,0,0,35,0,0,17,53,1,0, 
AGOURA,0070041A,5,245,N,589,TOTAL,436,0,0,52,1,0,0,0,12,113,2,8,0,1,60,0,1,18,157,3,0, 
AGOURA HILLS,0080001A,6,245,N, ,POLLING PLACE,451,0,0,49,0,2,0,0,2,88,2,4,5,2,53,0,1,17,214,3,0, 
AGOURA HILLS,0080001A,6,245,N, ,VBM PORTION,361,0,0,41,0,1,0,0,16,78,0,4,0,1,56,0,0,32,127,2,0, 
AGOURA HILLS,0080001A,6,245,N,999,TOTAL,812,0,0,90,0,3,0,0,18,166,2,8,5,3,109,0,1,49,341,5,0, 
AGOURA HILLS,0080012A,7,245,N, ,POLLING PLACE,440,0,0,46,1,1,0,0,18,68,1,3,1,2,70,0,0,13,207,3,0, 
AGOURA HILLS,0080012A,7,245,N, ,VBM PORTION,453,0,0,48,0,5,0,0,16,64,0,4,0,0,89,0,0,36,182,4,0, 
AGOURA HILLS,0080012A,7,245,N,1078,TOTAL,893,0,0,94,1,6,0,0,34,132,1,7,1,2,159,0,0,49,389,7,0, 
AGOURA HILLS,0080038A,8,245,N, ,POLLING PLACE,231,0,0,26,0,1,0,0,2,68,3,3,2,1,20,1,0,5,89,2,0, 
AGOURA HILLS,0080038A,8,245,N, ,VBM PORTION,228,1,0,42,0,1,0,0,7,50,0,7,0,0,28,0,0,22,60,2,0, 
AGOURA HILLS,0080038A,8,245,N,575,TOTAL,459,1,0,68,0,2,0,0,9,118,3,10,2,1,48,1,0,27,149,4,0, 
AGOURA HILLS,0080043A,9,245,N, ,POLLING PLACE,251,0,0,34,1,2,0,0,3,75,0,3,1,0,28,0,0,3,97,3,0, 
AGOURA HILLS,0080043A,9,245,N, ,VBM PORTION,284,0,0,49,2,2,0,0,7,92,0,4,0,0,26,0,0,16,82,1,0, 
AGOURA HILLS,0080043A,9,245,N,757,TOTAL,535,0,0,83,3,4,0,0,10,167,0,7,1,0,54,0,0,19,179,4,0, 
AGOURA HILLS,0080047A,10,245,N, ,POLLING PLACE,330,0,0,41,1,1,0,0,3,93,1,1,0,2,44,0,1,7,129,1,0, 
AGOURA HILLS,0080047A,10,245,N, ,VBM PORTION,290,0,0,39,1,2,0,0,10,79,0,11,0,0,43,0,0,21,77,3,0, 
AGOURA HILLS,0080047A,10,245,N,771,TOTAL,620,0,0,80,2,3,0,0,13,172,1,12,0,2,87,0,1,28,206,4,0, 
AGOURA HILLS,0080050A,11,245,N, ,POLLING PLACE,376,0,0,43,1,1,0,0,6,91,1,8,0,1,31,0,1,5,174,1,1, 
AGOURA HILLS,0080050A,11,245,N, ,VBM PORTION,383,0,0,66,0,2,0,0,7,93,0,7,0,1,59,0,0,17,116,8,0, 
AGOURA HILLS,0080050A,11,245,N,987,TOTAL,759,0,0,109,1,3,0,0,13,184,1,15,0,2,90,0,1,22,290,9,1, 
AGOURA HILLS,0080052A,12,245,N, ,POLLING PLACE,400,0,0,61,1,1,0,0,6,89,2,8,0,2,52,0,0,5,167,1,0, 
AGOURA HILLS,0080052A,12,245,N, ,VBM PORTION,400,0,1,63,0,1,0,1,15,93,0,10,0,0,69,0,0,25,109,3,0, 
AGOURA HILLS,0080052A,12,245,N,997,TOTAL,800,0,1,124,1,2,0,1,21,182,2,18,0,2,121,0,0,30,276,4,0, 
AGUA DULCE,0090003A,13,23,N, ,POLLING PLACE,110,2,0,8,0,1,0,0,0,29,0,0,0,0,11,0,0,1,47,1,1, 
AGUA DULCE,0090003A,13,23,N, ,VBM PORTION,93,0,1,4,0,2,1,0,2,21,0,4,0,0,11,0,1,9,29,2,0, 
AGUA DULCE,0090003A,13,23,N,278,TOTAL,203,2,1,12,0,3,1,0,2,50,0,4,0,0,22,0,1,10,76,3,1, 
AGUA DULCE,0090004A,14,23,N, ,POLLING PLACE,108,1,1,15,0,1,0,0,3,34,0,2,0,0,4,0,0,3,40,1,0, 
AGUA DULCE,0090004A,14,23,N, ,VBM PORTION,82,0,0,5,0,0,0,0,6,26,0,0,0,0,12,0,0,11,19,0,0, 
AGUA DULCE,0090004A,14,23,N,261,TOTAL,190,1,1,20,0,1,0,0,9,60,0,2,0,0,16,0,0,14,59,1,0, 
AGUA DULCE,0090006A,6006,25,Y, ,POLLING PLACE,8,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0, 
AGUA DULCE,0090006A,6006,25,Y, ,VBM PORTION,9,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0, 
AGUA DULCE,0090006A,6006,25,Y,31,TOTAL,17,0,0,3,0,0,0,0,0,8,0,1,0,0,0,0,0,2,2,0,0, 
AGUA DULCE,0090007B,6007,24,Y, ,POLLING PLACE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090007B,6007,24,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
