,District,area_col,Code,percent
1,13,9.481450445148422e-05,9001820A,0.9976529243469591
2,1,3.764344706646596e-05,9001839A,0.8073989662944867
3,13,8.979658285316184e-06,9001839A,0.1926010337055636
4,1,1.184959758719117e-05,9000605A,0.2836945810152742
5,13,2.991925659671535e-05,9000605A,0.7163054189847489
7,14,4.611641121331034e-05,9000856A,0.9995289379835725
9,14,9.371759683829456e-05,9000816A,0.9988629219792827
11,13,7.565206309302126e-05,9006324A,0.9599379884074456
14,14,8.10101656847448e-05,9000882A,0.9910776970576035
15,1,7.955721933047136e-05,9000922B,1.0000000000000004
17,14,9.241868898347305e-05,9000593C,0.9997450953734255
18,1,4.253962128165252e-05,9000915A,0.4206199520302278
19,14,5.859590754032796e-05,9000915A,0.5793800479697869
20,1,0.00010490396433436453,9003937B,1.0000000000000002
21,1,8.593300198841744e-05,9000878A,0.9999999999999996
22,1,5.405385975796334e-05,9001841A,0.8140729632727653
23,14,1.2345421629124153e-05,9001841A,0.1859270367273299
24,1,4.323196784037899e-05,9001210A,0.86026334454172
25,14,7.0223735943455475e-06,9001210A,0.1397366554582495
26,1,3.449286145865156e-05,9005543B,0.9999999999999998
27,1,2.0569351359446877e-05,9000319A,0.38167854576419014
28,13,1.4016759617213385e-05,9000319A,0.2600906724541504
29,14,1.930570869128358e-05,9000319A,0.358230781781655
30,1,0.00013567994206581196,9001014A,0.9961514197350337
32,1,3.803613540617003e-05,9000464B,0.9991077307064652
35,14,5.5087143163077404e-05,9002809A,0.9966027052423113
37,14,5.7146683473288326e-05,9000927A,0.9998738383262386
38,1,0.0001342859957086882,9000887A,0.8933995488011774
39,14,1.6023007568604454e-05,9000887A,0.10660045119882075
40,1,6.186947040765798e-05,9000602A,0.9799372773340379
43,1,5.344684998742574e-05,9000371A,0.964265146023235
46,1,0.0003892938912532621,9001660A,0.9188339989590022
49,14,8.60865484233362e-05,9006321A,0.9999767079713264
50,1,0.00014225815682373743,9000885A,0.9975503411893892
52,1,0.0001388139579881009,9000029B,0.9765456934944868
55,13,7.88113940154698e-05,9000872A,0.9966026556251394
57,13,0.00012121184519625798,9000513A,0.9473610012405773
58,1,3.9610975739601206e-05,9007542A,0.9770609136297514
60,1,4.0303023412523246e-05,9002364A,0.9999999999999994
62,10,4.3733642006316595e-05,9007107A,0.998172990407783
65,10,4.983085628894309e-05,9005405A,0.9656982794372646
66,1,7.061709655668591e-05,9002053A,1.000000000000001
67,1,5.404496991995241e-05,9000829A,1.0000000000000004
68,1,4.3452304441144796e-05,9005537A,0.9999999999999997
69,1,4.709369021340602e-05,9000818A,0.8856518664881519
70,14,6.0803525401475875e-06,9000818A,0.11434813351183791
71,1,0.00010495830577589212,9002248A,0.9999999999999983
72,1,0.00010144648564866697,9000835A,1.0000000000000018
73,1,0.00012195974755450982,9006313C,1.0
74,1,3.71542047572353e-05,9001104A,1.0000000000000002
75,1,4.6119186977085775e-05,9000515A,1.0
76,1,8.177540596582184e-05,9006317A,0.9766676694623324
