,District,area_col,percent,precinct
0,33,9.478080948141005e-05,1.0000000000000007,3850070A
1,33,0.00021071309512602719,1.0000000000000007,3850562A
2,33,9.299891318868037e-05,0.9999999999999996,3850055A
3,33,0.00010806491736113633,1.0,3850075A
5,35,0.00038088557420199836,0.9943603041544001,1030108B
6,33,2.2468998486457717e-07,0.9959804074252845,1960030B
9,35,5.60286554267345e-06,0.9998816771459269,1450141C
11,35,9.449112819325808e-05,0.9892206883689947,1450305B
13,35,3.189337395222437e-05,0.9862915775947004,1450149A
15,35,0.0005171091174554423,0.9997444062946395,1450163A
17,35,6.0671162120616786e-05,0.9985210679770812,1450136A
19,35,6.687310473980615e-05,0.9967708510842991,1030115A
21,35,5.517811835452939e-05,0.9952743734522126,1030113A
22,33,5.0010190737966576e-05,0.9762190856978035,3850650A
25,35,0.00036034962886996775,0.9904284858072427,1800020B
26,33,3.1141095474876986e-05,0.9902166305854111,3850037F
29,35,0.002434024163559375,0.9907231416437853,9004233A
30,33,3.8208708186488724e-05,0.6397571975613666,2300042A
31,35,2.151505628561913e-05,0.36024280243868856,2300042A
33,35,3.8706656742729344e-05,0.998792490302317,2300016A
35,35,5.26141393005096e-05,0.9617587168616931,2300001A
36,33,2.634807059781672e-05,1.0,3850661B
38,30,6.549668945824196e-05,0.9989084789634415,0750029B
40,30,8.493224953239309e-05,0.9997417504700101,0750035A
42,30,6.544448824829813e-05,0.999845499970976,0750012A
44,30,7.827510570042708e-05,0.9999986144251879,0750031A
46,30,7.782463861786678e-05,0.9989411795165182,0750060A
48,30,7.827487292187807e-05,0.9999859437478484,0750007A
49,33,1.4109843440448746e-06,0.9999999999999997,3850226B
50,33,1.9288014270357152e-05,0.9983394653067339,3990001B
52,33,3.1306656024952166e-07,1.0000000000000002,6450007A
53,33,4.59469132621651e-07,1.0000000000000002,6450006B
55,28,3.481583304372853e-05,0.9965584104701743,9000958A
56,33,3.300304612607461e-05,1.0,0700008A
57,33,6.338104391390938e-05,0.9999999999999996,0700017A
58,33,6.639184872767855e-05,0.9999999999999996,0700002A
59,33,5.535425065313768e-05,1.0000000000000004,0700019A
60,33,0.00014334634202170475,0.9908612031931667,0700005A
62,33,5.592536794459102e-05,0.9999999999999998,0700007B
63,33,4.1946946952761527e-05,1.0000000000000002,0700013A
64,33,4.68140440639995e-05,1.0,0700018A
66,35,1.5545642182379025e-05,0.9676171975137269,9000108A
68,26,6.222411646990573e-05,0.9996716253612495,2000045A
69,33,5.407501115395542e-05,0.9997025653635416,2300008A
71,33,5.0618865725735886e-05,0.9994960154141813,2300025A
73,33,6.993787960785714e-05,0.9998197620369713,2300003A
75,33,6.328057444953479e-05,0.9993964036414704,2300013A
79,26,6.126597750087956e-05,0.9980344191606649,2000033A
80,33,5.517174338411295e-05,0.9998475287735857,2300041A
82,33,6.418267813829266e-05,1.0000000000000007,2300006A
83,33,7.529260262225496e-05,0.9999999999999993,2300009A
86,26,5.35435717716908e-05,0.9994920329399682,2000081A
88,26,8.069158982340323e-05,0.9998500007059521,2000001A
90,26,1.8286279728964778e-05,0.999922899355486,2000055A
92,26,4.9636352300294545e-05,0.9979004517005619,2000002A
94,26,4.939762098470806e-05,0.9990957478482799,2000082A
95,33,5.0474520716290506e-05,0.9954510321571206,3450073C
97,33,9.065098893331823e-05,0.9932819895487541,3450023A
99,33,8.502598772329731e-05,0.9924624645918749,3450092A
101,33,7.286234349062992e-05,0.9955773023235049,3450080A
103,33,0.00012085544699566663,0.9971734760220119,3450004A
106,33,9.753549578886169e-05,0.9928562204846062,3450019A
108,33,4.143681537998764e-05,1.0000000000000007,3850621A
109,33,8.863132559830565e-05,1.0000000000000002,3450015A
110,33,0.00011516600061508179,0.997337769614263,3450002A
112,33,4.342096122759021e-05,0.9975030328847984,3450079A
114,33,8.582792978980308e-05,0.9996940074169828,3450003A
116,33,6.398274377313824e-05,1.0000000000000004,3850248A
117,33,8.296099847764254e-05,0.9999999999999997,3850624A
118,33,0.00010262487049525959,0.9999999999999998,3850617A
119,33,9.788271475342009e-05,0.9961986203768963,3450059A
121,33,7.752963120081913e-05,0.9940864262331128,3450091A
123,33,8.215639934724083e-05,1.0,3450060A
124,33,3.9570687576617274e-05,1.0,3850227A
125,33,5.429777694202564e-05,0.9999999999999998,3850229A
126,33,4.714113601666397e-05,1.0,3850135A
127,33,5.3640016183357966e-05,1.0,3850660A
128,33,8.466234417996095e-05,0.9999999999999999,3450037A
129,33,8.354623434419396e-05,0.9999999999999997,3450035A
130,33,9.152070690779565e-05,0.9999999999999996,3450031A
131,33,8.551611575997672e-05,1.0,3450013A
132,33,2.74918604377684e-05,0.9999999999999999,3450007B
133,33,8.36150430491938e-05,0.9999810510609091,3450030A
135,33,0.00015220711867542234,0.9999999999999993,3450020A
137,30,7.306126457939111e-07,0.9962167700255584,1850044A
138,33,1.939254387599199e-06,1.0,3850091C
139,33,0.00017639141253138253,1.0,3450045A
140,33,0.00015610552011655242,1.000000000000001,3450043A
141,33,8.109409388722947e-05,0.9999999999999994,3450046A
142,33,9.521824454480622e-05,0.9932415764494187,3850386C
144,33,7.10125483659775e-05,0.999734677498561,3850004A
146,33,6.821507398704525e-05,1.0,3850008A
147,33,4.698450624851e-05,0.9955087597056822,3850001A
149,33,6.501715846722108e-05,1.0000000000000002,3850101A
150,33,7.23393528203085e-05,1.0000000000000004,3850099A
151,33,5.904357277284053e-05,1.0000000000000002,3850092A
152,33,7.882133154657387e-05,0.9902798115699315,3850671B
154,33,6.0162509333305754e-05,0.9999999999999998,3850100A
155,33,5.908010556879783e-05,1.0000000000000004,3850103A
156,33,0.00013741134952596865,0.9999999999999998,3850333A
157,33,2.8274479081452617e-05,0.9875747913565588,3850097A
159,33,5.946979655342881e-05,0.9999999999999998,3850013B
160,33,8.225351626094461e-05,0.9999999999999993,3850141A
161,33,0.0002027684755710722,0.992501806996377,1430002A
163,33,1.1488585074488058e-06,0.9953079551944468,1960030A
