,District,area_col,percent,precinct
0,30,3.525203590780036e-05,1.0,111B - CON 111B
1,30,0.00020508094490131692,0.9999999999999998,518 - CON 518
2,30,0.012764810631779575,0.9999999999999993,204A - CON 204A
3,30,0.1800988878327336,0.9997294125115975,MB03 - MB03
6,30,0.0004919377587250414,0.9999999999999993,112 - CON 112
7,30,0.00012886246122016475,1.0000000000000002,309 - CON 309
8,30,0.00014078502570259924,1.0,211 - CON 211
9,30,0.001946223670788229,1.0000000000000009,502 - CON 502
10,30,4.94615852000255e-05,1.0,505 - CON 505
11,30,0.0001230668938241852,0.9999999999999996,517 - CON 517
12,30,0.00035836031962929125,0.9999999999999989,110 - CON 110
13,30,0.002605726156554948,1.0000000000000002,204B - CON 204B
15,37,0.00212613111150094,0.997989726036313,407 - CON 407
16,30,0.0017365286179955662,0.9999999999999999,501 - CON 501
17,30,0.00029363567636578314,0.9999999999999994,402 - CON 402
18,30,0.00019372850394029005,1.0000000000000027,214 - CON 214
19,30,0.0002345246402803426,0.9899174747908097,312 - CON 312
21,30,0.000316769827419622,1.000000000000001,311 - CON 311
22,30,0.000771612035824653,1.0000000000000022,201 - CON 201
23,30,0.00020454934548058736,1.0,210 - CON 210
24,30,0.0056432473070554025,0.9999999999999996,512 - CON 512
25,30,0.0005641711129442365,0.9999999999999973,301 - CON 301
26,30,0.0003510198745678392,0.9999999999999999,507 - CON 507
27,30,0.053554113081464426,1.0000000000000004,105 - CON 105
28,30,0.0001448939997669182,0.9996792924509553,414 - CON 414
30,30,0.04082505448575496,0.9999999999999997,MB02 - MB02
31,30,0.08251683245788827,0.8762700498387469,MB01B - MB01B
32,37,0.011651435044890312,0.12372995016125272,MB01B - MB01B
33,30,0.00017409583467759392,0.9934411198428765,314 - CON 314
35,30,0.04527542376561457,0.9999999999999999,511 - CON 511
36,30,0.0026627678975219876,0.9999999999999997,315 - CON 315
37,30,0.050742187572939704,0.9996630157339823,MB08 - MB08
39,30,0.0002781063918753411,1.0000000000000004,207 - CON 207
40,30,0.0023543936415608736,1.0000000000000007,MB15 - MB15
41,30,0.010593005067796073,0.9494332019341138,406 - CON 406
43,30,0.0004390388732241393,0.9999381033305738,310 - CON 310
45,30,3.233831567337103e-05,0.9999999999999998,MB25 - MB25
