,District,area_col,percent,precinct
0,6,0.000134996104499994,0.9999999999999996,0042854
1,6,9.950142899993668e-05,1.0000000000000004,0042960
3,6,0.0001106991320095829,0.915303413116691,0043845
6,6,0.0002675353389999781,0.9623653034710403,0043915
7,6,0.00010396705200001759,0.9999999999999998,0044209
9,6,0.00011812308604188741,0.999996757984267,0044507
10,10,0.00014412940531920846,0.713867252615815,0044601
12,6,5.415513303821474e-05,0.26822823525437844,0044601
13,10,1.6766275538233944e-05,0.11837116803498567,0044625
14,6,0.00012487527296180698,0.8816288319650126,0044625
15,10,6.91594774999473e-05,0.4828614955652988,0044757
16,6,7.406891849998749e-05,0.5171385044347022,0044757
18,6,0.00013019879650002196,0.9941601712900432,0044903
19,10,0.00011853049299995575,0.9709236485297796,0045015
22,6,8.785285100000478e-05,0.9999997438899935,0045058
23,10,9.553440800000669e-05,0.9999999999999999,0045140
24,6,0.00016508396549997595,1.0000000000000002,0045205
25,10,0.00013815043800001334,0.9901553640222877,0045314
27,10,9.692768450000436e-05,0.9999999999999999,0045418
28,10,6.624279350001788e-05,1.0000000000000002,0045453
29,10,6.632915250000489e-05,0.9999999999999998,0045482
30,10,4.1830167999976606e-05,0.5258661197374478,0045511
31,6,3.771511250005143e-05,0.47413388026255243,0045511
32,10,0.00017556282250001255,0.9997832812664368,0045548
34,10,0.000147254163500016,1.0,0045624
35,10,0.00011406889249999998,1.0000000000000004,0045670
36,10,0.0001208492769999759,1.0000000000000002,0045701
37,10,0.0001488167095000155,1.0000000000000004,0045736
38,10,5.607923000014771e-06,1.0,0045774
39,10,0.00022247667449996005,1.0,0045847
40,10,0.00011249480500001276,1.0000000000000007,0045908
41,10,9.615993349997865e-05,1.0,0045931
42,10,0.00028131545999999944,0.9999999999999998,0045997
43,10,9.76674039999901e-05,0.9999955307704006,0046014
45,10,0.00014181008950000165,0.999996058123946,0046098
47,10,7.338602049999235e-05,0.9999999999999998,0046220
48,10,8.434984150002654e-05,0.9999999999999999,0046307
49,10,0.00010964485799998113,0.9999999999999999,0046344
50,10,0.0007700221249999734,0.9999986623778805,0046419
52,10,0.00012798264799997167,1.0000000000000004,0046445
53,10,0.00016521801449998722,1.0000000000000002,0046618
54,10,0.00010852809549999351,0.9999999999999999,0046682
55,10,0.00012122143150001643,0.9999999999999999,0046690
56,10,0.0001450259644999949,0.9999999999999991,0046828
