,District,area_col,percent,precinct
3,25,0.023204099835020794,0.9917887905108298,6410
5,24,0.0016422686253388574,0.9999883889641756,6419
7,23,0.00018444050599998558,1.0000000000000009,2048
9,23,0.00025396004472406165,0.9999589764267213,2068
11,23,0.0013412872571522943,0.9991003840912196,2098
12,25,0.036043987505000354,0.9999999999999963,5925
14,25,0.028778655512838737,0.9822581959231753,5957
16,25,0.020616910159370887,0.9964290196215928,5959
20,25,0.031072245514987683,0.9999999896366486,6492
21,23,0.003403943630999988,0.9999999973560076,2001
23,23,0.00022233932799999118,1.0000000000000004,2002
24,23,0.00021893181099997774,1.0000000000000002,2003
25,23,0.0005634044745000379,0.9999999999999997,2005
26,23,0.00013955927699997917,1.0,2006
27,23,0.0002382091450000029,1.0000000000000002,2010
28,23,0.00023207680649999199,1.0000000000000004,2013
29,23,0.00022447283350000166,1.0000000000000002,2014
30,23,2.1000266000005848e-05,1.0000000000000002,2018
31,23,0.00017180882550002299,0.9999999999999992,2049
32,23,0.00022283746400002724,1.0000000000000016,2110
33,23,0.000526522615999988,0.9999999999999978,2274
34,23,0.00037200542300000705,0.9999999999999992,2275
35,23,0.00031583958799999163,1.0000000000000009,2278
36,23,0.0003719352805000093,1.0000000000000007,2279
37,23,0.0007960819920000124,0.9999999999999999,2281
38,23,0.00019630799900000734,0.9999999999999989,2301
39,23,0.00036232549650001367,0.9999999999999988,2305
40,23,0.000181274343500005,0.9999999999999987,2309
41,23,0.0002297560909999969,0.9999999999999999,2314
42,23,0.0003085441912701765,0.9988901888632088,2317
44,23,0.0003206842213330025,0.9987461703344185,2330
46,23,0.00011258430098617753,0.9855962724961707,2338
48,23,0.0009633043619999913,0.9999999999999999,2539
49,23,0.00024041504350000694,0.9999999999999991,2542
50,23,0.00033031950649998695,1.0,2543
52,28,0.0002848639445275434,0.9986090567811684,2724
54,28,8.089453507541264e-05,0.9929346402637929,2726
56,28,0.00020858262079586745,0.9974211659588492,2740
58,28,1.836119401456573e-05,0.9999996195536975,2751
59,23,0.00037459816483349686,0.9999648764846737,2802
61,23,0.00036783135882238673,0.9999992559704605,2808
63,23,0.00045138527106271107,0.9937825700015245,2811
66,23,0.0027123014854208553,0.981632561850447,2813
68,23,0.0002886418359121694,0.9999999009572682,2816
70,23,1.80036148890283e-05,0.8298372460032665,2825
71,26,3.691741610981339e-06,0.17016275399666494,2825
72,23,0.001504695899325113,0.9805458583893216,2870
74,23,0.0006149571009398242,0.9885073629515834,2951
77,26,0.0003830428844380076,0.9957719523561246,3003
80,26,0.0017033818308358048,0.9999981262813352,3010
82,26,0.0001642986139884108,0.9984604284166765,3016
83,26,0.00017983774150002262,1.0000000000000002,3023
85,26,0.00024195284229489158,0.9939217920614422,3034
87,26,0.00012603780710345383,0.999491872008624,3039
89,26,0.000251210213037237,0.9947606303269388,3043
90,23,0.00024361409199999103,0.9999999999999996,3402
91,23,0.00014574612849999077,0.9999999999999991,3406
92,23,0.0001883210549999982,1.0000000000000002,3407
93,23,0.00020062889699998238,0.9999999999999998,3408
94,23,0.00019662570449998094,0.9999999999999998,3409
95,23,0.0002737452446954552,0.988150698459807,3410
97,23,0.0009829291599848385,0.9955410634329324,3412
100,23,0.00013752359100000278,0.9999999999999992,3427
101,23,0.0001560066570000131,0.9999999999999998,3434
102,23,0.0002357986179999911,1.0,3438
103,23,0.00027381243448254387,0.994246840168531,3439
106,26,0.00018934611855793147,0.9580028010223971,3601
108,26,8.49290524637106e-05,0.9999772458041948,3603
110,26,0.0001291157979999919,0.9999991867771635,3604
112,26,0.00018715953043787727,0.9919004518125633,3606
114,26,0.0002218350100319813,0.9997656804254684,3608
116,26,0.00025715607635390077,0.9986709654183576,3609
118,26,0.0002545235750406169,0.9999997683537939,3611
119,26,0.00016415514000005167,0.9999999999999999,3614
121,26,0.000343126636436874,0.9886852202829384,3624
123,28,0.00028861454612901655,0.9987383453576433,3781
125,28,9.784391758618204e-05,0.9888395929323223,3782
127,28,3.436421500057581e-05,0.9962510216390594,3784
128,23,6.344504949998248e-05,0.9959580882891987,3801
131,23,8.177259553944061e-05,0.9970647336131425,3802
133,23,0.0001292440530516063,0.9873323898580041,3803
135,23,0.00015860341366364349,0.9999996479499299,3805
137,23,0.00021020296649979897,0.9956863256606082,3810
139,23,0.00014743708500000168,1.0000000000000002,3811
140,23,0.00014782276150001754,0.9999987485028224,3814
142,23,0.00011783155749997022,0.999999999999999,3820
143,23,4.700355100002938e-05,1.0000000000000009,3821
144,23,0.0001737372002295619,0.9987267622610191,3825
146,23,0.00016383759564334567,0.9998947827414897,3828
148,23,0.00015234073965825567,0.9809340587134097,3840
150,23,0.00010152009649996011,1.0,4665
151,23,0.00011674693149998244,0.9999997473167663,4666
153,23,0.00033702625649671355,0.9999999999902314,4669
155,23,0.00023496900964965084,0.9995676880227714,4672
157,23,0.00013543758800001025,1.0000000000000007,4674
158,23,5.214384749998534e-05,1.0000000000000002,4675
159,23,0.00031887866256145685,0.9990930925685891,4676
161,23,0.0005627003653639767,0.9987463662175233,4685
163,23,0.00019912290449999135,1.0000000000000002,4687
164,23,0.0002810287274999937,1.000000000000001,4689
165,23,0.0003016708125000142,0.9999999999999994,4691
166,23,0.00024842543000000856,1.0000000000000002,4695
167,23,0.0002064711090000449,1.0000000000000007,4696
168,23,0.00016884809740045598,0.9994742262402466,4704
170,23,5.797382781500332e-05,0.995768406517629,4733
