COUNTY OF LOS ANGELES,GENERAL ELECTION,11/3/20,,,,,,,,,,,,
PRES AND VICE PRES, , , , ,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSEPH R BIDEN,DONALD J TRUMP,GLORIA LA RIVA,ROQUE D GUERRA,HOWIE HAWKINS,JO JORGENSEN,
ACTON,0050005A,1,17,N, ,POLLING PLACE,792,179,593,2,3,0,7, 
ACTON,0050005A,1,17,N, ,VBM PORTION,1059,416,614,2,2,1,11, 
ACTON,0050005A,1,17,N,1974,TOTAL,1851,595,1207,4,5,1,18, 
ACTON,0050014A,6001,18,Y, ,POLLING PLACE,223,38,181,0,1,2,1, 
ACTON,0050014A,6001,18,Y, ,VBM PORTION,351,147,195,1,0,2,2, 
ACTON,0050014A,6001,18,Y,697,TOTAL,574,185,376,1,1,4,3, 
ACTON,0050022A,6002,90,Y, ,POLLING PLACE,15,5,10,0,0,0,0, 
ACTON,0050022A,6002,90,Y, ,VBM PORTION,41,16,23,0,1,0,1, 
ACTON,0050022A,6002,90,Y,61,TOTAL,56,21,33,0,1,0,1, 
ACTON,0050024A,6003,190,Y, ,POLLING PLACE,1,1,0,0,0,0,0, 
ACTON,0050024A,6003,190,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050024A,6003,190,Y,0,TOTAL,1,1,0,0,0,0,0, 
ACTON,0050025A,6004,88,Y, ,POLLING PLACE,1,0,1,0,0,0,0, 
ACTON,0050025A,6004,88,Y, ,VBM PORTION,4,2,2,0,0,0,0, 
ACTON,0050025A,6004,88,Y,5,TOTAL,5,2,3,0,0,0,0, 
ACTON,0050026A,6005,98,Y, ,POLLING PLACE,1,0,1,0,0,0,0, 
ACTON,0050026A,6005,98,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050026A,6005,98,Y,0,TOTAL,1,0,1,0,0,0,0, 
ACTON,0050027A,6006,254,Y, ,POLLING PLACE,1,0,1,0,0,0,0, 
ACTON,0050027A,6006,254,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050027A,6006,254,Y,0,TOTAL,1,0,1,0,0,0,0, 
ACTON,0050028A,6007,36,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050028A,6007,36,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050028A,6007,36,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050052D,6008,250,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050052D,6008,250,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050052D,6008,250,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050056A,6009,190,Y, ,POLLING PLACE,1,0,1,0,0,0,0, 
ACTON,0050056A,6009,190,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050056A,6009,190,Y,0,TOTAL,1,0,1,0,0,0,0, 
ACTON,0050059A,2,17,N, ,POLLING PLACE,408,78,322,1,1,0,2, 
ACTON,0050059A,2,17,N, ,VBM PORTION,646,227,400,0,2,0,12, 
ACTON,0050059A,2,17,N,1252,TOTAL,1054,305,722,1,3,0,14, 
ACTON,0050063A,3,17,N, ,POLLING PLACE,634,73,552,0,1,0,5, 
ACTON,0050063A,3,17,N, ,VBM PORTION,1137,436,665,0,2,5,17, 
ACTON,0050063A,3,17,N,2089,TOTAL,1771,509,1217,0,3,5,22, 
AGOURA,0070006A,4,440,N, ,POLLING PLACE,399,172,215,0,2,0,6, 
AGOURA,0070006A,4,440,N, ,VBM PORTION,1479,1059,360,2,4,7,22, 
AGOURA,0070006A,4,440,N,2153,TOTAL,1878,1231,575,2,6,7,28, 
AGOURA,0070008A,6010,274,Y, ,POLLING PLACE,190,42,142,1,1,0,1, 
AGOURA,0070008A,6010,274,Y, ,VBM PORTION,717,459,244,0,1,0,3, 
AGOURA,0070008A,6010,274,Y,1041,TOTAL,907,501,386,1,2,0,4, 
AGOURA,0070041A,5,440,N, ,POLLING PLACE,323,95,221,0,1,1,4, 
AGOURA,0070041A,5,440,N, ,VBM PORTION,930,601,282,2,1,5,15, 
AGOURA,0070041A,5,440,N,1429,TOTAL,1253,696,503,2,2,6,19, 
AGOURA HILLS,0080001A,6,437,N, ,POLLING PLACE,525,216,299,0,1,0,4, 
AGOURA HILLS,0080001A,6,437,N, ,VBM PORTION,1822,1277,486,1,2,6,20, 
AGOURA HILLS,0080001A,6,437,N,2556,TOTAL,2347,1493,785,1,3,6,24, 
AGOURA HILLS,0080012A,7,437,N, ,POLLING PLACE,439,167,263,0,2,0,3, 
AGOURA HILLS,0080012A,7,437,N, ,VBM PORTION,2114,1423,617,2,4,5,18, 
AGOURA HILLS,0080012A,7,437,N,2807,TOTAL,2553,1590,880,2,6,5,21, 
AGOURA HILLS,0080043A,8,437,N, ,POLLING PLACE,559,203,339,1,1,3,7, 
AGOURA HILLS,0080043A,8,437,N, ,VBM PORTION,1875,1237,564,5,2,4,22, 
AGOURA HILLS,0080043A,8,437,N,2839,TOTAL,2434,1440,903,6,3,7,29, 
AGOURA HILLS,0080047A,9,437,N, ,POLLING PLACE,387,147,227,0,1,1,5, 
AGOURA HILLS,0080047A,9,437,N, ,VBM PORTION,1300,925,325,2,0,6,17, 
AGOURA HILLS,0080047A,9,437,N,1932,TOTAL,1687,1072,552,2,1,7,22, 
AGOURA HILLS,0080050A,10,437,N, ,POLLING PLACE,432,160,259,0,1,1,7, 
AGOURA HILLS,0080050A,10,437,N, ,VBM PORTION,1640,1086,487,2,4,10,20, 
AGOURA HILLS,0080050A,10,437,N,2326,TOTAL,2072,1246,746,2,5,11,27, 
AGOURA HILLS,0080052A,11,437,N, ,POLLING PLACE,480,186,280,3,2,0,4, 
AGOURA HILLS,0080052A,11,437,N, ,VBM PORTION,1825,1289,465,3,7,7,21, 
AGOURA HILLS,0080052A,11,437,N,2622,TOTAL,2305,1475,745,6,9,7,25, 
AGUA DULCE,0090002A,6011,101,Y, ,POLLING PLACE,1,1,0,0,0,0,0, 
AGUA DULCE,0090002A,6011,101,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090002A,6011,101,Y,0,TOTAL,1,1,0,0,0,0,0, 
AGUA DULCE,0090003A,12,99,N, ,POLLING PLACE,737,104,622,0,2,1,2, 
AGUA DULCE,0090003A,12,99,N, ,VBM PORTION,1392,570,776,4,4,2,15, 
AGUA DULCE,0090003A,12,99,N,2446,TOTAL,2129,674,1398,4,6,3,17, 
AGUA DULCE,0090005B,6012,17,Y, ,POLLING PLACE,34,3,31,0,0,0,0, 
AGUA DULCE,0090005B,6012,17,Y, ,VBM PORTION,82,43,36,0,0,2,0, 
AGUA DULCE,0090005B,6012,17,Y,150,TOTAL,116,46,67,0,0,2,0, 
AGUA DULCE,0090005E,6013,65,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090005E,6013,65,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090005E,6013,65,Y,4,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090006A,6014,100,Y, ,POLLING PLACE,10,2,8,0,0,0,0, 
AGUA DULCE,0090006A,6014,100,Y, ,VBM PORTION,42,20,13,1,0,4,3, 
AGUA DULCE,0090006A,6014,100,Y,80,TOTAL,52,22,21,1,0,4,3, 
AGUA DULCE,0090007B,6015,104,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090007B,6015,104,Y, ,VBM PORTION,4,1,3,0,0,0,0, 
AGUA DULCE,0090007B,6015,104,Y,5,TOTAL,4,1,3,0,0,0,0, 
AGUA DULCE,0090007C,6016,105,Y, ,POLLING PLACE,1,0,1,0,0,0,0, 
AGUA DULCE,0090007C,6016,105,Y, ,VBM PORTION,1,0,1,0,0,0,0, 
AGUA DULCE,0090007C,6016,105,Y,2,TOTAL,2,0,2,0,0,0,0, 
