Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
0000001,,,,0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,85,"1,552",,Polling,0,0.00%,0,0.00%,6,7.23%,,0,0.00%,2,2.41%,,0,0.00%,0,0.00%,0,0.00%,33,39.76%,0,0.00%,3,3.61%,0,0.00%,2,2.41%,7,8.43%,0,0.00%,0,0.00%,0,0.00%,30,36.14%,0,0.00%,0,0.00%,0,0.00%,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,252,"1,552",,Vote by Mail,1,0.40%,0,0.00%,8,3.24%,,0,0.00%,4,1.62%,,3,1.21%,0,0.00%,0,0.00%,72,29.15%,0,0.00%,7,2.83%,0,0.00%,0,0.00%,38,15.38%,0,0.00%,0,0.00%,2,0.81%,111,44.94%,1,0.40%,0,0.00%,0,0.00%,247,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,337,"1,552",,Total,1,0.30%,0,0.00%,14,4.24%,,0,0.00%,6,1.82%,,3,0.91%,0,0.00%,0,0.00%,105,31.82%,0,0.00%,10,3.03%,0,0.00%,2,0.61%,45,13.64%,0,0.00%,0,0.00%,2,0.61%,141,42.73%,1,0.30%,0,0.00%,0,0.00%,330,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000002,,,,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,97,"2,299",,Polling,1,1.05%,1,1.05%,3,3.16%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,51,53.68%,0,0.00%,4,4.21%,0,0.00%,0,0.00%,8,8.42%,0,0.00%,0,0.00%,1,1.05%,26,27.37%,0,0.00%,0,0.00%,0,0.00%,95,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,361,"2,299",,Vote by Mail,0,0.00%,0,0.00%,23,6.48%,,0,0.00%,10,2.82%,,0,0.00%,0,0.00%,2,0.56%,146,41.13%,2,0.56%,19,5.35%,1,0.28%,0,0.00%,51,14.37%,0,0.00%,1,0.28%,7,1.97%,92,25.92%,1,0.28%,0,0.00%,0,0.00%,355,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,458,"2,299",,Total,1,0.22%,1,0.22%,26,5.78%,,0,0.00%,10,2.22%,,0,0.00%,0,0.00%,2,0.44%,197,43.78%,2,0.44%,23,5.11%,1,0.22%,0,0.00%,59,13.11%,0,0.00%,1,0.22%,8,1.78%,118,26.22%,1,0.22%,0,0.00%,0,0.00%,450,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000003,,,,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,70,"1,378",,Polling,1,1.45%,0,0.00%,2,2.90%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,34,49.28%,0,0.00%,1,1.45%,0,0.00%,1,1.45%,7,10.14%,0,0.00%,0,0.00%,0,0.00%,23,33.33%,0,0.00%,0,0.00%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
