Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
0011155,,0011155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,205",Poll Place,,0,0.00%,0,0.00%,5,8.93%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,23,41.07%,1,1.79%,4,7.14%,0,0.00%,0,0.00%,7,12.50%,0,0.00%,0,0.00%,1,1.79%,14,25.00%,1,1.79%,0,0.00%,56,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,205",Vote by Mail,,0,0.00%,1,0.99%,8,7.92%,1,,0.99%,1,0.99%,0,,0.00%,0,0.00%,5,4.95%,33,32.67%,0,0.00%,10,9.90%,1,0.99%,0,0.00%,6,5.94%,0,0.00%,2,1.98%,5,4.95%,28,27.72%,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,205",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,205",Total,,0,0.00%,1,0.64%,13,8.28%,1,,0.64%,1,0.64%,0,,0.00%,0,0.00%,5,3.18%,56,35.67%,1,0.64%,14,8.92%,1,0.64%,0,0.00%,13,8.28%,0,0.00%,2,1.27%,6,3.82%,42,26.75%,1,0.64%,0,0.00%,157,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011190,,0011190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,494",Poll Place,,0,0.00%,0,0.00%,5,7.69%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,23,35.38%,0,0.00%,3,4.62%,0,0.00%,0,0.00%,3,4.62%,0,0.00%,0,0.00%,0,0.00%,31,47.69%,0,0.00%,0,0.00%,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,494",Vote by Mail,,0,0.00%,0,0.00%,17,11.11%,0,,0.00%,2,1.31%,1,,0.65%,0,0.00%,9,5.88%,37,24.18%,0,0.00%,18,11.76%,0,0.00%,0,0.00%,7,4.58%,0,0.00%,1,0.65%,19,12.42%,42,27.45%,0,0.00%,0,0.00%,153,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,494",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,494",Total,,0,0.00%,0,0.00%,22,10.09%,0,,0.00%,2,0.92%,1,,0.46%,0,0.00%,9,4.13%,60,27.52%,0,0.00%,21,9.63%,0,0.00%,0,0.00%,10,4.59%,0,0.00%,1,0.46%,19,8.72%,73,33.49%,0,0.00%,0,0.00%,218,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
