Democratic Party Presidential Preference (Vote For 1)
                                                            BERNIE SANDERS                                                                            JOSEPH R. BIDEN                                                                           MICHAEL R. BLOOMBERG                                                                      ELIZABETH WARREN                                                                          TOM STEYER                                                                                PETE BUTTIGIEG                                                                            AMY KLOBUCHAR                                                                             Write-in                                                                                  ANDREW YANG                                                                               JULIÁN CASTRO                                                                             TULSI GABBARD                                                                             MICHAEL BENNET                                                                            MARIANNE WILLIAMSON                                                                       ROQUE "ROCKY" DE LA FUENTE III                                                            MICHAEL A. ELLINGER                                                                       JOHN K. DELANEY                                                                           CORY BOOKER                                                                               MARK STEWART GREENSTEIN                                                                   JOE SESTAK                                                                                DEVAL PATRICK                                                                             MOSIE BOYD                                                                                
County                        Registered Voters             Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Total                         
01001                         738                           70                            24                            94                            15                            15                            30                            19                            5                             24                            2                             1                             3                             1                             0                             1                             2                             0                             2                             0                             0                             0                             2                             0                             2                             0                             0                             0                             3                             0                             3                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             161                           
01002                         969                           98                            21                            119                           23                            17                            40                            31                            7                             38                            4                             1                             5                             3                             1                             4                             11                            3                             14                            2                             0                             2                             2                             1                             3                             1                             0                             1                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             232                           
01003                         1089                          93                            36                            129                           44                            19                            63                            22                            12                            34                            7                             2                             9                             6                             1                             7                             2                             0                             2                             5                             0                             5                             2                             0                             2                             1                             0                             1                             1                             1                             2                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             257                           
01004                         689                           71                            27                            98                            13                            11                            24                            9                             3                             12                            7                             4                             11                            4                             0                             4                             6                             0                             6                             0                             0                             0                             0                             0                             0                             6                             0                             6                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             165                           
01005                         1559                          165                           38                            203                           54                            28                            82                            24                            5                             29                            11                            4                             15                            6                             1                             7                             11                            0                             11                            2                             0                             2                             5                             0                             5                             2                             0                             2                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             360                           
01006                         1130                          106                           27                            133                           46                            29                            75                            30                            6                             36                            11                            3                             14                            5                             1                             6                             3                             0                             3                             1                             0                             1                             0                             0                             0                             4                             1                             5                             5                             0                             5                             0                             1                             1                             3                             3                             6                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             287                           
01007                         685                           47                            14                            61                            41                            10                            51                            19                            5                             24                            8                             1                             9                             8                             0                             8                             4                             0                             4                             2                             0                             2                             0                             1                             1                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             162                           
01008                         974                           93                            15                            108                           25                            7                             32                            26                            8                             34                            12                            3                             15                            10                            0                             10                            5                             0                             5                             4                             0                             4                             1                             0                             1                             9                             0                             9                             1                             0                             1                             2                             0                             2                             0                             0                             0                             1                             0                             1                             0                             0                             0                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             224                           
01009                         544                           50                            5                             55                            18                            5                             23                            8                             0                             8                             4                             0                             4                             0                             1                             1                             2                             0                             2                             0                             0                             0                             0                             0                             0                             4                             0                             4                             4                             0                             4                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             102                           
01010                         954                           74                            23                            97                            23                            6                             29                            20                            8                             28                            4                             2                             6                             5                             0                             5                             0                             0                             0                             0                             0                             0                             1                             0                             1                             6                             0                             6                             6                             0                             6                             0                             0                             0                             0                             0                             0                             0                             1                             1                             2                             0                             2                             0                             1                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             183                           
