Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,88,"1,472",,0,0.00%,0,0.00%,4,4.82%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,62,74.70%,0,0.00%,0,0.00%,0,0.00%,1,1.20%,5,6.02%,0,0.00%,0,0.00%,0,0.00%,11,13.25%,0,0.00%,0,0.00%,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,199,"1,472",,3,1.53%,0,0.00%,10,5.10%,,0,0.00%,1,0.51%,,0,0.00%,0,0.00%,0,0.00%,119,60.71%,0,0.00%,8,4.08%,0,0.00%,0,0.00%,23,11.73%,0,0.00%,0,0.00%,2,1.02%,28,14.29%,2,1.02%,0,0.00%,196,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,472",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,287,"1,472",,3,1.08%,0,0.00%,14,5.02%,,0,0.00%,1,0.36%,,0,0.00%,0,0.00%,0,0.00%,181,64.87%,0,0.00%,8,2.87%,0,0.00%,1,0.36%,28,10.04%,0,0.00%,0,0.00%,2,0.72%,39,13.98%,2,0.72%,0,0.00%,279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,109,"1,730",,0,0.00%,0,0.00%,8,7.41%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,70,64.81%,0,0.00%,2,1.85%,0,0.00%,1,0.93%,12,11.11%,0,0.00%,0,0.00%,0,0.00%,15,13.89%,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,300,"1,730",,2,0.68%,0,0.00%,15,5.07%,,1,0.34%,1,0.34%,,0,0.00%,0,0.00%,5,1.69%,184,62.16%,0,0.00%,8,2.70%,0,0.00%,1,0.34%,27,9.12%,0,0.00%,0,0.00%,7,2.36%,43,14.53%,1,0.34%,1,0.34%,296,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,730",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,409,"1,730",,2,0.50%,0,0.00%,23,5.69%,,1,0.25%,1,0.25%,,0,0.00%,0,0.00%,5,1.24%,254,62.87%,0,0.00%,10,2.48%,0,0.00%,2,0.50%,39,9.65%,0,0.00%,0,0.00%,7,1.73%,58,14.36%,1,0.25%,1,0.25%,404,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,75,"1,138",,2,2.67%,0,0.00%,3,4.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,57,76.00%,0,0.00%,1,1.33%,0,0.00%,2,2.67%,4,5.33%,0,0.00%,1,1.33%,0,0.00%,5,6.67%,0,0.00%,0,0.00%,75,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,183,"1,138",,0,0.00%,0,0.00%,8,4.49%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,122,68.54%,1,0.56%,5,2.81%,0,0.00%,0,0.00%,17,9.55%,0,0.00%,0,0.00%,0,0.00%,24,13.48%,1,0.56%,0,0.00%,178,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,138",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,258,"1,138",,2,0.79%,0,0.00%,11,4.35%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,179,70.75%,1,0.40%,6,2.37%,0,0.00%,2,0.79%,21,8.30%,0,0.00%,1,0.40%,0,0.00%,29,11.46%,1,0.40%,0,0.00%,253,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,80,810,,1,1.32%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,47,61.84%,0,0.00%,1,1.32%,0,0.00%,0,0.00%,9,11.84%,0,0.00%,0,0.00%,0,0.00%,18,23.68%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,109,810,,0,0.00%,0,0.00%,7,6.48%,,0,0.00%,2,1.85%,,0,0.00%,0,0.00%,0,0.00%,73,67.59%,1,0.93%,5,4.63%,0,0.00%,0,0.00%,5,4.63%,0,0.00%,0,0.00%,3,2.78%,12,11.11%,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,810,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
