#FormatVersion 1
#Precinct,Precinct ID,Precinct Reporting,"Registered Voters","REP Ballots Cast","DEM Ballots Cast","NON Ballots Cast","AI Ballots Cast","GRN Ballots Cast","LIB Ballots Cast","PF Ballots Cast","Turnout Percentage",Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,"Absentee Voting Votes","Absentee Voting Overvotes","Absentee Voting Undervotes","Absentee Voting Invalid Votes","Election Day Voting Votes","Election Day Voting Overvotes","Election Day Voting Undervotes","Election Day Voting Invalid Votes","Early Voting Votes","Early Voting Overvotes","Early Voting Undervotes","Early Voting Invalid Votes","Provisional Votes","Provisional Overvotes","Provisional Undervotes","Provisional Invalid Votes","Vote by Mail Votes","Vote by Mail Overvotes","Vote by Mail Undervotes","Vote by Mail Invalid Votes"
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES: Presidential Preference, Vote for One",1,"AI","PHIL COLLINS",5,"",2,0,6,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES: Presidential Preference, Vote for One",1,"AI","ROQUE ""ROCKY"" DE LA FUENTE",1,"",2,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES: Presidential Preference, Vote for One",1,"AI","CHARLES KRAUT",2,"",0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES: Presidential Preference, Vote for One",1,"AI","J.R. MYERS",3,"",1,0,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES: Presidential Preference, Vote for One",1,"AI","DON BLANKENSHIP",4,"",3,0,6,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES: Presidential Preference, Vote for One",1,"AI","Rejected write-ins",0,"",23,0,6,0,22,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES: Presidential Preference, Vote for One",1,"AI","Unassigned write-ins",0,"",0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","JULIÁN CASTRO",5,"",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","MICHAEL A. ELLINGER",13,"",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","ELIZABETH WARREN",12,"",93,0,3,0,84,0,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","MARIANNE WILLIAMSON",8,"",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","ANDREW YANG",20,"",2,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","ROQUE ""ROCKY"" DE LA FUENTE III",10,"",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","JOHN K. DELANEY",4,"",0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","AMY KLOBUCHAR",9,"",27,0,3,0,26,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CP01",492,Reporting         ,1699,306,622,78,37,4,8,0,62.10,"PRESIDENT OF THE UNITED STATES:",2,"DEM","BERNIE SANDERS",11,"",266,0,3,0,216,0,3,0,37,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0
