Precinct,JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,Write-in
0011267,0,0,38,0,4,0,0,17,129,0,4,0,0,32,0,1,25,98,6,0,0
0011397,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,0,0,0
0011648,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0011974,0,0,43,1,2,0,0,4,133,0,5,0,0,20,0,0,24,91,2,0,0
0012669,1,0,66,0,0,1,0,35,66,0,22,0,1,163,2,0,72,275,3,0,0
0012681,0,0,47,0,1,0,1,15,88,0,15,1,1,67,0,2,33,179,1,0,0
0012702,0,0,54,1,4,0,0,8,194,1,3,0,0,29,0,0,18,102,0,0,0
0012733,0,0,75,0,8,0,0,5,176,2,6,0,1,49,0,0,21,166,1,0,0
0012747,0,0,87,1,4,0,1,18,151,0,6,0,0,45,0,1,35,166,0,0,0
0012786,1,0,82,0,7,0,1,4,179,0,10,0,1,47,0,0,31,168,3,0,0
0012807,0,0,35,0,1,0,0,4,102,0,6,0,0,35,0,0,12,98,2,0,0
0012884,0,0,36,0,4,1,0,9,161,0,5,0,0,37,0,1,18,154,2,0,0
0012943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012988,0,0,6,0,1,0,0,0,36,0,2,0,0,8,0,0,2,31,1,0,0
0013032,0,0,25,2,3,1,0,8,73,0,13,0,0,38,0,1,11,63,5,0,0
0013210,1,0,11,0,0,0,0,4,52,1,17,0,0,29,0,0,17,55,0,0,0
0013360,0,0,16,0,1,0,0,11,109,0,13,0,0,30,0,0,17,86,2,0,0
0013424,0,0,32,1,1,1,1,3,98,0,10,0,0,42,0,2,18,94,5,0,0
0013453,0,0,35,0,3,2,1,9,75,0,12,0,0,47,0,0,7,68,5,0,0
0013576,0,0,14,1,1,0,0,3,100,0,21,1,1,40,0,0,10,84,3,0,0
0013635,0,0,24,0,1,0,0,7,96,0,8,0,0,41,0,0,12,91,4,0,0
0013993,0,0,9,1,0,1,1,4,44,0,6,0,0,26,0,0,9,33,1,0,0
0014314,0,0,54,0,6,0,0,9,144,0,4,1,0,54,0,1,31,145,4,0,0
0014363,2,1,62,0,3,0,0,5,134,0,4,0,0,42,0,1,17,139,0,0,0
0014502,0,1,83,0,5,0,0,30,114,1,15,0,0,106,0,0,47,229,6,0,0
0014570,0,0,65,0,10,1,0,9,177,1,10,0,1,50,0,1,35,160,4,0,0
0014628,1,0,52,0,2,0,0,7,201,1,15,0,0,63,0,0,29,157,4,1,0
0014820,2,0,50,1,3,1,0,7,187,1,8,0,1,41,0,0,30,142,2,0,0
0014837,0,0,38,0,1,0,0,3,116,0,9,0,0,46,0,0,7,105,0,0,0
0014971,0,0,60,1,5,0,0,3,262,0,12,0,0,44,0,0,11,165,1,0,0
0015157,0,0,61,0,6,1,0,2,155,0,6,0,0,42,0,0,26,177,0,0,0
0015233,0,0,76,3,4,0,0,5,183,0,5,0,0,33,0,0,20,122,0,0,0
0015321,1,0,91,0,2,0,0,18,199,0,5,0,0,72,0,0,27,228,1,0,0
0015368,0,1,66,0,2,0,0,7,154,0,19,0,0,35,0,0,30,137,2,0,0
0015530,0,0,71,0,4,0,0,10,213,0,10,0,0,34,0,0,26,121,1,0,0
0015614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015707,1,0,56,0,2,1,0,4,201,0,7,0,0,44,0,1,28,121,1,0,0
