Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,Write In,Nakia L. Anthony,,Daphne Denise Bradford,Willie Felix Carter,Michael Dename,Jeffrey H. Drobman,Robert Jordan,Heather Marie Stagg,,
10020,Vote by Mail,1301,443,34.05 %,,,2,,,,,,,,,,
10020,Polling Place,1301,250,19.22 %,,,,,,,,,,,,,
10020,Total,1301,693,53.27 %,,,2,,,,,,,,,,
10060,Vote by Mail,1261,467,37.03 %,,,1,,,,,,,,,,
10060,Polling Place,1261,231,18.32 %,,,1,,,,,,,,,,
10060,Total,1261,698,55.35 %,,,2,,,,,,,,,,
10080,Vote by Mail,1196,408,34.11 %,,,2,,,,,,,,,,
10080,Polling Place,1196,199,16.64 %,,,1,,,,,,,,,,
10080,Total,1196,607,50.75 %,,,3,,,,,,,,,,
10090,Vote by Mail,1240,390,31.45 %,,,,,,,,,,,,,
10090,Polling Place,1240,227,18.31 %,,,2,,,,,,,,,,
10090,Total,1240,617,49.76 %,,,2,,,,,,,,,,
10110,Vote by Mail,1264,380,30.06 %,,,1,,,,,,,,,,
10110,Polling Place,1264,219,17.33 %,,,2,,,,,,,,,,
10110,Total,1264,599,47.39 %,,,3,,,,,,,,,,
10120,Vote by Mail,1298,433,33.36 %,,,5,,,,,,,,,,
10120,Polling Place,1298,275,21.19 %,,,,,,,,,,,,,
10120,Total,1298,708,54.55 %,,,5,,,,,,,,,,
10130,Vote by Mail,1481,497,33.56 %,,,1,,,,,,,,,,
10130,Polling Place,1481,228,15.40 %,,,1,,,,,,,,,,
10130,Total,1481,725,48.95 %,,,2,,,,,,,,,,
10141,Vote by Mail,405,172,42.47 %,,,,,,,,,,,,,
10141,Polling Place,405,55,13.58 %,,,,,,,,,,,,,
10141,Total,405,227,56.05 %,,,,,,,,,,,,,
10143,Vote by Mail,104,50,48.08 %,,,,,,,,,,,,,
10143,Polling Place,104,7,6.73 %,,,,,,,,,,,,,
10143,Total,104,57,54.81 %,,,,,,,,,,,,,
10144,Vote by Mail,1166,422,36.19 %,,,1,,,,,,,,,,
10144,Polling Place,1166,235,20.15 %,,,,,,,,,,,,,
10144,Total,1166,657,56.35 %,,,1,,,,,,,,,,
10151,Vote by Mail,39,17,43.59 %,,,,,,,,,,,,,
10151,Polling Place,39,1,2.56 %,,,,,,,,,,,,,
10151,Total,39,18,46.15 %,,,,,,,,,,,,,
10161,Vote by Mail,712,236,33.15 %,,,,,,,,,,,,,
10161,Polling Place,712,90,12.64 %,,,,,,,,,,,,,
10161,Total,712,326,45.79 %,,,,,,,,,,,,,
10164,Vote by Mail,221,93,42.08 %,,,,,,,,,,,,,
10164,Polling Place,221,1,0.45 %,,,,,,,,,,,,,
10164,Total,221,94,42.53 %,,,,,,,,,,,,,
10170,Vote by Mail,831,264,31.77 %,,,,,,,,,,,,,
10170,Polling Place,831,203,24.43 %,,,2,,,,,,,,,,
10170,Total,831,467,56.20 %,,,2,,,,,,,,,,
10190,Vote by Mail,1349,454,33.65 %,,,,,,,,,,,,,
10190,Polling Place,1349,257,19.05 %,,,,,,,,,,,,,
10190,Total,1349,711,52.71 %,,,,,,,,,,,,,
10201,Vote by Mail,578,185,32.01 %,,,,,,,,,,,,,
10201,Polling Place,578,89,15.40 %,,,,,,,,,,,,,
10201,Total,578,274,47.40 %,,,,,,,,,,,,,
10204,Vote by Mail,48,16,33.33 %,,,,,,,,,,,,,
10204,Polling Place,48,1,2.08 %,,,,,,,,,,,,,
10204,Total,48,17,35.42 %,,,,,,,,,,,,,
10220,Vote by Mail,1197,418,34.92 %,,,2,,,,,,,,,,
10220,Polling Place,1197,192,16.04 %,,,,,,,,,,,,,
10220,Total,1197,610,50.96 %,,,2,,,,,,,,,,
10231,Vote by Mail,185,81,43.78 %,,,1,,,,,,,,,,
10231,Polling Place,185,2,1.08 %,,,,,,,,,,,,,
10231,Total,185,83,44.86 %,,,1,,,,,,,,,,
10232,Vote by Mail,125,63,50.40 %,,,1,,,,,,,,,,
10232,Polling Place,125,4,3.20 %,,,,,,,,,,,,,
10232,Total,125,67,53.60 %,,,1,,,,,,,,,,
10240,Vote by Mail,819,249,30.40 %,,,1,,,,,,,,,,
10240,Polling Place,819,135,16.48 %,,,,,,,,,,,,,
10240,Total,819,384,46.89 %,,,1,,,,,,,,,,
10260,Vote by Mail,972,339,34.88 %,,,1,,,,,,,,,,
10260,Polling Place,972,169,17.39 %,,,,,,,,,,,,,
10260,Total,972,508,52.26 %,,,1,,,,,,,,,,
10270,Vote by Mail,1343,477,35.52 %,,,,,,,,,,,,,
10270,Polling Place,1343,172,12.81 %,,,,,,,,,,,,,
10270,Total,1343,649,48.32 %,,,,,,,,,,,,,
10280,Vote by Mail,320,132,41.25 %,,,,,,,,,,,,,
10280,Polling Place,320,6,1.88 %,,,,,,,,,,,,,
10280,Total,320,138,43.13 %,,,,,,,,,,,,,
10281,Vote by Mail,794,252,31.74 %,,,3,,,,,,,,,,
10281,Polling Place,794,173,21.79 %,,,1,,,,,,,,,,
10281,Total,794,425,53.53 %,,,4,,,,,,,,,,
10287,Vote by Mail,13,7,53.85 %,,,,,,,,,,,,,
10287,Polling Place,13,0,0.00 %,,,,,,,,,,,,,
10287,Total,13,7,53.85 %,,,,,,,,,,,,,
10291,Vote by Mail,1560,544,34.87 %,,,,,,,,,,,,,
10291,Polling Place,1560,231,14.81 %,,,1,,,,,,,,,,
10291,Total,1560,775,49.68 %,,,1,,,,,,,,,,
10310,Vote by Mail,1464,555,37.91 %,,,,,,,,,,,,,
10310,Polling Place,1464,272,18.58 %,,,1,,,,,,,,,,
10310,Total,1464,827,56.49 %,,,1,,,,,,,,,,
10351,Vote by Mail,990,333,33.64 %,,,1,,,,,,,,,,
10351,Polling Place,990,223,22.53 %,,,,,,,,,,,,,
10351,Total,990,556,56.16 %,,,1,,,,,,,,,,
10381,Vote by Mail,1410,422,29.93 %,,,2,,,,,,,,,,
10381,Polling Place,1410,211,14.96 %,,,,,,,,,,,,,
10381,Total,1410,633,44.89 %,,,2,,,,,,,,,,
10410,Vote by Mail,704,237,33.66 %,,,,,,,,,,,,,
10410,Polling Place,704,142,20.17 %,,,,,,,,,,,,,
