Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 US Representative 20th Congressional District,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - ADAM BOLAÑOS SCOW,DEM - JIMMY PANETTA,,REP - JEFF GORMAN,Write In,,
10020,Vote by Mail,1301,582,44.73 %,,,110,348,,101,,,
10020,Polling Place,1301,280,21.52 %,,,72,161,,29,1,,
10020,Total,1301,862,66.26 %,,,182,509,,130,1,,
10060,Vote by Mail,1261,581,46.07 %,,,102,376,,87,,,
10060,Polling Place,1261,260,20.62 %,,,49,178,,27,1,,
10060,Total,1261,841,66.69 %,,,151,554,,114,1,,
10080,Vote by Mail,1196,519,43.39 %,,,79,351,,71,1,,
10080,Polling Place,1196,224,18.73 %,,,54,132,,23,2,,
10080,Total,1196,743,62.12 %,,,133,483,,94,3,,
10090,Vote by Mail,1240,507,40.89 %,,,84,344,,60,1,,
10090,Polling Place,1240,256,20.65 %,,,62,162,,21,,,
10090,Total,1240,763,61.53 %,,,146,506,,81,1,,
10110,Vote by Mail,1264,494,39.08 %,,,96,320,,65,,,
10110,Polling Place,1264,263,20.81 %,,,57,163,,33,1,,
10110,Total,1264,757,59.89 %,,,153,483,,98,1,,
10120,Vote by Mail,1298,545,41.99 %,,,82,376,,76,,,
10120,Polling Place,1298,308,23.73 %,,,56,198,,34,,,
10120,Total,1298,853,65.72 %,,,138,574,,110,,,
10130,Vote by Mail,1481,676,45.64 %,,,108,444,,101,,,
10130,Polling Place,1481,265,17.89 %,,,51,174,,29,,,
10130,Total,1481,941,63.54 %,,,159,618,,130,,,
10141,Vote by Mail,405,245,60.49 %,,,19,172,,44,,,
10141,Polling Place,405,71,17.53 %,,,14,40,,15,,,
10141,Total,405,316,78.02 %,,,33,212,,59,,,
10143,Vote by Mail,104,76,73.08 %,,,6,46,,18,,,
10143,Polling Place,104,7,6.73 %,,,1,5,,,,,
10143,Total,104,83,79.81 %,,,7,51,,18,,,
10144,Vote by Mail,1166,564,48.37 %,,,102,354,,94,1,,
10144,Polling Place,1166,261,22.38 %,,,60,161,,28,1,,
10144,Total,1166,825,70.75 %,,,162,515,,122,2,,
10151,Vote by Mail,39,28,71.79 %,,,6,13,,6,,,
10151,Polling Place,39,1,2.56 %,,,,1,,,,,
10151,Total,39,29,74.36 %,,,6,14,,6,,,
10161,Vote by Mail,712,357,50.14 %,,,55,206,,80,,,
10161,Polling Place,712,117,16.43 %,,,31,57,,22,,,
10161,Total,712,474,66.57 %,,,86,263,,102,,,
10164,Vote by Mail,221,135,61.09 %,,,12,76,,36,,,
10164,Polling Place,221,2,0.90 %,,,1,,,,,,
10164,Total,221,137,61.99 %,,,13,76,,36,,,
10170,Vote by Mail,831,362,43.56 %,,,63,220,,66,,,
10170,Polling Place,831,214,25.75 %,,,38,149,,17,,,
10170,Total,831,576,69.31 %,,,101,369,,83,,,
10190,Vote by Mail,1349,605,44.85 %,,,97,412,,76,2,,
10190,Polling Place,1349,287,21.28 %,,,53,186,,31,1,,
10190,Total,1349,892,66.12 %,,,150,598,,107,3,,
10220,Vote by Mail,1197,534,44.61 %,,,93,352,,63,,,
10220,Polling Place,1197,226,18.88 %,,,54,139,,20,1,,
10220,Total,1197,760,63.49 %,,,147,491,,83,1,,
10232,Vote by Mail,125,88,70.40 %,,,17,51,,19,,,
10232,Polling Place,125,4,3.20 %,,,1,,,,,,
10232,Total,125,92,73.60 %,,,18,51,,19,,,
10240,Vote by Mail,819,352,42.98 %,,,56,220,,71,,,
10240,Polling Place,819,154,18.80 %,,,31,100,,16,1,,
10240,Total,819,506,61.78 %,,,87,320,,87,1,,
10260,Vote by Mail,972,452,46.50 %,,,47,323,,67,,,
10260,Polling Place,972,205,21.09 %,,,34,135,,28,,,
10260,Total,972,657,67.59 %,,,81,458,,95,,,
10270,Vote by Mail,1343,629,46.84 %,,,96,434,,82,,,
10270,Polling Place,1343,193,14.37 %,,,34,137,,19,,,
10270,Total,1343,822,61.21 %,,,130,571,,101,,,
10281,Vote by Mail,794,348,43.83 %,,,60,211,,65,1,,
10281,Polling Place,794,205,25.82 %,,,32,136,,26,,,
10281,Total,794,553,69.65 %,,,92,347,,91,1,,
10287,Vote by Mail,13,12,92.31 %,,,4,4,,4,,,
10287,Polling Place,13,0,0.00 %,,,,,,,,,
10287,Total,13,12,92.31 %,,,4,4,,4,,,
10291,Vote by Mail,1560,797,51.09 %,,,106,505,,168,,,
10291,Polling Place,1560,296,18.97 %,,,38,179,,66,,,
10291,Total,1560,1093,70.06 %,,,144,684,,234,,,
10310,Vote by Mail,1464,679,46.38 %,,,132,455,,70,1,,
10310,Polling Place,1464,302,20.63 %,,,79,177,,22,1,,
