Santa Cruz,,,,,,,,,Precinct Canvass,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,
,,,,,,,,,,,
,,,,,,,,,,,
,,1 S - San Lorenzo Valley School Dist Bond - 55%,,,,,,,,,
,,,,,,,1,1,,,
,,Registered Voters,Voters Cast,Turnout (%),,,Bonds Yes,Bonds No,,,
30042,Vote by Mail,4,2,50.00 %,,,,2,,,
30042,Polling Place,4,0,0.00 %,,,,,,,
30042,Total,4,2,50.00 %,,,,2,,,
30043,Vote by Mail,21,13,61.90 %,,,10,2,,,
30043,Polling Place,21,2,9.52 %,,,1,,,,
30043,Total,21,15,71.43 %,,,11,2,,,
30046,Vote by Mail,1,0,0.00 %,,,,,,,
30046,Polling Place,1,0,0.00 %,,,,,,,
30046,Total,1,0,0.00 %,,,,,,,
30047,Vote by Mail,0,0,,,,,,,,
30047,Polling Place,0,0,,,,,,,,
30047,Total,0,0,,,,,,,,
30074,Vote by Mail,14,7,50.00 %,,,3,4,,,
30074,Polling Place,14,1,7.14 %,,,,1,,,
30074,Total,14,8,57.14 %,,,3,5,,,
50021,Vote by Mail,1364,533,39.08 %,,,265,227,,,
50021,Polling Place,1364,382,28.01 %,,,201,140,,,
50021,Total,1364,915,67.08 %,,,466,367,,,
50040,Vote by Mail,1118,447,39.98 %,,,250,170,,,
50040,Polling Place,1118,324,28.98 %,,,177,102,,,
50040,Total,1118,771,68.96 %,,,427,272,,,
50061,Vote by Mail,870,363,41.72 %,,,192,157,,,
50061,Polling Place,870,187,21.49 %,,,89,76,,,
50061,Total,870,550,63.22 %,,,281,233,,,
50090,Vote by Mail,0,0,,,,,,,,
50090,Polling Place,0,0,,,,,,,,
50090,Total,0,0,,,,,,,,
50091,Vote by Mail,1126,555,49.29 %,,,284,245,,,
50091,Polling Place,1126,234,20.78 %,,,110,105,,,
50091,Total,1126,789,70.07 %,,,394,350,,,
50092,Vote by Mail,938,374,39.87 %,,,213,144,,,
