4/10/2020 10:22:05 AM,,,,,,,,,,,,,,,,,,,,,
Precinct,JULIÁN CASTRO (DEM),,MICHAEL A. ELLINGER (DEM),,,,,,,,,,,,,,,,,,
0095020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,,,,,,,,,,,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
Total,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
0095028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,,,,,,,,,,,,,,,,
Vote by Mail,0,,0,,,,,,,,,,,,,,,,,,
Total,0,,0,,,,,,,,,,,,,,,,,,
0099000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
Total,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
0099002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,,,,,,,,,,,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
Total,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
44th Assembly District - Total,108,0.16%,14,,0.02%,,,,,,,,,,,,,,,,
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
0026000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
Total,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
45th Assembly District - Total,0,0.00%,0,,0.00%,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,,,,,,,,,,,,,,,,
Vote by Mail,0,,0,,,,,,,,,,,,,,,,,,
Total,0,,0,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,,,,,,,,,,,,,,,
Member of the State Assembly - Total,184,0.14%,24,,0.02%,,,,,,,,,,,,,,,,
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,ELIZABETH WARREN (DEM),,MARIANNE WILLIAMSON (DEM),,,ANDREW YANG (DEM),,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM)",,,JOHN K. DELANEY (DEM),,,,AMY KLOBUCHAR (DEM),,,,BERNIE SANDERS (DEM),,
0095020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,1,6.67%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,1,,6.67%
Total,1,6.25%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,2,,12.50%
0095028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
0099000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,13,19.12%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,4,,5.88%,,9,,13.24%
Total,13,19.12%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,4,,5.88%,,9,,13.24%
0099002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,9,24.32%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,3,,8.11%,,10,,27.03%
Total,9,22.50%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,3,,7.50%,,11,,27.50%
44th Assembly District - Total,"7,618",11.15%,72,,0.11%,426,0.62%,62,,0.09%,50,,0.07%,,"1,641",,2.40%,,"22,917",,33.54%
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
0026000,,,,,,,,,,,,,,,,,,,,,
Polling Place,34,12.32%,1,,0.36%,3,1.09%,0,,0.00%,0,,0.00%,,0,,0.00%,,53,,19.20%
Vote by Mail,22,11.34%,0,,0.00%,1,0.52%,0,,0.00%,0,,0.00%,,14,,7.22%,,39,,20.10%
Total,56,11.91%,1,,0.21%,4,0.85%,0,,0.00%,0,,0.00%,,14,,2.98%,,92,,19.57%
45th Assembly District - Total,56,11.91%,1,,0.21%,4,0.85%,0,,0.00%,0,,0.00%,,14,,2.98%,,92,,19.57%
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Cumulative - Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Member of the State Assembly - Total,"15,230",11.52%,150,,0.11%,707,0.53%,107,,0.08%,73,,0.06%,,"3,195",,2.42%,,"45,830",,34.65%
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,JOE SESTAK (DEM),,TOM STEYER (DEM),,,DEVAL PATRICK (DEM),,MICHAEL BENNET (DEM),,,MICHAEL R. BLOOMBERG (DEM),,,,MOSIE BOYD (DEM),,,,CORY BOOKER (DEM),,
0095020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,3,,20.00%,,0,,0.00%,,0,,0.00%
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,3,,18.75%,,0,,0.00%,,0,,0.00%
0095028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
0099000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,0.00%,2,,2.94%,0,0.00%,2,,2.94%,12,,17.65%,,0,,0.00%,,1,,1.47%
Total,0,0.00%,2,,2.94%,0,0.00%,2,,2.94%,12,,17.65%,,0,,0.00%,,1,,1.47%
0099002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,5,,13.51%,,0,,0.00%,,0,,0.00%
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,5,,12.50%,,0,,0.00%,,0,,0.00%
44th Assembly District - Total,23,0.03%,"1,312",,1.92%,14,0.02%,64,,0.09%,"8,809",,12.89%,,18,,0.03%,,35,,0.05%
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
0026000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,1,,0.36%,0,0.00%,0,,0.00%,37,,13.41%,,0,,0.00%,,0,,0.00%
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,33,,17.01%,,0,,0.00%,,0,,0.00%
Total,0,0.00%,1,,0.21%,0,0.00%,0,,0.00%,70,,14.89%,,0,,0.00%,,0,,0.00%
45th Assembly District - Total,0,0.00%,1,,0.21%,0,0.00%,0,,0.00%,70,,14.89%,,0,,0.00%,,0,,0.00%
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Cumulative - Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Member of the State Assembly - Total,47,0.04%,"2,750",,2.08%,21,0.02%,138,,0.10%,"15,660",,11.84%,,32,,0.02%,,90,,0.07%
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,PETE BUTTIGIEG (DEM),,JOSEPH R. BIDEN (DEM),,,TULSI GABBARD (DEM),,MARK STEWART GREENSTEIN (DEM),,,Total Votes,,"NAKIA L. ANTHONY
Qualified Write In",,,,"DAPHNE DENISE BRADFORD
Qualified Write In",,,,
0095020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,1,6.67%,9,,60.00%,0,0.00%,0,,0.00%,15,,0,,,0.00%,0,,,0.00%,
Total,1,6.25%,9,,56.25%,0,0.00%,0,,0.00%,16,,0,,,0.00%,0,,,0.00%,
0095028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
0099000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,8,11.76%,17,,25.00%,0,0.00%,0,,0.00%,68,,0,,,0.00%,0,,,0.00%,
Total,8,11.76%,17,,25.00%,0,0.00%,0,,0.00%,68,,0,,,0.00%,0,,,0.00%,
0099002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,0,0.00%,8,,21.62%,2,5.41%,0,,0.00%,37,,0,,,0.00%,0,,,0.00%,
Total,1,2.50%,9,,22.50%,2,5.00%,0,,0.00%,40,,0,,,0.00%,0,,,0.00%,
44th Assembly District - Total,"2,936",4.30%,"21,738",,31.81%,460,0.67%,19,,0.03%,"68,336",,0,,,0.00%,0,,,0.00%,
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
0026000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,147,,53.26%,0,0.00%,0,,0.00%,276,,0,,,0.00%,0,,,0.00%,
Vote by Mail,11,5.67%,73,,37.63%,1,0.52%,0,,0.00%,194,,0,,,0.00%,0,,,0.00%,
Total,11,2.34%,220,,46.81%,1,0.21%,0,,0.00%,470,,0,,,0.00%,0,,,0.00%,
45th Assembly District - Total,11,2.34%,220,,46.81%,1,0.21%,0,,0.00%,470,,0,,,0.00%,0,,,0.00%,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Cumulative - Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Member of the State Assembly - Total,"5,715",4.32%,"41,288",,31.22%,978,0.74%,41,,0.03%,"132,260",,0,,,0.00%,0,,,0.00%,
