COUNTY OF LOS ANGELES,STATEWIDE DIRECT PRIMARY ELECTION,6/7/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNOR,Voter Nominated, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,M SHELLENBERGER,FREDERIC C SCHULTZ,W W SANDERS III,REINETTE SENUM,LONNIE SORTOR,A M PEREZ-SERRATO,JAMES G HANINK,SHAWN COLLINS,HEATHER COLLINS,ANTHONY FANARA,SERGE FIANKAN,LUIS J RODRIGUEZ,LEO S ZACKY,BRADLEY ZINK,JENNY RAE LE ROUX,DAVID LOZANO,RONALD A ANDERSON,GAVIN NEWSOM,ROBERT C NEWMAN II,BRIAN DAHLE,JOEL VENTRESCA,MAJOR WILLIAMS,RON JONES,ANTHONY TRIMINO,DANIEL R MERCURI,CRISTIAN R MORALES,
ACTON,0050001A,6001,4,Y, ,POLLING PLACE,34,1,0,0,0,0,1,1,2,1,0,1,3,0,1,0,0,0,20,0,1,0,0,0,0,0,0, 
ACTON,0050001A,6001,4,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050001A,6001,4,Y,0,TOTAL,34,1,0,0,0,0,1,1,2,1,0,1,3,0,1,0,0,0,20,0,1,0,0,0,0,0,0, 
ACTON,0050001B,6002,3,Y, ,POLLING PLACE,23,2,0,0,0,0,0,0,0,0,1,0,0,2,0,6,0,2,0,1,7,0,1,0,0,0,0, 
ACTON,0050001B,6002,3,Y, ,VBM PORTION,94,6,0,0,3,0,0,0,6,0,0,0,0,2,0,2,0,3,35,3,26,2,0,0,2,2,0, 
ACTON,0050001B,6002,3,Y,311,TOTAL,117,8,0,0,3,0,0,0,6,0,1,0,0,4,0,8,0,5,35,4,33,2,1,0,2,2,0, 
ACTON,0050001G,6003,3,Y, ,POLLING PLACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, 
ACTON,0050001G,6003,3,Y, ,VBM PORTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, 
ACTON,0050001G,6003,3,Y,3,TOTAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0, 
ACTON,0050001N,6004,4,Y, ,POLLING PLACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, 
ACTON,0050001N,6004,4,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050001N,6004,4,Y,0,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, 
ACTON,0050003A,1,3,N, ,POLLING PLACE,246,29,0,1,0,0,1,0,10,3,1,1,2,14,0,17,6,3,10,0,116,1,4,2,16,4,0, 
ACTON,0050003A,1,3,N, ,VBM PORTION,503,30,0,0,2,0,3,0,39,2,2,0,5,25,0,48,7,6,156,4,132,1,4,2,15,8,2, 
ACTON,0050003A,1,3,N,1964,TOTAL,749,59,0,1,2,0,4,0,49,5,3,1,7,39,0,65,13,9,166,4,248,2,8,4,31,12,2, 
ACTON,0050004B,6005,3,Y, ,POLLING PLACE,62,7,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,1,1,1,35,0,5,0,5,0,0, 
ACTON,0050004B,6005,3,Y, ,VBM PORTION,107,18,0,0,0,0,0,0,5,1,0,0,2,5,0,6,1,1,32,2,25,0,0,0,4,0,0, 
ACTON,0050004B,6005,3,Y,420,TOTAL,169,25,0,0,0,0,0,0,6,1,2,0,2,6,0,9,1,2,33,3,60,0,5,0,9,0,0, 
ACTON,0050004C,6006,4,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050004C,6006,4,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050004C,6006,4,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050004D,6007,3,Y, ,POLLING PLACE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, 
ACTON,0050004D,6007,3,Y, ,VBM PORTION,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0, 
ACTON,0050004D,6007,3,Y,40,TOTAL,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0, 
ACTON,0050008D,6008,4,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050008D,6008,4,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050008D,6008,4,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050011A,6009,66,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050011A,6009,66,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050011A,6009,66,Y,2,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050012A,6010,3,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050012A,6010,3,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050012A,6010,3,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050014A,6011,4,Y, ,POLLING PLACE,63,8,0,0,3,1,0,0,4,0,0,0,0,1,0,3,0,0,4,3,33,0,0,0,0,3,0, 
ACTON,0050014A,6011,4,Y, ,VBM PORTION,195,9,0,0,1,0,0,0,24,2,0,0,3,12,0,7,0,0,60,3,60,1,3,0,7,0,0, 
ACTON,0050014A,6011,4,Y,764,TOTAL,258,17,0,0,4,1,0,0,28,2,0,0,3,13,0,10,0,0,64,6,93,1,3,0,7,3,0, 
ACTON,0050023A,6012,6,Y, ,POLLING PLACE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050023A,6012,6,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050023A,6012,6,Y,5,TOTAL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050025C,6013,2,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050025C,6013,2,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050025C,6013,2,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050027A,6014,21,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050027A,6014,21,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050027A,6014,21,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050028A,6015,4,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050028A,6015,4,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050028A,6015,4,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050031C,6016,21,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050031C,6016,21,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050031C,6016,21,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050036A,6017,21,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050036A,6017,21,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050036A,6017,21,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050041A,6018,66,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050041A,6018,66,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050041A,6018,66,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050042A,6019,8,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050042A,6019,8,Y, ,VBM PORTION,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0, 
ACTON,0050042A,6019,8,Y,4,TOTAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0, 
ACTON,0050055A,6020,52,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050055A,6020,52,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050055A,6020,52,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050056A,6021,66,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050056A,6021,66,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050056A,6021,66,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050057B,6022,6,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050057B,6022,6,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050057B,6022,6,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
ACTON,0050063A,2,3,N, ,POLLING PLACE,267,39,0,0,0,0,0,0,22,3,0,0,1,6,0,11,2,0,15,2,132,0,9,2,10,3,1, 
ACTON,0050063A,2,3,N, ,VBM PORTION,651,44,2,1,0,1,3,0,37,4,1,0,7,22,0,40,5,6,200,6,201,8,12,5,23,1,2, 
ACTON,0050063A,2,3,N,2454,TOTAL,918,83,2,1,0,1,3,0,59,7,1,0,8,28,0,51,7,6,215,8,333,8,21,7,33,4,3, 
