LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALEX G SMITH,RICK J CARUSO,MIKE FEUER,CRAIG E GREIWE,ANDREW KIM,JOE BUSCAINO,KAREN RUTH BASS,KEVIN DE LEON,RAMIT VARMA,GINA VIOLA,MEL WILSON,JOHN JACKSON,
LOS ANGELES,9000001A,1289,206,N, ,POLLING PLACE,178,1,39,0,0,0,0,110,6,0,17,2,0, 
LOS ANGELES,9000001A,1289,206,N, ,VBM PORTION,1516,5,297,8,1,5,2,1016,47,0,102,0,2, 
LOS ANGELES,9000001A,1289,206,N,2638,TOTAL,1694,6,336,8,1,5,2,1126,53,0,119,2,2, 
LOS ANGELES,9000002B,1290,269,N, ,POLLING PLACE,125,1,52,0,1,0,0,52,7,0,12,0,0, 
LOS ANGELES,9000002B,1290,269,N, ,VBM PORTION,1132,8,271,11,2,8,3,665,46,6,91,0,2, 
LOS ANGELES,9000002B,1290,269,N,2743,TOTAL,1257,9,323,11,3,8,3,717,53,6,103,0,2, 
LOS ANGELES,9000004A,1291,309,N, ,POLLING PLACE,210,0,131,2,0,1,0,59,5,1,4,3,0, 
LOS ANGELES,9000004A,1291,309,N, ,VBM PORTION,1300,4,485,22,6,1,4,655,46,1,44,1,1, 
LOS ANGELES,9000004A,1291,309,N,3091,TOTAL,1510,4,616,24,6,2,4,714,51,2,48,4,1, 
LOS ANGELES,9000005A,1292,34,N, ,POLLING PLACE,143,2,86,1,2,1,0,36,4,0,7,1,0, 
LOS ANGELES,9000005A,1292,34,N, ,VBM PORTION,651,6,330,13,1,7,3,217,38,1,13,4,0, 
LOS ANGELES,9000005A,1292,34,N,1838,TOTAL,794,8,416,14,3,8,3,253,42,1,20,5,0, 
LOS ANGELES,9000006A,1293,188,N, ,POLLING PLACE,182,0,69,2,0,6,1,89,3,0,10,0,0, 
LOS ANGELES,9000006A,1293,188,N, ,VBM PORTION,1218,7,413,11,3,57,4,600,21,0,82,3,3, 
LOS ANGELES,9000006A,1293,188,N,3130,TOTAL,1400,7,482,13,3,63,5,689,24,0,92,3,3, 
LOS ANGELES,9000007A,1294,119,N, ,POLLING PLACE,98,1,45,7,0,2,1,25,7,0,2,1,2, 
LOS ANGELES,9000007A,1294,119,N, ,VBM PORTION,521,11,229,22,1,4,4,143,44,4,32,7,0, 
LOS ANGELES,9000007A,1294,119,N,2915,TOTAL,619,12,274,29,1,6,5,168,51,4,34,8,2, 
LOS ANGELES,9000008A,1295,98,N, ,POLLING PLACE,119,3,67,0,2,4,0,23,11,1,2,0,1, 
LOS ANGELES,9000008A,1295,98,N, ,VBM PORTION,574,6,241,21,2,30,4,179,46,3,23,0,1, 
LOS ANGELES,9000008A,1295,98,N,2884,TOTAL,693,9,308,21,4,34,4,202,57,4,25,0,2, 
LOS ANGELES,9000009A,1296,84,N, ,POLLING PLACE,110,0,65,1,1,5,1,9,18,1,4,1,2, 
LOS ANGELES,9000009A,1296,84,N, ,VBM PORTION,396,4,181,15,3,3,2,85,61,0,21,5,1, 
LOS ANGELES,9000009A,1296,84,N,2300,TOTAL,506,4,246,16,4,8,3,94,79,1,25,6,3, 
LOS ANGELES,9000012A,6869,215,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000012A,6869,215,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000012A,6869,215,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000013A,6870,27,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000013A,6870,27,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000013A,6870,27,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000014A,6871,214,Y, ,POLLING PLACE,31,1,12,1,0,1,1,9,2,0,3,0,0, 
LOS ANGELES,9000014A,6871,214,Y, ,VBM PORTION,230,1,78,3,0,1,2,105,17,0,12,0,0, 
LOS ANGELES,9000014A,6871,214,Y,580,TOTAL,261,2,90,4,0,2,3,114,19,0,15,0,0, 
LOS ANGELES,9000016A,1297,34,N, ,POLLING PLACE,161,1,111,0,1,2,0,35,7,0,0,1,0, 
LOS ANGELES,9000016A,1297,34,N, ,VBM PORTION,902,6,512,16,0,14,4,253,41,3,29,3,3, 
LOS ANGELES,9000016A,1297,34,N,2409,TOTAL,1063,7,623,16,1,16,4,288,48,3,29,4,3, 
LOS ANGELES,9000017A,1298,34,N, ,POLLING PLACE,100,0,59,1,1,2,0,31,0,0,3,1,0, 
LOS ANGELES,9000017A,1298,34,N, ,VBM PORTION,558,2,262,18,3,9,3,202,20,1,11,1,1, 
LOS ANGELES,9000017A,1298,34,N,1558,TOTAL,658,2,321,19,4,11,3,233,20,1,14,2,1, 
LOS ANGELES,9000020A,6872,313,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000020A,6872,313,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000020A,6872,313,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000021A,1299,98,N, ,POLLING PLACE,150,1,103,1,1,2,2,21,7,0,2,2,1, 
LOS ANGELES,9000021A,1299,98,N, ,VBM PORTION,791,6,441,22,3,8,7,206,33,1,19,1,0, 
LOS ANGELES,9000021A,1299,98,N,2819,TOTAL,941,7,544,23,4,10,9,227,40,1,21,3,1, 
LOS ANGELES,9000025A,1300,34,N, ,POLLING PLACE,95,1,57,1,3,2,0,24,5,0,0,1,0, 
LOS ANGELES,9000025A,1300,34,N, ,VBM PORTION,455,9,203,11,4,8,2,143,43,2,17,3,1, 
LOS ANGELES,9000025A,1300,34,N,1945,TOTAL,550,10,260,12,7,10,2,167,48,2,17,4,1, 
LOS ANGELES,9000027A,1301,87,N, ,POLLING PLACE,77,2,30,1,0,2,0,28,12,0,0,0,0, 
LOS ANGELES,9000027A,1301,87,N, ,VBM PORTION,314,3,134,5,2,5,0,94,51,1,12,3,1, 
LOS ANGELES,9000027A,1301,87,N,1815,TOTAL,391,5,164,6,2,7,0,122,63,1,12,3,1, 
LOS ANGELES,9000029B,1302,234,N, ,POLLING PLACE,149,0,29,5,2,5,1,45,21,0,15,0,2, 
LOS ANGELES,9000029B,1302,234,N, ,VBM PORTION,783,18,169,19,1,24,4,231,211,2,62,6,0, 
LOS ANGELES,9000029B,1302,234,N,3283,TOTAL,932,18,198,24,3,29,5,276,232,2,77,6,2, 
LOS ANGELES,9000031A,1303,34,N, ,POLLING PLACE,100,1,65,3,1,2,0,21,4,0,1,0,0, 
LOS ANGELES,9000031A,1303,34,N, ,VBM PORTION,528,3,277,13,2,7,3,149,30,4,18,6,1, 
LOS ANGELES,9000031A,1303,34,N,1712,TOTAL,628,4,342,16,3,9,3,170,34,4,19,6,1, 
LOS ANGELES,9000038C,1304,237,N, ,POLLING PLACE,127,2,31,4,0,2,4,20,47,0,8,0,1, 
LOS ANGELES,9000038C,1304,237,N, ,VBM PORTION,359,3,84,10,1,8,0,89,131,1,22,0,0, 
LOS ANGELES,9000038C,1304,237,N,2347,TOTAL,486,5,115,14,1,10,4,109,178,1,30,0,1, 
LOS ANGELES,9000039A,1305,261,N, ,POLLING PLACE,129,1,67,3,0,0,0,46,7,1,3,0,0, 
LOS ANGELES,9000039A,1305,261,N, ,VBM PORTION,805,4,270,8,1,11,3,435,23,1,31,1,3, 
LOS ANGELES,9000039A,1305,261,N,2410,TOTAL,934,5,337,11,1,11,3,481,30,2,34,1,3, 
LOS ANGELES,9000041A,6873,314,Y, ,POLLING PLACE,17,0,6,0,0,1,0,7,0,0,2,0,0, 
LOS ANGELES,9000041A,6873,314,Y, ,VBM PORTION,72,0,12,3,0,1,0,44,1,1,7,0,0, 
LOS ANGELES,9000041A,6873,314,Y,363,TOTAL,89,0,18,3,0,2,0,51,1,1,9,0,0, 
LOS ANGELES,9000041C,6874,306,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000041C,6874,306,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000041C,6874,306,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0, 
LOS ANGELES,9000048A,1306,185,N, ,POLLING PLACE,82,2,12,1,1,1,0,34,16,0,15,0,0, 
LOS ANGELES,9000048A,1306,185,N, ,VBM PORTION,439,9,98,5,1,7,1,152,66,1,88,2,1, 
LOS ANGELES,9000048A,1306,185,N,2017,TOTAL,521,11,110,6,2,8,1,186,82,1,103,2,1, 
LOS ANGELES,9000050A,6875,251,Y, ,POLLING PLACE,6,0,0,0,0,2,0,3,0,0,1,0,0, 
LOS ANGELES,9000050A,6875,251,Y, ,VBM PORTION,67,0,28,0,0,19,0,14,0,0,2,1,0, 
LOS ANGELES,9000050A,6875,251,Y,180,TOTAL,73,0,28,0,0,21,0,17,0,0,3,1,0, 
LOS ANGELES,9000052A,1307,234,N, ,POLLING PLACE,158,5,39,2,1,12,0,38,31,0,22,0,0, 
LOS ANGELES,9000052A,1307,234,N, ,VBM PORTION,660,12,199,16,3,49,4,208,78,1,65,4,1, 
LOS ANGELES,9000052A,1307,234,N,3040,TOTAL,818,17,238,18,4,61,4,246,109,1,87,4,1, 
LOS ANGELES,9000058A,1308,116,N, ,POLLING PLACE,84,0,41,2,1,1,1,29,7,0,0,0,0, 
LOS ANGELES,9000058A,1308,116,N, ,VBM PORTION,599,4,215,20,1,1,6,251,53,0,36,1,2, 
LOS ANGELES,9000058A,1308,116,N,2294,TOTAL,683,4,256,22,2,2,7,280,60,0,36,1,2, 
LOS ANGELES,9000061A,1309,84,N, ,POLLING PLACE,109,2,41,4,1,1,2,24,19,0,7,1,0, 
LOS ANGELES,9000061A,1309,84,N, ,VBM PORTION,589,3,233,18,3,13,4,146,107,4,34,2,0, 
LOS ANGELES,9000061A,1309,84,N,2988,TOTAL,698,5,274,22,4,14,6,170,126,4,41,3,0, 
LOS ANGELES,9000063A,1310,117,N, ,POLLING PLACE,94,3,45,3,0,5,0,20,6,0,7,0,3, 
LOS ANGELES,9000063A,1310,117,N, ,VBM PORTION,535,16,168,22,3,20,6,172,73,4,24,0,4, 
LOS ANGELES,9000063A,1310,117,N,3042,TOTAL,629,19,213,25,3,25,6,192,79,4,31,0,7, 
LOS ANGELES,9000064A,1311,23,N, ,POLLING PLACE,81,0,34,1,0,3,0,19,13,1,5,1,1, 
LOS ANGELES,9000064A,1311,23,N, ,VBM PORTION,434,5,180,11,0,9,3,147,35,3,20,8,1, 
LOS ANGELES,9000064A,1311,23,N,2021,TOTAL,515,5,214,12,0,12,3,166,48,4,25,9,2, 
LOS ANGELES,9000065A,1312,117,N, ,POLLING PLACE,113,2,63,1,1,1,0,31,4,1,6,1,0, 
LOS ANGELES,9000065A,1312,117,N, ,VBM PORTION,685,3,257,19,2,4,3,280,46,3,46,3,1, 
LOS ANGELES,9000065A,1312,117,N,2546,TOTAL,798,5,320,20,3,5,3,311,50,4,52,4,1, 
LOS ANGELES,9000072A,6876,23,Y, ,POLLING PLACE,73,0,42,0,0,2,1,9,11,1,2,0,2, 
LOS ANGELES,9000072A,6876,23,Y, ,VBM PORTION,320,2,157,9,2,7,2,88,24,1,15,2,7, 
LOS ANGELES,9000072A,6876,23,Y,1431,TOTAL,393,2,199,9,2,9,3,97,35,2,17,2,9, 
LOS ANGELES,9000073A,1313,23,N, ,POLLING PLACE,121,1,62,2,0,1,0,41,3,2,3,1,1, 
LOS ANGELES,9000073A,1313,23,N, ,VBM PORTION,719,6,318,19,1,6,4,232,64,4,36,4,3, 
LOS ANGELES,9000073A,1313,23,N,2940,TOTAL,840,7,380,21,1,7,4,273,67,6,39,5,4, 
LOS ANGELES,9000074B,1314,84,N, ,POLLING PLACE,52,2,27,2,0,0,0,13,5,0,1,0,1, 
LOS ANGELES,9000074B,1314,84,N, ,VBM PORTION,320,2,141,10,6,4,4,92,25,3,18,1,2, 
LOS ANGELES,9000074B,1314,84,N,1680,TOTAL,372,4,168,12,6,4,4,105,30,3,19,1,3, 
LOS ANGELES,9000079C,1315,84,N, ,POLLING PLACE,57,0,30,1,0,0,0,4,17,0,3,0,0, 
LOS ANGELES,9000079C,1315,84,N, ,VBM PORTION,357,4,152,6,1,5,12,73,79,1,10,2,0, 
LOS ANGELES,9000079C,1315,84,N,2585,TOTAL,414,4,182,7,1,5,12,77,96,1,13,2,0, 
LOS ANGELES,9000082A,1316,23,N, ,POLLING PLACE,101,1,75,2,2,1,2,12,1,0,2,1,0, 
LOS ANGELES,9000082A,1316,23,N, ,VBM PORTION,592,3,259,19,3,9,1,211,43,2,25,4,1, 
LOS ANGELES,9000082A,1316,23,N,2473,TOTAL,693,4,334,21,5,10,3,223,44,2,27,5,1, 
LOS ANGELES,9000086A,1317,18,N, ,POLLING PLACE,128,1,82,2,2,0,0,31,4,1,3,1,1, 
LOS ANGELES,9000086A,1317,18,N, ,VBM PORTION,678,11,228,27,5,12,3,263,59,1,38,4,1, 
LOS ANGELES,9000086A,1317,18,N,2411,TOTAL,806,12,310,29,7,12,3,294,63,2,41,5,2, 
LOS ANGELES,9000087A,1318,98,N, ,POLLING PLACE,121,1,78,2,1,0,1,17,7,1,6,1,3, 
LOS ANGELES,9000087A,1318,98,N, ,VBM PORTION,486,4,222,9,0,3,6,149,48,2,14,5,3, 
LOS ANGELES,9000087A,1318,98,N,2384,TOTAL,607,5,300,11,1,3,7,166,55,3,20,6,6, 
LOS ANGELES,9000088A,1319,116,N, ,POLLING PLACE,98,2,38,1,0,5,0,36,5,0,6,0,0, 
LOS ANGELES,9000088A,1319,116,N, ,VBM PORTION,462,8,192,9,1,15,4,146,37,0,37,1,0, 
LOS ANGELES,9000088A,1319,116,N,2614,TOTAL,560,10,230,10,1,20,4,182,42,0,43,1,0, 
LOS ANGELES,9000088B,6877,116,Y, ,POLLING PLACE,5,0,2,0,0,0,0,3,0,0,0,0,0, 
LOS ANGELES,9000088B,6877,116,Y, ,VBM PORTION,38,2,18,5,0,1,0,7,2,0,2,1,0, 
LOS ANGELES,9000088B,6877,116,Y,252,TOTAL,43,2,20,5,0,1,0,10,2,0,2,1,0, 
LOS ANGELES,9000090A,1320,85,N, ,POLLING PLACE,58,1,31,2,1,1,0,7,4,0,6,1,1, 
LOS ANGELES,9000090A,1320,85,N, ,VBM PORTION,412,1,181,6,1,9,4,97,68,2,33,0,1, 
