COUNTY OF LOS ANGELES,GENERAL ELECTION,11/05/2024,,,,,,,,
LOS ANGELES CITY - CNC 2,Non Partisan,N,cc9491,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JILLIAN BURGOS,ADRIN NAZARIAN,
LOS ANGELES,9000126A,899,260,N, ,POLLING PLACE,689,351,235, 
LOS ANGELES,9000126A,899,260,N, ,VBM PORTION,1306,676,483, 
LOS ANGELES,9000126A,899,260,N,3222,TOTAL,1995,1027,718, 
LOS ANGELES,9000127B,900,248,N, ,POLLING PLACE,779,268,388, 
LOS ANGELES,9000127B,900,248,N, ,VBM PORTION,2258,773,1208, 
LOS ANGELES,9000127B,900,248,N,4282,TOTAL,3037,1041,1596, 
LOS ANGELES,9000135A,903,248,N, ,POLLING PLACE,854,296,429, 
LOS ANGELES,9000135A,903,248,N, ,VBM PORTION,1651,569,911, 
LOS ANGELES,9000135A,903,248,N,4072,TOTAL,2505,865,1340, 
LOS ANGELES,9000142A,7395,248,N, ,POLLING PLACE,373,143,179, 
LOS ANGELES,9000142A,7395,248,N, ,VBM PORTION,1057,368,563, 
LOS ANGELES,9000142A,7395,248,N,2136,TOTAL,1430,511,742, 
LOS ANGELES,9000165A,910,260,N, ,POLLING PLACE,879,375,365, 
LOS ANGELES,9000165A,910,260,N, ,VBM PORTION,3332,1489,1465, 
LOS ANGELES,9000165A,910,260,N,5205,TOTAL,4211,1864,1830, 
LOS ANGELES,9000193A,7397,281,N, ,POLLING PLACE,262,103,123, 
LOS ANGELES,9000193A,7397,281,N, ,VBM PORTION,534,195,297, 
LOS ANGELES,9000193A,7397,281,N,1234,TOTAL,796,298,420, 
LOS ANGELES,9000256A,7401,260,N, ,POLLING PLACE,137,27,94, 
LOS ANGELES,9000256A,7401,260,N, ,VBM PORTION,240,69,143, 
LOS ANGELES,9000256A,7401,260,N,483,TOTAL,377,96,237, 
LOS ANGELES,9000385A,946,248,N, ,POLLING PLACE,759,247,379, 
LOS ANGELES,9000385A,946,248,N, ,VBM PORTION,1677,580,918, 
LOS ANGELES,9000385A,946,248,N,4137,TOTAL,2436,827,1297, 
LOS ANGELES,9000392A,948,260,N, ,POLLING PLACE,856,428,288, 
