COUNTY OF LOS ANGELES,GENERAL ELECTION,11/05/2024,,,,,,,,
L A UNIFIED SCH-BOE 5,Non Partisan,N,cc9499,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KARLA GRIEGO,GRACIELA ORTIZ,
BANDINI,0650001A,6132,526,Y, ,POLLING PLACE,0,0,0, 
BANDINI,0650001A,6132,526,Y, ,VBM PORTION,0,0,0, 
BANDINI,0650001A,6132,526,Y,0,TOTAL,0,0,0, 
BANDINI,0650002B,6133,526,Y, ,POLLING PLACE,0,0,0, 
BANDINI,0650002B,6133,526,Y, ,VBM PORTION,0,0,0, 
BANDINI,0650002B,6133,526,Y,0,TOTAL,0,0,0, 
BELL,0700001A,53,728,N, ,POLLING PLACE,501,233,208, 
BELL,0700001A,53,728,N, ,VBM PORTION,748,368,315, 
BELL,0700001A,53,728,N,2379,TOTAL,1249,601,523, 
BELL,0700002A,54,728,N, ,POLLING PLACE,485,215,212, 
BELL,0700002A,54,728,N, ,VBM PORTION,773,343,366, 
BELL,0700002A,54,728,N,2535,TOTAL,1258,558,578, 
BELL,0700007B,55,728,N, ,POLLING PLACE,661,279,288, 
BELL,0700007B,55,728,N, ,VBM PORTION,1103,534,470, 
BELL,0700007B,55,728,N,3331,TOTAL,1764,813,758, 
BELL,0700008A,56,728,N, ,POLLING PLACE,422,175,186, 
BELL,0700008A,56,728,N, ,VBM PORTION,744,357,313, 
BELL,0700008A,56,728,N,2184,TOTAL,1166,532,499, 
BELL,0700010A,57,728,N, ,POLLING PLACE,493,219,219, 
BELL,0700010A,57,728,N, ,VBM PORTION,849,420,359, 
BELL,0700010A,57,728,N,2715,TOTAL,1342,639,578, 
BELL,0700018A,58,728,N, ,POLLING PLACE,368,166,151, 
BELL,0700018A,58,728,N, ,VBM PORTION,615,318,246, 
BELL,0700018A,58,728,N,1893,TOTAL,983,484,397, 
BELL GARDENS,0800017B,6155,725,Y, ,POLLING PLACE,41,20,13, 
BELL GARDENS,0800017B,6155,725,Y, ,VBM PORTION,53,26,17, 
BELL GARDENS,0800017B,6155,725,Y,159,TOTAL,94,46,30, 
COMMERCE,1430004A,6281,509,Y, ,POLLING PLACE,0,0,0, 
COMMERCE,1430004A,6281,509,Y, ,VBM PORTION,0,0,0, 
