COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/05/2024,,,,,,,,
LONG BEACH CY GEN MUNI-RW,Non Partisan,N,bmc9397,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
LONG BEACH,3850001A,516,298,N, ,POLLING PLACE,64,45,18, 
LONG BEACH,3850001A,516,298,N, ,VBM PORTION,246,171,64, 
LONG BEACH,3850001A,516,298,N,1954,TOTAL,310,216,82, 
LONG BEACH,3850002E,6268,333,Y, ,POLLING PLACE,2,2,0, 
LONG BEACH,3850002E,6268,333,Y, ,VBM PORTION,0,0,0, 
LONG BEACH,3850002E,6268,333,Y,3,TOTAL,2,2,0, 
LONG BEACH,3850003A,6269,325,Y, ,POLLING PLACE,6,5,1, 
LONG BEACH,3850003A,6269,325,Y, ,VBM PORTION,1,1,0, 
LONG BEACH,3850003A,6269,325,Y,110,TOTAL,7,6,1, 
LONG BEACH,3850008A,517,296,N, ,POLLING PLACE,133,88,44, 
LONG BEACH,3850008A,517,296,N, ,VBM PORTION,445,295,121, 
LONG BEACH,3850008A,517,296,N,2579,TOTAL,578,383,165, 
LONG BEACH,3850011A,518,298,N, ,POLLING PLACE,60,35,23, 
LONG BEACH,3850011A,518,298,N, ,VBM PORTION,218,136,67, 
LONG BEACH,3850011A,518,298,N,1778,TOTAL,278,171,90, 
LONG BEACH,3850016A,519,298,N, ,POLLING PLACE,56,25,29, 
LONG BEACH,3850016A,519,298,N, ,VBM PORTION,248,170,73, 
LONG BEACH,3850016A,519,298,N,1986,TOTAL,304,195,102, 
LONG BEACH,3850017B,520,298,N, ,POLLING PLACE,41,20,19, 
LONG BEACH,3850017B,520,298,N, ,VBM PORTION,235,157,65, 
LONG BEACH,3850017B,520,298,N,1788,TOTAL,276,177,84, 
LONG BEACH,3850020A,521,298,N, ,POLLING PLACE,98,50,44, 
LONG BEACH,3850020A,521,298,N, ,VBM PORTION,406,229,153, 
LONG BEACH,3850020A,521,298,N,2576,TOTAL,504,279,197, 
LONG BEACH,3850026A,522,298,N, ,POLLING PLACE,151,91,55, 
LONG BEACH,3850026A,522,298,N, ,VBM PORTION,566,359,161, 
LONG BEACH,3850026A,522,298,N,3463,TOTAL,717,450,216, 
LONG BEACH,3850029A,523,298,N, ,POLLING PLACE,60,35,24, 
LONG BEACH,3850029A,523,298,N, ,VBM PORTION,324,203,105, 
LONG BEACH,3850029A,523,298,N,2728,TOTAL,384,238,129, 
