COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/05/2024,,,,,,,,,
LOS ANGELES CTY PRIM-CNC 4,Non Partisan,N,cc9368,1,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LEVON BARONIAN,ETHAN WEAVER,NITHYA RAMAN,
LOS ANGELES,9000063A,1058,108,N, ,POLLING PLACE,115,25,41,36, 
LOS ANGELES,9000063A,1058,108,N, ,VBM PORTION,547,83,171,233, 
LOS ANGELES,9000063A,1058,108,N,2673,TOTAL,662,108,212,269, 
LOS ANGELES,9000065A,1060,108,N, ,POLLING PLACE,120,24,45,39, 
LOS ANGELES,9000065A,1060,108,N, ,VBM PORTION,642,81,189,310, 
LOS ANGELES,9000065A,1060,108,N,2839,TOTAL,762,105,234,349, 
LOS ANGELES,9000115A,6502,114,Y, ,POLLING PLACE,42,5,13,13, 
LOS ANGELES,9000115A,6502,114,Y, ,VBM PORTION,167,36,51,70, 
LOS ANGELES,9000115A,6502,114,Y,985,TOTAL,209,41,64,83, 
LOS ANGELES,9000130C,6503,90,Y, ,POLLING PLACE,30,4,20,2, 
LOS ANGELES,9000130C,6503,90,Y, ,VBM PORTION,122,6,81,27, 
LOS ANGELES,9000130C,6503,90,Y,342,TOTAL,152,10,101,29, 
LOS ANGELES,9000132A,1079,109,N, ,POLLING PLACE,171,51,44,55, 
LOS ANGELES,9000132A,1079,109,N, ,VBM PORTION,653,130,192,268, 
LOS ANGELES,9000132A,1079,109,N,3240,TOTAL,824,181,236,323, 
LOS ANGELES,9000174A,6506,97,Y, ,POLLING PLACE,48,10,25,7, 
LOS ANGELES,9000174A,6506,97,Y, ,VBM PORTION,307,39,126,109, 
LOS ANGELES,9000174A,6506,97,Y,926,TOTAL,355,49,151,116, 
LOS ANGELES,9000255A,1092,97,N, ,POLLING PLACE,146,33,59,34, 
LOS ANGELES,9000255A,1092,97,N, ,VBM PORTION,545,70,149,269, 
LOS ANGELES,9000255A,1092,97,N,2203,TOTAL,691,103,208,303, 
LOS ANGELES,9000257A,1093,98,N, ,POLLING PLACE,206,32,90,61, 
LOS ANGELES,9000257A,1093,98,N, ,VBM PORTION,1113,96,373,507, 
LOS ANGELES,9000257A,1093,98,N,3603,TOTAL,1319,128,463,568, 
LOS ANGELES,9000263A,1095,145,N, ,POLLING PLACE,214,17,92,97, 
LOS ANGELES,9000263A,1095,145,N, ,VBM PORTION,1277,62,516,614, 
LOS ANGELES,9000263A,1095,145,N,3212,TOTAL,1491,79,608,711, 
LOS ANGELES,9000268A,1097,91,N, ,POLLING PLACE,257,55,107,76, 
LOS ANGELES,9000268A,1097,91,N, ,VBM PORTION,1569,164,490,800, 
LOS ANGELES,9000268A,1097,91,N,4775,TOTAL,1826,219,597,876, 
LOS ANGELES,9000317A,1109,145,N, ,POLLING PLACE,237,22,79,128, 
LOS ANGELES,9000317A,1109,145,N, ,VBM PORTION,1032,62,231,668, 
LOS ANGELES,9000317A,1109,145,N,3409,TOTAL,1269,84,310,796, 
LOS ANGELES,9000410A,1131,91,N, ,POLLING PLACE,264,26,132,80, 
LOS ANGELES,9000410A,1131,91,N, ,VBM PORTION,1810,121,739,786, 
LOS ANGELES,9000410A,1131,91,N,4431,TOTAL,2074,147,871,866, 
LOS ANGELES,9000419A,1133,109,N, ,POLLING PLACE,139,39,62,26, 
LOS ANGELES,9000419A,1133,109,N, ,VBM PORTION,614,107,199,262, 
LOS ANGELES,9000419A,1133,109,N,3069,TOTAL,753,146,261,288, 
LOS ANGELES,9000507A,6523,146,Y, ,POLLING PLACE,61,9,8,40, 
LOS ANGELES,9000507A,6523,146,Y, ,VBM PORTION,347,46,44,240, 
LOS ANGELES,9000507A,6523,146,Y,1181,TOTAL,408,55,52,280, 
LOS ANGELES,9000694A,1183,166,N, ,POLLING PLACE,429,45,147,214, 
LOS ANGELES,9000694A,1183,166,N, ,VBM PORTION,2148,174,730,1126, 
LOS ANGELES,9000694A,1183,166,N,5269,TOTAL,2577,219,877,1340, 
LOS ANGELES,9000699B,1185,168,N, ,POLLING PLACE,256,16,67,156, 
LOS ANGELES,9000699B,1185,168,N, ,VBM PORTION,1422,70,325,943, 
LOS ANGELES,9000699B,1185,168,N,3240,TOTAL,1678,86,392,1099, 
LOS ANGELES,9000700B,6532,167,Y, ,POLLING PLACE,20,7,7,6, 
LOS ANGELES,9000700B,6532,167,Y, ,VBM PORTION,105,23,30,47, 
LOS ANGELES,9000700B,6532,167,Y,241,TOTAL,125,30,37,53, 
LOS ANGELES,9000713C,6533,114,Y, ,POLLING PLACE,60,16,24,13, 
LOS ANGELES,9000713C,6533,114,Y, ,VBM PORTION,245,39,76,109, 
LOS ANGELES,9000713C,6533,114,Y,1468,TOTAL,305,55,100,122, 
LOS ANGELES,9000746A,1194,91,N, ,POLLING PLACE,274,43,128,83, 
LOS ANGELES,9000746A,1194,91,N, ,VBM PORTION,1499,119,590,672, 
LOS ANGELES,9000746A,1194,91,N,3965,TOTAL,1773,162,718,755, 
LOS ANGELES,9000801A,1202,97,N, ,POLLING PLACE,191,45,67,49, 
LOS ANGELES,9000801A,1202,97,N, ,VBM PORTION,900,135,281,377, 
LOS ANGELES,9000801A,1202,97,N,4204,TOTAL,1091,180,348,426, 
LOS ANGELES,9000852B,6542,167,Y, ,POLLING PLACE,53,2,9,40, 
LOS ANGELES,9000852B,6542,167,Y, ,VBM PORTION,265,12,58,185, 
LOS ANGELES,9000852B,6542,167,Y,668,TOTAL,318,14,67,225, 
LOS ANGELES,9000874A,1214,168,N, ,POLLING PLACE,202,22,40,129, 
LOS ANGELES,9000874A,1214,168,N, ,VBM PORTION,1366,56,323,924, 
LOS ANGELES,9000874A,1214,168,N,3675,TOTAL,1568,78,363,1053, 
LOS ANGELES,9000956E,6546,144,Y, ,POLLING PLACE,17,3,7,3, 
LOS ANGELES,9000956E,6546,144,Y, ,VBM PORTION,73,9,23,36, 
LOS ANGELES,9000956E,6546,144,Y,189,TOTAL,90,12,30,39, 
LOS ANGELES,9001017A,6550,91,Y, ,POLLING PLACE,61,11,16,29, 
LOS ANGELES,9001017A,6550,91,Y, ,VBM PORTION,210,13,58,119, 
LOS ANGELES,9001017A,6550,91,Y,985,TOTAL,271,24,74,148, 
LOS ANGELES,9001049A,1257,97,N, ,POLLING PLACE,188,44,78,43, 
LOS ANGELES,9001049A,1257,97,N, ,VBM PORTION,937,152,380,272, 
LOS ANGELES,9001049A,1257,97,N,3370,TOTAL,1125,196,458,315, 
LOS ANGELES,9001070A,1262,97,N, ,POLLING PLACE,233,38,124,49, 
LOS ANGELES,9001070A,1262,97,N, ,VBM PORTION,1385,143,622,447, 
LOS ANGELES,9001070A,1262,97,N,3778,TOTAL,1618,181,746,496, 
LOS ANGELES,9001073A,6556,98,Y, ,POLLING PLACE,63,15,34,8, 
LOS ANGELES,9001073A,6556,98,Y, ,VBM PORTION,499,44,198,196, 
LOS ANGELES,9001073A,6556,98,Y,1133,TOTAL,562,59,232,204, 
LOS ANGELES,9001080A,6557,91,Y, ,POLLING PLACE,96,5,55,26, 
LOS ANGELES,9001080A,6557,91,Y, ,VBM PORTION,616,50,261,233, 
LOS ANGELES,9001080A,6557,91,Y,1433,TOTAL,712,55,316,259, 
LOS ANGELES,9001092C,1264,91,N, ,POLLING PLACE,292,38,159,73, 
LOS ANGELES,9001092C,1264,91,N, ,VBM PORTION,1746,160,727,683, 
LOS ANGELES,9001092C,1264,91,N,4552,TOTAL,2038,198,886,756, 
LOS ANGELES,9001094A,1265,91,N, ,POLLING PLACE,283,51,117,90, 
LOS ANGELES,9001094A,1265,91,N, ,VBM PORTION,1509,144,438,789, 
LOS ANGELES,9001094A,1265,91,N,4509,TOTAL,1792,195,555,879, 
LOS ANGELES,9001106A,1269,91,N, ,POLLING PLACE,250,37,104,83, 
LOS ANGELES,9001106A,1269,91,N, ,VBM PORTION,1381,141,406,719, 
LOS ANGELES,9001106A,1269,91,N,4253,TOTAL,1631,178,510,802, 
LOS ANGELES,9001113A,1271,91,N, ,POLLING PLACE,244,34,95,91, 
LOS ANGELES,9001113A,1271,91,N, ,VBM PORTION,1374,104,443,713, 
LOS ANGELES,9001113A,1271,91,N,3897,TOTAL,1618,138,538,804, 
LOS ANGELES,9001120A,1272,91,N, ,POLLING PLACE,231,34,114,65, 
LOS ANGELES,9001120A,1272,91,N, ,VBM PORTION,1573,126,567,760, 
LOS ANGELES,9001120A,1272,91,N,4478,TOTAL,1804,160,681,825, 
LOS ANGELES,9001177A,1279,91,N, ,POLLING PLACE,188,18,88,59, 
LOS ANGELES,9001177A,1279,91,N, ,VBM PORTION,1012,103,376,431, 
LOS ANGELES,9001177A,1279,91,N,2553,TOTAL,1200,121,464,490, 
LOS ANGELES,9001180A,6558,144,Y, ,POLLING PLACE,125,16,47,51, 
LOS ANGELES,9001180A,6558,144,Y, ,VBM PORTION,788,46,279,398, 
LOS ANGELES,9001180A,6558,144,Y,2199,TOTAL,913,62,326,449, 
LOS ANGELES,9001187A,1280,89,N, ,POLLING PLACE,217,39,70,90, 
LOS ANGELES,9001187A,1280,89,N, ,VBM PORTION,1236,111,368,619, 
LOS ANGELES,9001187A,1280,89,N,3945,TOTAL,1453,150,438,709, 
LOS ANGELES,9001195A,6559,143,Y, ,POLLING PLACE,89,10,40,32, 
LOS ANGELES,9001195A,6559,143,Y, ,VBM PORTION,460,23,207,196, 
LOS ANGELES,9001195A,6559,143,Y,1457,TOTAL,549,33,247,228, 
LOS ANGELES,9001196A,1282,145,N, ,POLLING PLACE,203,14,86,95, 
LOS ANGELES,9001196A,1282,145,N, ,VBM PORTION,931,40,405,445, 
LOS ANGELES,9001196A,1282,145,N,3101,TOTAL,1134,54,491,540, 
LOS ANGELES,9001199A,1283,146,N, ,POLLING PLACE,245,33,106,82, 
LOS ANGELES,9001199A,1283,146,N, ,VBM PORTION,1308,145,521,525, 
LOS ANGELES,9001199A,1283,146,N,3583,TOTAL,1553,178,627,607, 
LOS ANGELES,9001201A,1284,146,N, ,POLLING PLACE,164,25,54,74, 
LOS ANGELES,9001201A,1284,146,N, ,VBM PORTION,842,78,259,419, 
LOS ANGELES,9001201A,1284,146,N,2942,TOTAL,1006,103,313,493, 
LOS ANGELES,9001212A,6561,152,Y, ,POLLING PLACE,103,7,43,46, 
LOS ANGELES,9001212A,6561,152,Y, ,VBM PORTION,646,24,264,307, 
LOS ANGELES,9001212A,6561,152,Y,1610,TOTAL,749,31,307,353, 
LOS ANGELES,9001226A,1286,152,N, ,POLLING PLACE,228,23,112,69, 
LOS ANGELES,9001226A,1286,152,N, ,VBM PORTION,1427,94,634,548, 
LOS ANGELES,9001226A,1286,152,N,4268,TOTAL,1655,117,746,617, 
LOS ANGELES,9001422A,1305,146,N, ,POLLING PLACE,152,27,48,67, 
LOS ANGELES,9001422A,1305,146,N, ,VBM PORTION,663,73,163,371, 
LOS ANGELES,9001422A,1305,146,N,2974,TOTAL,815,100,211,438, 
LOS ANGELES,9001647A,6585,147,Y, ,POLLING PLACE,97,9,16,65, 
LOS ANGELES,9001647A,6585,147,Y, ,VBM PORTION,570,72,77,394, 
LOS ANGELES,9001647A,6585,147,Y,1961,TOTAL,667,81,93,459, 
LOS ANGELES,9001665A,1354,91,N, ,POLLING PLACE,297,44,128,97, 
LOS ANGELES,9001665A,1354,91,N, ,VBM PORTION,1615,131,508,826, 
LOS ANGELES,9001665A,1354,91,N,5012,TOTAL,1912,175,636,923, 
LOS ANGELES,9001666A,1355,91,N, ,POLLING PLACE,227,35,78,89, 
LOS ANGELES,9001666A,1355,91,N, ,VBM PORTION,1317,119,416,658, 
LOS ANGELES,9001666A,1355,91,N,4509,TOTAL,1544,154,494,747, 
LOS ANGELES,9001758A,6588,108,Y, ,POLLING PLACE,84,22,29,25, 
LOS ANGELES,9001758A,6588,108,Y, ,VBM PORTION,305,63,80,136, 
LOS ANGELES,9001758A,6588,108,Y,1608,TOTAL,389,85,109,161, 
LOS ANGELES,9001852A,6590,113,Y, ,POLLING PLACE,33,5,13,12, 
LOS ANGELES,9001852A,6590,113,Y, ,VBM PORTION,128,19,40,54, 
LOS ANGELES,9001852A,6590,113,Y,779,TOTAL,161,24,53,66, 
LOS ANGELES,9001861A,6591,91,Y, ,POLLING PLACE,73,9,27,31, 
LOS ANGELES,9001861A,6591,91,Y, ,VBM PORTION,432,41,121,230, 
LOS ANGELES,9001861A,6591,91,Y,1581,TOTAL,505,50,148,261, 
LOS ANGELES,9001926A,1405,91,N, ,POLLING PLACE,322,49,146,103, 
LOS ANGELES,9001926A,1405,91,N, ,VBM PORTION,1505,138,629,606, 
LOS ANGELES,9001926A,1405,91,N,4035,TOTAL,1827,187,775,709, 
LOS ANGELES,9001931A,1407,91,N, ,POLLING PLACE,288,51,110,102, 
LOS ANGELES,9001931A,1407,91,N, ,VBM PORTION,1560,143,534,765, 
LOS ANGELES,9001931A,1407,91,N,4503,TOTAL,1848,194,644,867, 
LOS ANGELES,9001946B,6596,151,Y, ,POLLING PLACE,9,5,4,0, 
LOS ANGELES,9001946B,6596,151,Y, ,VBM PORTION,131,10,61,48, 
LOS ANGELES,9001946B,6596,151,Y,272,TOTAL,140,15,65,48, 
LOS ANGELES,9001946E,6597,151,Y, ,POLLING PLACE,18,6,6,4, 
LOS ANGELES,9001946E,6597,151,Y, ,VBM PORTION,85,9,46,29, 
LOS ANGELES,9001946E,6597,151,Y,250,TOTAL,103,15,52,33, 
LOS ANGELES,9002171B,6606,169,Y, ,POLLING PLACE,94,10,20,58, 
