COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/05/2024,,,,,,,,,,,,,,
LOS ANGELES PRIM-CNC 14,Non Partisan,N,cc9373,1,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GENNY GUERRERO,TERESA Y HILLERY,YSABEL J JURADO,WENDY CARRILLO,EDUARDO VARGAS,MIGUEL SANTIAGO,KEVIN DE LEON,NADINE M DIAZ,
LOS ANGELES,9000038C,1053,195,N, ,POLLING PLACE,120,3,3,16,25,12,21,31,4, 
LOS ANGELES,9000038C,1053,195,N, ,VBM PORTION,337,5,1,38,39,17,107,109,11, 
LOS ANGELES,9000038C,1053,195,N,2264,TOTAL,457,8,4,54,64,29,128,140,15, 
LOS ANGELES,9000243A,1088,173,N, ,POLLING PLACE,83,6,4,14,18,9,2,24,1, 
LOS ANGELES,9000243A,1088,173,N, ,VBM PORTION,350,14,7,79,65,14,44,106,4, 
LOS ANGELES,9000243A,1088,173,N,1699,TOTAL,433,20,11,93,83,23,46,130,5, 
LOS ANGELES,9000244A,1089,195,N, ,POLLING PLACE,114,4,3,18,20,6,12,43,2, 
LOS ANGELES,9000244A,1089,195,N, ,VBM PORTION,306,18,1,51,38,12,59,101,14, 
LOS ANGELES,9000244A,1089,195,N,2915,TOTAL,420,22,4,69,58,18,71,144,16, 
LOS ANGELES,9000249A,1091,173,N, ,POLLING PLACE,90,6,1,15,16,8,8,21,1, 
LOS ANGELES,9000249A,1091,173,N, ,VBM PORTION,353,14,4,51,54,19,46,140,5, 
LOS ANGELES,9000249A,1091,173,N,2215,TOTAL,443,20,5,66,70,27,54,161,6, 
LOS ANGELES,9000277A,6515,195,Y, ,POLLING PLACE,85,2,1,6,11,10,26,14,9, 
LOS ANGELES,9000277A,6515,195,Y, ,VBM PORTION,220,2,5,31,27,14,80,47,8, 
LOS ANGELES,9000277A,6515,195,Y,1419,TOTAL,305,4,6,37,38,24,106,61,17, 
LOS ANGELES,9000336C,1114,173,N, ,POLLING PLACE,107,5,5,18,10,19,12,23,3, 
LOS ANGELES,9000336C,1114,173,N, ,VBM PORTION,364,9,7,88,46,27,55,113,5, 
LOS ANGELES,9000336C,1114,173,N,1862,TOTAL,471,14,12,106,56,46,67,136,8, 
LOS ANGELES,9000357A,1120,174,N, ,POLLING PLACE,254,14,8,76,33,11,24,54,7, 
LOS ANGELES,9000357A,1120,174,N, ,VBM PORTION,1112,22,30,334,162,40,228,215,17, 
LOS ANGELES,9000357A,1120,174,N,3173,TOTAL,1366,36,38,410,195,51,252,269,24, 
LOS ANGELES,9000536A,1158,173,N, ,POLLING PLACE,228,40,5,42,34,15,12,61,4, 
LOS ANGELES,9000536A,1158,173,N, ,VBM PORTION,763,77,10,132,104,36,108,255,15, 
LOS ANGELES,9000536A,1158,173,N,3488,TOTAL,991,117,15,174,138,51,120,316,19, 
LOS ANGELES,9000582A,1164,195,N, ,POLLING PLACE,134,6,7,18,16,8,30,35,3, 
LOS ANGELES,9000582A,1164,195,N, ,VBM PORTION,457,5,9,47,57,19,149,152,9, 
LOS ANGELES,9000582A,1164,195,N,3069,TOTAL,591,11,16,65,73,27,179,187,12, 
LOS ANGELES,9000589A,1165,174,N, ,POLLING PLACE,187,7,5,51,28,7,23,45,3, 
LOS ANGELES,9000589A,1165,174,N, ,VBM PORTION,843,15,26,289,121,27,157,163,11, 
LOS ANGELES,9000589A,1165,174,N,2563,TOTAL,1030,22,31,340,149,34,180,208,14, 
LOS ANGELES,9000593C,1166,173,N, ,POLLING PLACE,177,4,6,56,24,5,25,31,8, 
LOS ANGELES,9000593C,1166,173,N, ,VBM PORTION,818,13,16,303,120,26,156,129,14, 
LOS ANGELES,9000593C,1166,173,N,2580,TOTAL,995,17,22,359,144,31,181,160,22, 
LOS ANGELES,9000599A,6528,165,Y, ,POLLING PLACE,7,0,1,2,0,0,3,1,0, 
LOS ANGELES,9000599A,6528,165,Y, ,VBM PORTION,38,0,1,13,8,0,8,7,1, 
LOS ANGELES,9000599A,6528,165,Y,98,TOTAL,45,0,2,15,8,0,11,8,1, 
LOS ANGELES,9000716A,6534,195,Y, ,POLLING PLACE,3,1,0,0,2,0,0,0,0, 
LOS ANGELES,9000716A,6534,195,Y, ,VBM PORTION,9,0,1,3,3,0,0,1,0, 
LOS ANGELES,9000716A,6534,195,Y,113,TOTAL,12,1,1,3,5,0,0,1,0, 
LOS ANGELES,9000766A,1197,174,N, ,POLLING PLACE,160,7,6,39,32,6,25,26,8, 
LOS ANGELES,9000766A,1197,174,N, ,VBM PORTION,883,16,18,253,146,35,154,179,24, 
LOS ANGELES,9000766A,1197,174,N,2515,TOTAL,1043,23,24,292,178,41,179,205,32, 
LOS ANGELES,9000785A,1200,173,N, ,POLLING PLACE,150,5,0,56,15,8,25,25,3, 
LOS ANGELES,9000785A,1200,173,N, ,VBM PORTION,782,12,19,275,89,29,145,162,13, 
LOS ANGELES,9000785A,1200,173,N,2452,TOTAL,932,17,19,331,104,37,170,187,16, 
LOS ANGELES,9000789B,1201,173,N, ,POLLING PLACE,221,17,12,40,36,19,16,55,4, 
LOS ANGELES,9000789B,1201,173,N, ,VBM PORTION,876,13,29,259,158,18,148,189,23, 
LOS ANGELES,9000789B,1201,173,N,3252,TOTAL,1097,30,41,299,194,37,164,244,27, 
LOS ANGELES,9000803D,1203,174,N, ,POLLING PLACE,187,5,4,50,43,20,18,26,1, 
LOS ANGELES,9000803D,1203,174,N, ,VBM PORTION,994,12,30,342,153,34,165,179,14, 
LOS ANGELES,9000803D,1203,174,N,2801,TOTAL,1181,17,34,392,196,54,183,205,15, 
LOS ANGELES,9000816A,6540,173,Y, ,POLLING PLACE,72,1,1,31,11,5,8,13,0, 
LOS ANGELES,9000816A,6540,173,Y, ,VBM PORTION,287,7,7,111,54,9,48,37,5, 
LOS ANGELES,9000816A,6540,173,Y,1154,TOTAL,359,8,8,142,65,14,56,50,5, 
LOS ANGELES,9000856A,1211,173,N, ,POLLING PLACE,222,8,6,77,38,17,22,27,5, 
LOS ANGELES,9000856A,1211,173,N, ,VBM PORTION,680,9,11,270,89,19,123,126,8, 
LOS ANGELES,9000856A,1211,173,N,2839,TOTAL,902,17,17,347,127,36,145,153,13, 
LOS ANGELES,9000882A,1216,173,N, ,POLLING PLACE,211,5,15,58,35,9,21,32,7, 
LOS ANGELES,9000882A,1216,173,N, ,VBM PORTION,1129,34,51,280,184,35,244,211,28, 
LOS ANGELES,9000882A,1216,173,N,3362,TOTAL,1340,39,66,338,219,44,265,243,35, 
LOS ANGELES,9000892A,1219,173,N, ,POLLING PLACE,169,22,5,16,27,18,15,48,2, 
LOS ANGELES,9000892A,1219,173,N, ,VBM PORTION,503,46,7,118,76,28,61,150,8, 
LOS ANGELES,9000892A,1219,173,N,2534,TOTAL,672,68,12,134,103,46,76,198,10, 
LOS ANGELES,9000896A,1220,173,N, ,POLLING PLACE,234,39,5,28,37,14,28,62,5, 
LOS ANGELES,9000896A,1220,173,N, ,VBM PORTION,665,83,15,116,128,31,93,164,6, 
LOS ANGELES,9000896A,1220,173,N,3140,TOTAL,899,122,20,144,165,45,121,226,11, 
LOS ANGELES,9000902B,1221,173,N, ,POLLING PLACE,145,26,4,13,29,9,8,44,6, 
LOS ANGELES,9000902B,1221,173,N, ,VBM PORTION,370,56,10,49,62,14,47,116,5, 
LOS ANGELES,9000902B,1221,173,N,2336,TOTAL,515,82,14,62,91,23,55,160,11, 
LOS ANGELES,9000905C,1222,173,N, ,POLLING PLACE,132,27,1,13,30,12,15,21,2, 
LOS ANGELES,9000905C,1222,173,N, ,VBM PORTION,392,23,18,82,78,20,44,100,10, 
LOS ANGELES,9000905C,1222,173,N,1880,TOTAL,524,50,19,95,108,32,59,121,12, 
LOS ANGELES,9000907A,1224,173,N, ,POLLING PLACE,87,13,5,9,10,7,10,21,2, 
LOS ANGELES,9000907A,1224,173,N, ,VBM PORTION,379,13,8,61,62,21,64,130,14, 
LOS ANGELES,9000907A,1224,173,N,1625,TOTAL,466,26,13,70,72,28,74,151,16, 
LOS ANGELES,9000913D,1226,173,N, ,POLLING PLACE,161,11,8,24,29,10,13,43,2, 
LOS ANGELES,9000913D,1226,173,N, ,VBM PORTION,591,25,24,121,77,35,106,148,26, 
LOS ANGELES,9000913D,1226,173,N,2784,TOTAL,752,36,32,145,106,45,119,191,28, 
LOS ANGELES,9000961A,6547,195,Y, ,POLLING PLACE,5,1,0,2,0,1,1,0,0, 
LOS ANGELES,9000961A,6547,195,Y, ,VBM PORTION,3,0,2,0,0,1,0,0,0, 
LOS ANGELES,9000961A,6547,195,Y,106,TOTAL,8,1,2,2,0,2,1,0,0, 
LOS ANGELES,9001062A,6555,173,Y, ,POLLING PLACE,61,3,2,10,13,5,7,13,4, 
LOS ANGELES,9001062A,6555,173,Y, ,VBM PORTION,241,6,9,54,38,11,26,82,8, 
LOS ANGELES,9001062A,6555,173,Y,1647,TOTAL,302,9,11,64,51,16,33,95,12, 
LOS ANGELES,9001280A,1291,238,N, ,POLLING PLACE,142,1,14,35,15,12,25,23,5, 
LOS ANGELES,9001280A,1291,238,N, ,VBM PORTION,569,17,48,171,45,18,135,77,8, 
LOS ANGELES,9001280A,1291,238,N,3511,TOTAL,711,18,62,206,60,30,160,100,13, 
LOS ANGELES,9001345A,1297,239,N, ,POLLING PLACE,187,6,47,35,15,6,27,21,6, 
LOS ANGELES,9001345A,1297,239,N, ,VBM PORTION,889,18,161,185,79,33,209,97,19, 
LOS ANGELES,9001345A,1297,239,N,4991,TOTAL,1076,24,208,220,94,39,236,118,25, 
LOS ANGELES,9001372A,1301,238,N, ,POLLING PLACE,29,1,2,7,3,0,7,1,0, 
LOS ANGELES,9001372A,1301,238,N, ,VBM PORTION,63,2,9,3,14,2,12,9,6, 
