COUNTY OF LOS ANGELES,GENERAL ELECTION,11/05/2024,,,,,,,,
LOS ANGELES CITY-CNC 14,Non Partisan,N,cc9493,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KEVIN DE LEON,YSABEL J JURADO,
LOS ANGELES,9000038C,879,514,N, ,POLLING PLACE,371,182,168, 
LOS ANGELES,9000038C,879,514,N, ,VBM PORTION,770,426,317, 
LOS ANGELES,9000038C,879,514,N,2285,TOTAL,1141,608,485, 
LOS ANGELES,9000244A,917,514,N, ,POLLING PLACE,561,269,232, 
LOS ANGELES,9000244A,917,514,N, ,VBM PORTION,854,445,367, 
LOS ANGELES,9000244A,917,514,N,2911,TOTAL,1415,714,599, 
LOS ANGELES,9000249A,919,477,N, ,POLLING PLACE,344,162,147, 
LOS ANGELES,9000249A,919,477,N, ,VBM PORTION,710,328,336, 
LOS ANGELES,9000249A,919,477,N,1953,TOTAL,1054,490,483, 
LOS ANGELES,9000336B,940,477,N, ,POLLING PLACE,653,302,299, 
LOS ANGELES,9000336B,940,477,N, ,VBM PORTION,1471,654,732, 
LOS ANGELES,9000336B,940,477,N,3525,TOTAL,2124,956,1031, 
LOS ANGELES,9000357A,943,478,N, ,POLLING PLACE,580,209,322, 
LOS ANGELES,9000357A,943,478,N, ,VBM PORTION,1904,560,1202, 
LOS ANGELES,9000357A,943,478,N,3225,TOTAL,2484,769,1524, 
LOS ANGELES,9000437A,960,477,N, ,POLLING PLACE,407,152,221, 
LOS ANGELES,9000437A,960,477,N, ,VBM PORTION,1307,429,791, 
LOS ANGELES,9000437A,960,477,N,2330,TOTAL,1714,581,1012, 
LOS ANGELES,9000536A,982,477,N, ,POLLING PLACE,623,300,272, 
LOS ANGELES,9000536A,982,477,N, ,VBM PORTION,1596,734,769, 
LOS ANGELES,9000536A,982,477,N,3486,TOTAL,2219,1034,1041, 
LOS ANGELES,9000582A,988,514,N, ,POLLING PLACE,592,313,237, 
LOS ANGELES,9000582A,988,514,N, ,VBM PORTION,1119,572,501, 
LOS ANGELES,9000582A,988,514,N,3074,TOTAL,1711,885,738, 
LOS ANGELES,9000584A,989,514,N, ,POLLING PLACE,395,219,150, 
LOS ANGELES,9000584A,989,514,N, ,VBM PORTION,696,364,299, 
LOS ANGELES,9000584A,989,514,N,1943,TOTAL,1091,583,449, 
LOS ANGELES,9000589A,990,478,N, ,POLLING PLACE,748,263,427, 
LOS ANGELES,9000589A,990,478,N, ,VBM PORTION,2502,800,1544, 
LOS ANGELES,9000589A,990,478,N,4234,TOTAL,3250,1063,1971, 
LOS ANGELES,9000599A,7422,474,N, ,POLLING PLACE,15,5,9, 
LOS ANGELES,9000599A,7422,474,N, ,VBM PORTION,62,18,42, 
LOS ANGELES,9000599A,7422,474,N,98,TOTAL,77,23,51, 
LOS ANGELES,9000716A,7429,514,N, ,POLLING PLACE,30,10,13, 
LOS ANGELES,9000716A,7429,514,N, ,VBM PORTION,20,6,9, 
LOS ANGELES,9000716A,7429,514,N,89,TOTAL,50,16,22, 
LOS ANGELES,9000766A,1013,478,N, ,POLLING PLACE,424,158,218, 
LOS ANGELES,9000766A,1013,478,N, ,VBM PORTION,1535,529,866, 
LOS ANGELES,9000766A,1013,478,N,2536,TOTAL,1959,687,1084, 
LOS ANGELES,9000789B,1016,477,N, ,POLLING PLACE,621,270,308, 
LOS ANGELES,9000789B,1016,477,N, ,VBM PORTION,1780,669,995, 
LOS ANGELES,9000789B,1016,477,N,3445,TOTAL,2401,939,1303, 
LOS ANGELES,9000803D,1018,478,N, ,POLLING PLACE,457,156,242, 
LOS ANGELES,9000803D,1018,478,N, ,VBM PORTION,1707,500,1058, 
LOS ANGELES,9000803D,1018,478,N,2826,TOTAL,2164,656,1300, 
LOS ANGELES,9000816A,7435,477,N, ,POLLING PLACE,232,72,136, 
LOS ANGELES,9000816A,7435,477,N, ,VBM PORTION,563,142,380, 
LOS ANGELES,9000816A,7435,477,N,1165,TOTAL,795,214,516, 
LOS ANGELES,9000856A,1024,477,N, ,POLLING PLACE,496,181,284, 
LOS ANGELES,9000856A,1024,477,N, ,VBM PORTION,1322,430,807, 
LOS ANGELES,9000856A,1024,477,N,2725,TOTAL,1818,611,1091, 
LOS ANGELES,9000882A,1029,477,N, ,POLLING PLACE,566,216,292, 
LOS ANGELES,9000882A,1029,477,N, ,VBM PORTION,1992,680,1155, 
LOS ANGELES,9000882A,1029,477,N,3395,TOTAL,2558,896,1447, 
LOS ANGELES,9000892A,1032,477,N, ,POLLING PLACE,725,369,302, 
LOS ANGELES,9000892A,1032,477,N, ,VBM PORTION,1674,791,800, 
LOS ANGELES,9000892A,1032,477,N,3907,TOTAL,2399,1160,1102, 
LOS ANGELES,9000896A,1033,477,N, ,POLLING PLACE,618,324,251, 
LOS ANGELES,9000896A,1033,477,N, ,VBM PORTION,1232,555,606, 
LOS ANGELES,9000896A,1033,477,N,2892,TOTAL,1850,879,857, 
LOS ANGELES,9000902B,1034,477,N, ,POLLING PLACE,503,250,223, 
LOS ANGELES,9000902B,1034,477,N, ,VBM PORTION,862,435,388, 
LOS ANGELES,9000902B,1034,477,N,2334,TOTAL,1365,685,611, 
LOS ANGELES,9000904A,1035,477,N, ,POLLING PLACE,436,216,178, 
LOS ANGELES,9000904A,1035,477,N, ,VBM PORTION,938,426,455, 
LOS ANGELES,9000904A,1035,477,N,2159,TOTAL,1374,642,633, 
LOS ANGELES,9000907A,1037,477,N, ,POLLING PLACE,508,252,216, 
LOS ANGELES,9000907A,1037,477,N, ,VBM PORTION,1388,717,605, 
LOS ANGELES,9000907A,1037,477,N,2906,TOTAL,1896,969,821, 
LOS ANGELES,9000913D,1039,477,N, ,POLLING PLACE,633,260,294, 
LOS ANGELES,9000913D,1039,477,N, ,VBM PORTION,1283,471,720, 
LOS ANGELES,9000913D,1039,477,N,2822,TOTAL,1916,731,1014, 
LOS ANGELES,9000961A,7444,514,N, ,POLLING PLACE,29,8,20, 
LOS ANGELES,9000961A,7444,514,N, ,VBM PORTION,26,7,14, 
LOS ANGELES,9000961A,7444,514,N,104,TOTAL,55,15,34, 
LOS ANGELES,9001062A,1067,477,N, ,POLLING PLACE,309,119,139, 
LOS ANGELES,9001062A,1067,477,N, ,VBM PORTION,716,306,352, 
LOS ANGELES,9001062A,1067,477,N,1948,TOTAL,1025,425,491, 
LOS ANGELES,9001280A,1092,628,N, ,POLLING PLACE,675,203,385, 
LOS ANGELES,9001280A,1092,628,N, ,VBM PORTION,1283,318,834, 
LOS ANGELES,9001280A,1092,628,N,3389,TOTAL,1958,521,1219, 
LOS ANGELES,9001345A,1098,633,N, ,POLLING PLACE,1033,287,541, 
LOS ANGELES,9001345A,1098,633,N, ,VBM PORTION,2056,554,1191, 
LOS ANGELES,9001345A,1098,633,N,4449,TOTAL,3089,841,1732, 
LOS ANGELES,9001372A,1103,628,N, ,POLLING PLACE,124,50,60, 
