,District,area_col,percent,precinct
0,1,0.019699555138000074,1.0,205-05
2,5,0.010392426614100125,0.999950548269131,206-04
4,1,0.0024126921884092666,0.5911617845724073,219-05
5,5,0.0016685800645906362,0.4088382154275949,219-05
6,1,0.002797702718999999,0.9999999999999999,220-05
7,1,0.02669986880249995,1.0000000000000002,221-05
8,1,0.0005307078599999774,1.0000000000000002,223-05
9,1,0.00047018855950003513,0.9999999999999997,224-05
10,1,0.001333063194999927,1.0000000000000002,225-05
11,1,0.001996927517560425,0.942499102454858,228-05
13,1,0.0017904907409999494,0.999999999999999,229-05
14,1,0.0007056872924999017,1.0,234-05
15,1,0.002842651593174561,0.6661830387701994,235-05
16,5,0.001424421309825503,0.33381696122979987,235-05
17,1,0.0022095524880202475,0.9915293265618684,309-07
19,1,0.0014224048929849947,0.9957100786551576,310-07
21,1,0.0006095676858282324,0.3039287094770491,318-07
22,5,0.0013960595116717237,0.6960712905229508,318-07
24,5,0.0011157302235537774,0.9999999937742032,320-07
26,5,0.000811692391731056,0.9953821386589519,323-07
27,1,0.0005129813073129767,0.5120374430922771,324-07
28,5,0.0004888620426869753,0.4879625569077228,324-07
30,5,0.0011476548136210366,0.9999996223788211,326-07
31,1,0.0017843380510000203,1.000000000000001,330-07
32,1,0.0010857444820000417,0.9999999999999976,331-07
33,1,0.00043751692799996907,1.0000000000000004,333-07
34,1,0.0005236901136738672,0.18599828898157378,334-07
35,5,0.0022918740323261415,0.8140017110184269,334-07
36,1,0.0009537749905740037,0.7388447258627532,335-07
37,5,0.00033712546142593844,0.26115527413724443,335-07
39,5,0.004936637328977641,0.9999998930400935,407-16
41,5,0.00409692437513947,0.9344731045250823,412-16
43,5,0.0009596314133246711,0.9999991745011259,413-16
45,5,0.0011865470009218202,0.9999991554676537,414-16
46,1,0.000687635701102327,0.21637232876575516,416-17
47,5,0.002490384820397724,0.7836276712342429,416-17
48,1,0.0028230805867312443,0.6940341480066476,417-17
49,5,0.0012445587287685503,0.305965851993352,417-17
50,1,0.017495053235381718,0.995431271353605,419-17
53,5,0.002379514869387288,0.9336803324712348,420-17
54,1,0.006804780619988508,0.9974667164583019,436-10
56,1,0.00035948525700001295,1.0,501-25
57,1,0.002937034191348436,0.9999998474135601,502-25
58,1,0.00025483871449999646,1.0000000000000002,503-23
59,1,0.00033461841249999826,0.9999999999999997,504-23
60,1,0.0004784419430000327,1.0000000000000009,505-25
61,1,0.0004729877809999888,0.9999999999999998,506-25
62,1,0.00016931978000000932,1.0,507-23
63,1,0.0002734716740000717,1.0,508-23
64,1,0.0001009338190000343,0.9999999999999994,509-23
65,1,0.00010438470550000121,0.9999999999999999,510-23
66,1,0.00014077080250002327,1.0000000000000002,511-23
67,1,6.323787299999902e-05,0.9999999999999996,514-23
68,1,0.00044315857450001535,0.9999999999999998,515-23
69,1,0.00010691477800001496,1.0000000000000007,516-23
70,1,5.93891044999949e-05,0.9999999999999999,517-23
71,1,8.26028680000066e-05,0.9999999999999999,518-23
72,1,0.00025920185876279034,0.9999961468896403,519-23
73,1,0.00021422237999997013,0.9999999999999999,520-23
74,1,0.00013945688399997092,1.0000000000000004,521-23
75,1,0.001013183361500036,1.0000000000000018,523-25
76,1,0.0026208359699999516,0.9999999999999992,524-25
77,1,0.0005070284880000946,0.9999999999999996,525-25
78,1,0.0013120504284999397,1.0000000000000022,526-20
79,1,0.00035459569999999815,1.0000000000000004,527-20
80,1,0.0006159367664998263,1.0000000000000009,528-20
81,1,0.0007357518835000214,1.0000000000000002,529-20
83,5,0.0027531531385603944,0.9999997706486818,9201-05
84,1,0.0008264088697490548,0.810668881801215,9202-05
85,5,0.00019300718075095167,0.1893311181987806,9202-05
87,5,0.0009739642694105883,0.9978888404669892,9203-05
89,5,0.007224173628427508,0.9979505946225566,9206-05
90,1,8.052957450002149e-05,1.0,9303-08
91,1,3.121048649999495e-05,1.0000000000000002,9303-09
92,1,0.00010125934249998042,0.9999999999999998,9304-08
93,1,0.0018860091130955526,0.9298858595819894,9306-07
95,5,0.005613856440499978,1.0000000000000002,9403-10
96,1,0.00010276428665690166,0.563650471276634,9403-14
97,5,7.955488434307642e-05,0.43634952872337773,9403-14
98,1,0.03144769058349988,1.0,9404-10
100,5,0.0007577177909999062,0.957138915982806,9404-16
101,1,0.0012256025394998457,0.8325914805309637,9404-18
102,5,0.00024643094650009435,0.1674085194690363,9404-18
103,1,0.049960356240499736,0.9999999999999988,9405-17
104,1,0.04153230678100013,1.0000000000000007,9501-20
105,1,0.004065597920000057,1.0,9501-25
106,1,0.007032882189999958,0.9999999999999997,9501-26
107,1,0.05414122626950006,1.0000000000000007,9502-20
108,1,0.0016320355454999343,1.0000000000000016,9502-21
109,1,0.017298787132000018,0.999999981039134,9502-22
110,1,0.006192953474999617,0.9999999999999974,9502-25
111,1,0.013395412948999503,1.0000000000000002,9502-26
112,1,0.00640747957200058,0.9999999999999998,9506-24
113,5,8.3026413999986e-05,0.9999999999999999,101-01
114,5,5.8371638000016676e-05,1.0000000000000002,102-01
115,5,0.00035908174200002216,1.0000000000000004,103-01
116,5,0.00014295653050001446,1.0000000000000007,104-01
117,5,0.0002196224619999733,0.9999999999999999,105-01
118,5,0.00022697960949997933,0.9999965063063098,106-01
120,5,0.00010461665899996156,0.9999975816528174,107-02
122,5,0.0003326835341078517,0.9999991376430724,108-02
125,5,8.365735600000992e-05,1.0000000000000002,109-02
126,5,0.00022001392849997222,0.9999999999999997,110-02
