,ID,District,AREA,Code,percent
1,28,34,18323.44,2610001A,0.9989740717529791
5,36,41,914.1,0050052D,0.9370043035823176
7,36,41,914.1,3750006A,0.9997199591592321
9,35,40,390.31,6850034A,0.9415035983946418
12,28,34,18323.44,1750053G,0.9999999999999947
13,28,34,18323.44,1040030A,0.710596513506772
15,35,40,390.31,1040030A,0.28892244104453285
17,33,39,1053.01,0300005A,0.9974194350270134
18,28,34,18323.44,1040001A,0.37402151356318963
19,35,40,390.31,1040001A,0.6259784864368122
20,28,34,18323.44,0090006A,0.5908528958282699
21,35,40,390.31,0090006A,0.40914710417173433
23,35,40,390.31,6850013A,0.9999999473045641
25,36,41,914.1,2350026A,0.9999505112787389
27,28,34,18323.44,0090017A,0.2093029795176305
28,35,40,390.31,0090017A,0.7906970204823524
29,28,34,18323.44,0090009A,0.9846879971393154
31,28,34,18323.44,3500014A,0.7960752571512583
32,36,41,914.1,3500014A,0.20392474285492856
34,35,40,390.31,6850030A,0.9973846694907066
35,28,34,18323.44,0090012A,0.9999539535856717
38,36,41,914.1,3500016A,0.9996499615541425
39,28,34,18323.44,0050022A,0.9783765253008918
43,36,41,914.1,3200071A,0.9978562850753344
45,33,39,1053.01,3550019B,0.9998464893054793
46,28,34,18323.44,0050014A,0.9962302723111626
49,35,40,390.31,6220167A,0.9999645360339201
50,28,34,18323.44,5000066F,0.9999999999999944
51,28,34,18323.44,5000094C,0.35674973598593623
52,33,39,1053.01,5000094C,0.6432502640140512
53,28,34,18323.44,3680002G,0.9999999999999969
54,28,34,18323.44,6300006A,0.7925796460057585
55,35,40,390.31,6300006A,0.2074203539942468
56,28,34,18323.44,3550101A,1.0000000000000009
57,28,34,18323.44,3550094A,0.9999999999999996
58,28,34,18323.44,5400223A,1.0
59,28,34,18323.44,3550024A,0.5050602547439015
60,33,39,1053.01,3550024A,0.4949397452561057
61,28,34,18323.44,3550002A,0.2402655674664291
62,33,39,1053.01,3550002A,0.7597344325335696
63,28,34,18323.44,3550107A,0.9999999999999997
64,28,34,18323.44,3550132A,1.0000000000000009
65,28,34,18323.44,3550033A,0.9999999999999992
66,28,34,18323.44,3550044B,1.0
67,28,34,18323.44,5400050A,1.0000000000000002
68,28,34,18323.44,3550082A,0.9999999999999997
69,28,34,18323.44,3550053A,0.3724725109772797
70,33,39,1053.01,3550053A,0.6275274890227494
71,28,34,18323.44,5400019A,0.9999999999999999
72,28,34,18323.44,3550045A,0.5430906376358812
73,33,39,1053.01,3550045A,0.45690936236412555
74,28,34,18323.44,1750001A,1.0000000000000007
75,28,34,18323.44,3550080A,1.0000000000000002
76,28,34,18323.44,3550038A,0.9999999999999998
77,28,34,18323.44,1750055A,0.9010502282095191
79,28,34,18323.44,5400046A,1.0000000000000002
81,33,39,1053.01,5000030A,0.9580455882631977
82,28,34,18323.44,5000002A,1.0000000000000013
83,28,34,18323.44,5000048A,0.2820623567249781
84,33,39,1053.01,5000048A,0.7179376432750202
85,28,34,18323.44,5000067B,0.9999999999999999
87,33,39,1053.01,3550022A,0.9994724090472417
89,33,39,1053.01,5000050A,0.9999385843604277
90,28,34,18323.44,0050063A,0.9624551925496394
92,28,34,18323.44,5000032A,1.0
94,33,39,1053.01,3550052A,0.9979370799415013
95,28,34,18323.44,1770001A,1.0000000000000002
96,28,34,18323.44,5000127A,1.0
97,28,34,18323.44,5000029A,0.9999999999999994
98,28,34,18323.44,5000019A,0.9522409402328653
101,33,39,1053.01,5000011A,0.9048621583865113
102,28,34,18323.44,3680001A,0.9692474198862965
104,28,34,18323.44,3550061A,1.0000000000000004
105,28,34,18323.44,5000118A,1.0000000000000002
106,28,34,18323.44,0050003A,0.9999999999999992
107,28,34,18323.44,5000020A,1.0000000000000002
108,28,34,18323.44,5000007A,0.29174775645139606
109,33,39,1053.01,5000007A,0.7082522435485995
111,33,39,1053.01,0300002A,0.9999955904887688
112,28,34,18323.44,3550058A,0.9032185157095308
115,33,39,1053.01,7900011A,0.9999984710269076
116,28,34,18323.44,5000027A,0.9999999999999996
117,28,34,18323.44,3550085A,1.0
118,28,34,18323.44,1770004A,0.9999971237662775
120,28,34,18323.44,5000024A,1.000000000000001
121,28,34,18323.44,5000134A,0.9999999999999998
