,District,area_col,percent,precinct
1,23,0.007889911858984898,0.43275822457584573,0300005A
2,27,0.010340640050297415,0.5671795970760488,0300005A
5,27,0.0477661286294787,0.9989740717529791,2610001A
7,27,0.05200520727002331,0.9999385797645163,1750001A
9,27,0.014220381828067855,0.9999583807167226,1750055A
11,23,0.04597943750639101,0.9998948829690952,7900011A
13,23,0.00013570446291168715,1.0,7900002A
14,23,0.002003945036328607,0.9982558255104861,7900008A
17,27,0.02092362567472345,0.9137669780736858,0300002A
20,28,0.014987817799058764,0.9653865553360627,5200003A
22,28,0.002777900870559742,0.9997744249095696,3750014A
24,27,0.0056422022115728545,0.9997362646538522,3700043A
25,23,0.0023691433227029184,0.9986596217470574,7900005A
27,23,0.03217099276286691,0.9121748232315162,3750005A
30,23,0.000955916739354963,0.2271521714792459,3700044A
31,27,0.003252349169484486,0.7728478285207543,3700044A
33,28,2.6641696746203514e-06,0.9948212750965432,5200014A
34,26,4.357772136017639e-05,0.9998784809919498,1000008B
37,27,0.027530342953534702,0.9995189545513047,1040030A
39,27,0.0029415256962968916,0.9999647549519424,1040002A
41,27,0.002383543669378633,0.9998912509350898,1040226A
42,26,0.00013913301148458485,0.9999711833645416,1000015A
44,26,0.0003665852947446996,0.9999910278412217,1000077A
46,26,0.0006659420300160956,0.9999809567956944,1000008A
48,26,0.0012147758278612665,0.9988809933518562,1000001E
50,26,0.00017139702916130247,0.9961639994124695,1000016A
52,26,0.0002395228762438367,0.9999962025628427,1000007A
54,26,0.0004333455561560288,0.9997537291228078,1000076A
56,26,0.0003331861652937565,0.9995511177519959,0080038A
59,32,0.005018781696536522,0.9999894021438914,0070006A
60,26,0.00020524199428476557,0.9999999999999994,0080001A
62,32,0.005475082296420105,0.9994718161369681,0070041A
63,26,0.0004615448218974415,0.998300846424798,0080047A
65,26,0.0002011997250539372,1.0000000000000004,0080043A
67,32,6.062330626970871e-05,0.996911700048989,7100007A
68,26,0.0011043906609577193,1.0000000000000009,0080050A
69,26,0.0002525034853516957,0.9999999999999991,0080012A
70,26,0.0001546809353913221,0.999999999999999,0080052A
72,32,0.0004910746440055911,0.996811534610605,1150012A
73,26,3.6238634753146265e-06,0.9333152211638931,1000006D
75,26,8.524747133715842e-05,0.99857811152263,7770011B
78,32,0.00013597623254904128,0.9972102203888713,9003465A
80,32,6.2687483743449814e-06,0.9912389184364305,9007935D
82,32,0.00020264614832789975,0.9999991299126584,9007939A
84,32,0.00015578777612880072,0.9999998456336645,9006618B
86,32,0.00013372194132776674,0.9958271530151741,9001019A
88,27,0.006444004904114135,0.9999693733387535,6820007A
91,32,0.0006634628283420711,0.9999759538497534,9006421A
93,32,1.144360474925619e-06,0.9516299555245236,1150004A
94,26,0.000701543669532286,0.9995051892252717,7770011A
96,26,0.0004850509786542524,0.9999999999999993,7770001A
97,26,0.00012224091554178195,1.0000000000000004,7770002A
99,32,0.0020059657572235674,0.9999929484759403,7100004B
101,32,0.001529060509029456,0.9999911851597298,7100002A
103,32,0.011736341022228538,0.999110093692312,4060003A
105,32,0.0005331117275635686,0.9900437843740737,7760001A
107,32,0.00042818634579893153,0.9999988341501287,2780002A
108,26,0.00019490725756817092,1.0000000000000002,1000004A
111,32,0.0007000479009666008,0.9875513250450734,9000315A
113,27,0.003630212127689306,0.999942840424248,1150001A
115,29,0.00011514933761566929,0.9892742292258553,9000036A
116,27,7.852965359969398e-07,0.5316209300900133,4700009A
117,29,6.918773139162599e-07,0.46837906990815437,4700009A
119,28,0.00034622850573720176,0.9362316684182277,0050052D
121,27,0.0005559610974523675,1.0000000000000009,1020244A
122,27,0.0004847750424111781,0.9999999999999998,6220225A
123,27,0.00020547463039042482,1.0000000000000004,9006241C
124,27,0.0008635681793002346,1.0000000000000016,9006239A
125,27,0.0003976255966375122,0.999999476368448,9006232A
127,27,1.5843354872156804e-05,0.26751777764088536,9007794A
128,32,4.33802040698714e-05,0.7324822223590242,9007794A
130,32,6.778838278166251e-05,0.9616208642887624,9001276B
131,27,8.968345899906166e-05,0.9999448454470122,9007790B
133,27,0.00017953111201094202,0.9999814064361295,9006253A
135,27,0.00011219989527866379,0.9997144800691572,9000342B
138,32,0.00010581528225279956,0.9982941595753068,9006258A
139,27,2.3100648473411463e-05,0.24465050805026414,9000343C
140,32,7.132240691899425e-05,0.755349491949685,9000343C
141,27,7.114263856745287e-05,0.999999998370196,9001805A
143,27,0.00019128191578681952,0.9999999999999999,9007774B
144,27,1.6552954372404655e-05,0.6686262370679774,5200013A
145,28,8.203708550368139e-06,0.3313737629325804,5200013A
148,29,0.0023612100513106453,0.18298610954989297,6850034A
149,30,0.010223677509039056,0.7923017995088455,6850034A
150,27,0.001335466150783042,0.9992453479635038,6220191A
152,27,0.0006096854952856297,1.0000000000000004,6220137A
153,27,0.00013354189753886486,0.9999999999999992,6220010A
154,27,0.00044357330944191594,1.0000000000000007,6220033A
155,27,0.0007787642783043755,1.0000000000000002,1040251A
156,27,0.00013367457021969624,1.0000000000000018,6220064B
157,27,0.00014995714310015685,0.9999999999999997,6220066A
158,27,0.00011405165273029174,0.9999999999999999,6220069A
159,27,0.000849745244810466,0.9999999999999997,6220094B
160,27,0.0001438927170794851,1.0000000000000004,6220148A
161,27,0.00013189376914026667,1.0000000000000007,6220028B
162,27,0.00016368749397418822,1.0000000000000002,6220078A
163,27,0.0007863647101108459,1.000000000000002,6220127A
164,27,0.00011808578729780553,1.0000000000000004,6220063A
165,27,8.183827823369692e-05,0.9999999999999996,6220018A
166,27,7.958142637790504e-05,0.9999999999999947,1750053G
167,27,0.0001477728356673561,0.9999999999999998,6220075A
168,27,0.00014200240789097706,1.0,1040003A
169,27,0.00012520799402138065,0.9999999999999998,6220116A
170,27,0.0006802429402447631,0.999999999999999,6220023A
171,27,0.0041777828328972985,1.0000000000000002,1040001A
172,27,0.00041088682248611503,1.0,6220036A
173,27,0.00025036506486414564,1.0,1040072A
174,27,0.00011545564438014313,0.9999999999999989,6220098B
175,27,0.00035444126196919443,1.0000000000000002,6220049A
176,27,0.00016820732571716117,0.9999999999999992,6220007A
177,27,0.0020974941146911764,0.9999557330873919,0090006A
179,27,0.00016954781815904692,0.9999999999999996,6220067A
180,27,0.00011618070416828682,1.0000000000000004,6220008A
181,27,0.0001511731581082049,1.0000000000000007,6220055A
182,27,6.939584378966408e-05,0.9999999999999994,6220114A
183,27,3.6552011283375994e-06,1.0,1770063P
184,27,0.00012729982175101664,0.9999999999999996,6220087A
185,27,0.00028809547673957125,0.9999999999999997,6220184A
186,27,0.0004675846573218949,1.0000000000000007,6220031A
187,27,0.00048224006221711947,1.000000000000001,6300023A
188,27,0.00010769929229431061,0.9999999999999994,6220053A
189,27,0.0002580867296575609,0.9999999999999998,6220065A
190,27,0.00010596910651314184,0.999999999999999,6220004B
191,27,0.00023842702402132197,0.9999999999999986,6220182A
193,29,0.0016560678552571418,0.9701989109437871,6850013A
194,27,0.0004306143877875891,1.0000000000000002,1040004A
195,27,8.597841994403039e-05,0.9990491572878081,9000362A
197,27,6.87483289800846e-05,0.9993923220369051,9000352A
199,27,6.497302476113436e-06,0.7977037568523495,0090017A
200,29,1.6477042639208375e-06,0.2022962431475908,0090017A
202,32,8.036357038026071e-05,0.9999908228935654,9007803A
204,29,0.00037670555389374334,0.9954029748170596,0090009A
207,29,1.675847328022586e-08,0.9981922962692379,9002541A
209,29,9.227762998011208e-07,0.9974100800216906,9002902A
210,27,0.00022201821063444396,1.0000000000000004,9006246A
211,27,0.00019119060136092624,0.9999999999999991,9000350A
212,27,0.00010490134141056708,0.9999999999999992,9006247A
213,27,2.5663114753472536e-07,0.9999999999999998,9001744A
214,27,0.00023719379124677954,1.0000000000000004,9006251A
215,27,0.0001151544923397831,0.773822988084804,9007785A
216,32,3.365795458013393e-05,0.226177011915182,9007785A
217,27,0.0007654988012176084,0.9997720900952359,9003613A
219,27,0.00011069215682544971,1.0000000000000004,9003614A
220,27,0.00012637728362208572,0.9999999999999991,9000334A
221,27,9.51752849122517e-06,1.0000000000000004,9002622A
222,27,4.247114965740346e-07,1.0,9002579A
224,29,0.00013066638165273176,0.9365811944568132,6850017A
226,29,0.004456111168634145,0.9910165768534502,6850030A
227,27,5.30275668161684e-06,0.9998727711753589,9002694A
229,27,0.00020225116448510346,0.9999999999999996,6220153A
230,27,0.0013931802982711642,0.8003261224613757,0090012A
231,29,0.00034758544605620296,0.199673877538587,0090012A
232,27,0.007788332713174137,0.557204231850007,0050022A
233,28,0.006181309010227357,0.4422322036968494,0050022A
236,28,0.006924664088187522,0.9772276923747296,3200071A
237,27,2.584970581075573e-05,1.0000000000000004,3550019B
238,27,0.0001924679583963063,0.9999999999999983,6220222A
239,27,0.00016175056047159847,0.9999999999999998,6220173A
240,27,0.004614042476120821,0.9966844183876628,0050014A
242,27,0.0007960457187260393,0.9999999999999993,6220167A
243,27,6.818284766358538e-06,0.9999999999999999,0300002D
244,27,0.0002186025923054934,1.0000000000000009,6220179A
245,27,8.237101302176369e-06,1.0,5000001C
246,27,2.6990799048037034e-05,0.9999999999999944,5000066F
247,27,4.58148444607354e-05,1.0000000000000056,5000094C
248,27,8.233008059632137e-06,0.9999999999999969,3680002G
249,27,0.000556658915702767,1.0000000000000004,6220224A
250,27,0.006712649079471075,0.9999999999999987,6300006A
252,32,0.00011215474632397979,0.9996358553876605,9000364A
255,32,0.00018051519994051438,0.9887518559043104,9000072A
