,District,area_col,percent,precinct
1,34,0.049941175709999924,0.9999999997396938,1750001A
3,34,0.03992608006559453,0.9999998761860662,2610001A
5,34,0.0029381449649999954,0.9999999055526597,0050001B
7,34,1.1667806500001189e-05,0.9999999999999997,0050001G
8,34,2.2921150000110825e-07,1.0,0050001N
9,34,0.0036632010299998538,0.9999999999999992,0050003A
10,34,0.000891573577499944,1.0000000000000002,0050004B
11,34,0.00011296469249997324,1.0000000000000013,0050004C
12,34,0.00017455584450003887,0.9999999999999997,0050004D
13,34,1.5256180000078263e-06,0.9999999999999999,0050008D
16,41,0.010250906675855601,0.9995998249193135,0050011A
17,34,6.745807500000898e-06,1.0,0050012A
18,34,0.013083548321255105,0.9999999556890049,0050014A
21,34,0.007295952995209675,0.9999995248340459,0050023A
23,34,0.0006010230675000328,0.9999999999999971,0050025C
25,40,4.8288137549442765e-06,0.9999866956550665,0050027A
26,34,4.109618999997322e-05,0.9999999999999979,0050028A
27,40,4.507678100002483e-05,1.0000000000000007,0050031C
28,40,2.0919350000096906e-07,0.9999999999999999,0050036A
29,41,1.0866659500000427e-05,0.9999999999999999,0050041A
30,34,0.0031279156685001253,0.9999999884907361,0050042A
32,41,0.00017622958450005434,1.0000000000000007,0050055A
33,41,1.3019100000044753e-07,1.0,0050056A
34,34,0.00015838428749997768,1.0000000000000002,0050057B
35,34,0.005336222948999873,0.9999999999999996,0050063A
37,40,0.0008599501606760574,0.9999980977725048,0090002A
38,40,1.1543697500019591e-05,0.9999999999999996,0090002E
39,34,0.012072100606414666,0.9999999744381471,0090003A
41,34,0.0026210569569999876,0.9999995433142143,0090006A
44,40,7.541968650002914e-05,0.999998939270133,0090007C
45,34,2.696464843740655e-06,0.9995906847050808,0090007D
47,34,0.00037339170399998287,0.9999812077555856,0090009A
50,40,0.00018829782849999908,0.9871581666252454,0090011A
51,34,4.729478999988943e-06,1.0,0090021A
52,40,5.530222499981309e-06,0.9999999999999997,0090022A
53,34,0.00034391967450007443,0.9999999418468897,0090023A
56,39,0.02052305536300007,0.9999999942990957,0300002A
57,34,1.2806468000001817e-05,1.0000000000000007,0300005A
59,39,0.010248187736499976,0.999999831287272,0300006B
61,40,0.0005084927555823493,0.9999969303145921,1020003A
62,40,0.0004960188334999597,0.9999999999999998,1020007A
63,34,1.002184550001275e-05,1.0000000000000002,1020007J
64,40,0.0004329790145000626,1.0,1020010A
66,40,0.003632281503999833,0.9969325772531833,1020192A
68,40,0.006419177591135025,0.9999980714287733,1040001A
69,34,0.00813323279800759,0.9999999966197636,1040006A
71,34,0.012128677896091738,0.9999999915565153,1040012A
73,34,0.007965328990897467,0.999866405967134,1040022A
77,40,0.005052581270299637,0.9999999969915212,1040030A
79,40,0.00038327215292056747,0.9991853881553362,1040072A
80,34,0.0001500347534999219,0.999999999999993,1750005H
81,34,0.0018887376469998688,0.9999999999999997,1750052A
82,34,2.4142057000029673e-05,1.0000000000000009,1750052B
83,34,0.00401198051650028,1.000000000000001,1750052D
84,34,0.011761312082500025,0.9999999999999983,1750056A
85,34,0.0010159941870000332,0.9999999999999996,1750061D
86,34,1.8306641500008154e-05,0.9999999999999998,1770001B
87,34,0.0010609881700000025,0.9999999999999998,1770002B
88,34,0.0005487104100000064,0.9999999708407222,1770004A
91,39,0.0006784557118561185,0.9999994816998479,1770008A
92,39,9.367758000014488e-06,0.9999999999999982,1770008E
93,39,8.57128825000085e-05,1.0000000000000002,1770008H
94,34,1.8023191500044114e-05,1.0000000000000013,1770009C
95,34,0.002072158778856152,0.9999998341614379,1770015A
97,34,0.00028485076300001745,0.9999996735133543,1770016A
99,34,9.96706000002088e-07,0.9999999999999998,1770018A
100,39,0.0004743716699999851,0.9999999999999992,1770019A
101,39,0.00018285502500000938,0.9999999999999997,1770019B
102,34,9.401588650003024e-05,0.9999999999999996,1770072A
103,34,0.004003141963000083,0.9999999999999996,2620001A
105,41,5.567344626470169e-06,0.9998690977231802,3500002A
107,41,1.1308852302697428e-06,0.9994884771097376,3500011A
108,34,2.668574999977129e-07,1.0,3500014A
110,41,0.008716613396509573,0.9999998486235384,3500016A
111,34,1.3567027999985984e-05,1.0000000000000002,3550001E
112,39,1.3535472999972182e-05,1.0000000000000002,3550004F
113,39,0.0003222732180000163,1.0000000000000004,3550013A
114,39,2.249483299999005e-05,0.9999999999999963,3550019B
115,39,0.00023204872500003234,0.9999999999999996,3550028A
116,39,0.0004683654424999984,0.9999999999999998,3550034A
117,34,0.0012543657925000765,1.0000000000000002,3550044B
118,34,6.148844399989813e-05,1.0,3550044C
120,39,0.00018272049699998854,0.999998374569216,3550049A
122,39,0.0002060210094999838,0.9999998228336349,3550052A
123,34,0.0007132381554999891,0.9999999999999996,3550058A
124,34,0.0001961396379999732,1.0000000000000004,3550059A
125,34,0.0002489537245000107,0.9999999999999989,3550061A
127,39,0.00042742997249999547,0.9999998151744321,3550065B
129,39,4.925742499981398e-06,0.9999985788964756,3550065D
130,39,9.756798500003039e-05,1.0000000000000002,3550065G
131,34,0.0003410217144999024,0.9999999999999997,3550069A
132,39,0.00013551817650001157,1.0,3550075A
133,34,0.00024883648950000975,1.0,3550080A
134,34,0.005016089138999997,1.0000000000000009,3550084A
135,34,6.587236999966432e-06,0.9999999999999999,3550085B
136,34,0.004724751978499847,1.0000000000000009,3550086A
137,34,0.00025849505499999753,1.0000000000000004,3550094A
138,39,0.00014714996750004816,1.0000000000000002,3550102A
139,34,0.00016853799200000646,0.9999999999999997,3550104A
140,34,1.5849099000020987e-05,1.0,3550131B
141,34,0.0002733798579999637,1.0000000000000007,3550132A
142,34,0.0004019465744999523,1.0000000000000002,3550133A
143,39,0.0002008933904999949,1.0,3550138A
144,34,0.00011596402499995792,0.9999955805454571,3550145A
146,34,2.5562670000033e-06,0.9999999999999999,3550158B
147,34,0.00042665145350002877,0.9999999999999998,3550160A
148,34,0.003887356088000188,1.0000000000000002,3680001A
149,34,0.0017775847344999702,0.9999999999999999,3680001C
150,34,1.0628960499946631e-05,1.0000000000000036,3680002G
151,34,0.00010341896549999227,1.0000000000000002,3680003D
152,34,5.470599999951935e-08,1.0000000000000002,3680003F
153,34,0.0009824451535892906,0.9999980121976408,3700003A
156,39,0.004529148519589388,0.9999992435867114,3700042A
157,41,0.005961401156499964,0.9999999999999996,3750010A
158,34,2.8871207708089665e-06,0.9996659623694322,3750019A
160,34,9.885232598447355e-07,0.9996665428011386,3750019B
163,41,0.004094715991983062,0.9999996563823508,3750046A
164,39,0.0036802877860001204,1.0000000000000004,5000005B
166,39,0.00034080688900000315,0.9999999031709806,5000007A
167,34,0.004056334459500034,1.0000000000000002,5000013A
168,34,2.0290356999969836e-05,0.9999999999999961,5000013C
169,34,0.00015156452849993308,1.0000000000000002,5000013K
170,34,1.8668545500045245e-05,1.0,5000013S
171,34,0.00011564308550006415,0.9999999999999998,5000014E
172,34,0.0004276270434365863,0.9999992024283995,5000019A
174,34,0.00024377140350000242,1.0,5000020A
