,District,area_col,percent,precinct
1,19,5.436851941087177e-06,0.997253784557596,7208
2,17,5.707496623715628e-07,0.11447376269954858,7209
3,19,4.415106038633338e-06,0.8855262372995117,7209
4,17,1.7998446212319867e-06,0.31581716320237835,7207
5,19,3.899163637161952e-06,0.6841828367981293,7207
7,19,5.895732419365307e-06,0.996672374035283,9248
9,19,5.747049613984697e-06,0.9966481280109525,9242
11,19,8.928203332330114e-06,0.9989577136407561,9241
13,19,8.05006719009085e-06,0.9999265746077349,9226
14,17,3.082512856283562e-06,0.12394693475526118,7202
15,19,2.1787104632604152e-05,0.8760530652447084,7202
17,19,1.2096245832824198e-05,0.9999996361286061,9247
18,17,4.840191949089652e-06,0.9999996430168041,7206
20,17,9.058442433294386e-06,0.852424957743806,9245
21,19,1.5682319161747076e-06,0.1475750422571868,9245
22,17,2.961713476597605e-06,0.24959539129924044,9246
23,19,8.904344871595401e-06,0.7504046087005053,9246
24,17,2.9544924115371747e-06,0.2781469229236026,9238
25,19,7.667564379464413e-06,0.7218530770762869,9238
27,19,9.47429715056972e-06,0.9999984543284836,9255
29,19,2.1785572521490264e-05,0.9999999582005769,9258
30,17,2.8243131651512216e-06,0.6419446348168296,9257
31,19,1.5753079422896812e-06,0.35805536518223,9257
32,17,3.170308730267285e-05,0.9982242181297517,7301
34,17,9.439415066501601e-06,1.0000000000000002,7304
35,17,9.084311858829914e-06,1.0000000000000002,7305
36,17,4.3623948571618415e-05,1.0000000000000009,7302
37,17,8.762259031453764e-06,1.0000000000000002,7307
38,17,1.076876728234793e-05,0.9999999999999999,7308
39,17,7.835518556648715e-06,0.832271329488362,7303
40,19,1.5791017468813257e-06,0.16772867051142848,7303
41,17,2.196219040015576e-05,0.9999999999999997,7349
42,17,2.9412338177621752e-05,1.0000000000000002,7348
43,17,4.714367264839804e-06,1.0000000000000002,7345
44,17,4.749807450761676e-06,0.9999999999999998,7344
45,17,4.7256192846397074e-06,1.0,7347
46,17,4.710418631691984e-06,1.0,7346
47,17,7.56823676067387e-06,0.9999999999999999,7339
48,17,5.489355540003443e-06,1.0000000000000002,7341
49,17,3.1425209766690716e-06,1.0,7343
50,17,4.75561342186634e-06,1.0,7342
51,17,4.741418785019968e-06,0.9999999999999998,7334
52,17,7.83479192840804e-06,0.9999999280807977,7332
54,17,6.012164787053032e-06,1.0000000000000002,7338
55,17,5.863636729988099e-06,0.9999999999999997,7327
56,17,5.052447358543505e-06,1.0000000000000002,7335
57,17,5.418140858406628e-06,1.0,7333
58,17,7.687274513386495e-06,0.9999996659345582,7323
60,17,4.484267009643474e-06,1.0,7324
61,17,1.0494170825458791e-05,0.9894804394929726,7319
63,17,5.741756686302015e-06,0.9999999999999999,7316
64,17,6.521003074882279e-06,1.0,7315
65,17,3.756408202278885e-05,0.9999999999999997,7317
66,17,3.608689262715885e-05,0.9999999999999998,7329
67,17,3.5716369575788675e-05,0.9999999999999997,7331
68,17,8.542539534341245e-06,0.9999998834851138,7306
70,17,5.079040982541044e-06,0.5618987686130996,7312
71,19,3.9600266685165e-06,0.4381012313866431,7312
72,17,8.255426663967742e-06,1.0,7313
73,17,6.281119732038882e-06,1.0000000000000002,7314
74,17,1.277513534558952e-05,1.0000000000000002,7328
75,17,6.783431000851569e-06,1.0000000000000002,7322
76,17,6.680731048356633e-06,0.9999999999999999,7326
77,17,5.970767325615368e-06,0.9999999999999999,7325
78,17,4.8211278013938236e-06,1.0,7321
79,17,1.1478357078967166e-05,0.9999999999999999,7337
80,17,7.758119649388971e-06,0.9999999999999998,7336
82,19,6.209278768593797e-06,0.9415639862999724,7318
83,17,6.304710082590262e-06,0.9999999999999998,7503
84,17,5.631825799181737e-06,0.9999646012870466,7505
86,17,1.1277135057623262e-05,0.9999997901224456,7504
88,17,9.528496453496598e-06,0.9999999999999998,7502
89,17,6.2736371192280814e-06,0.9999996783995703,7501
92,19,4.38807531680854e-06,0.9999999442216768,9504
94,19,9.063293430673486e-06,0.9972444279582491,9503
95,17,1.6534087125473988e-05,0.9994049294026338,9505
98,19,5.738061484174218e-06,0.9999994328026016,7557
100,19,1.2587310613979748e-05,0.9999999998080512,7556
101,17,6.267225381111301e-06,0.9999999999999999,7531
103,19,7.79427306779937e-06,0.9991383945599772,7528
104,17,9.507212521540026e-06,0.7545145120268344,7522
105,19,3.0932244084278977e-06,0.2454854879731262,7522
106,17,6.3018674963636605e-06,0.9999999999999999,7524
107,17,3.1446963582043936e-06,1.0,7512
108,17,7.869968171665582e-06,0.9999999999999998,7513
109,17,1.1155793399826693e-05,1.0000000000000002,7514
110,17,1.2289564585231374e-05,1.0000000000000002,7516
111,17,1.324840076190175e-05,1.0,7508
112,17,1.0076545193770199e-05,1.0000000000000109,7506
114,17,9.348978545976321e-06,1.0000000000000004,7511
115,17,3.4719176543374016e-06,0.7026002161539893,7509
116,19,1.4696089414626007e-06,0.2973997838466924,7509
117,17,7.727344131572021e-06,1.0,7525
118,17,1.3200789073830067e-05,1.0,7507
119,17,3.282900162284453e-06,0.5120323674266802,7523
120,19,3.1286088967685546e-06,0.4879676325733397,7523
121,17,7.930637028980173e-06,0.9999998430154812,7529
123,17,6.320495578898546e-06,0.9999339420678485,9512
125,17,3.1583229079041218e-06,0.6663737728096054,9511
126,19,1.5812437388806113e-06,0.333626227189252,9511
127,17,1.5929050056020857e-06,0.1990374700018463,9507
128,19,6.410135856944323e-06,0.8009625299984959,9507
129,17,7.936000942276573e-06,0.9999999999999998,9506
130,17,6.389688785394635e-06,1.0,9508
131,17,7.856846952613122e-06,1.0000000000000002,9513
132,17,1.555924917156343e-06,0.24753805050090066,7537
133,19,4.729674060484778e-06,0.7524619494987101,7537
134,17,6.267600169062801e-06,0.9999999999999999,7539
135,17,6.3331128233014455e-06,0.98672701341554,7538
137,17,6.303237431030333e-06,0.9999999999999999,7541
138,17,6.271032015349621e-06,0.9999999999999999,7542
139,17,7.860605924725219e-06,1.0,7543
140,17,1.0151956364973072e-05,0.9999999999999998,7545
141,17,7.508783643839634e-06,1.0000000000000002,7544
142,17,6.262349842269827e-06,1.0,7532
143,17,1.2427212312221084e-05,0.9999999999999999,7526
144,17,1.2557210649377644e-05,1.0000000000000004,7515
145,17,3.151144335181211e-06,1.0000000000000002,7603
146,17,3.1310829046313163e-06,1.0,7607
147,17,3.161478945092201e-06,1.0000000000000002,7604
148,17,3.1439419641963607e-06,1.0,7605
149,17,3.136881576051882e-06,0.9999999999999999,7609
150,17,3.1370802598017756e-06,0.9999999999999999,7615
151,17,1.5627743060047106e-06,1.0,7608
152,17,5.774776364385615e-06,0.9999999999999999,7612
153,17,6.720539636418411e-05,1.0000000000000004,7646
154,17,1.6936744120832462e-05,1.0,7639
155,17,1.1319233881029426e-05,1.0000000000000007,7644
156,17,1.6799754631017295e-05,1.0,7618
157,17,1.4792611227836762e-05,0.9999999999999998,7619
158,17,7.889785220453788e-06,1.0,7621
159,17,3.740181482176689e-05,0.9999999999999992,7635
160,17,1.3383311502233557e-05,1.0,7641
161,17,1.3510660860356962e-05,0.9999999999999999,7643
162,17,2.1391901742676496e-05,1.0000000000000007,7645
163,17,2.2695544406267763e-05,0.9999999999999997,7642
164,17,7.2861955501490574e-06,0.9999999999999999,7611
165,17,9.994126956300295e-05,1.0000000000000004,7648
166,17,0.00017412820841572696,1.0000000000000002,7647
167,17,4.6212181769175186e-06,1.0,7601
168,17,4.703256465201862e-06,1.0000000000000002,7602
169,17,7.011770242611685e-06,0.9999999999999999,7606
170,17,1.2364671233587752e-05,0.9999999999999999,7617
171,17,4.705528019813417e-06,1.0,7614
172,17,9.545034410051125e-06,1.0,7613
173,17,1.143886929958704e-05,1.0,7654
174,17,2.8302557334411892e-05,0.9999999999999999,7651
175,17,1.3352031154539747e-05,1.0000000000000002,7652
176,17,2.296767953887742e-05,0.9999999999999997,7636
177,17,4.87410850972655e-05,1.0000000000000004,7632
178,17,2.568965982224568e-05,1.0,7628
179,17,1.1523261701298606e-05,1.0,7629
180,17,6.268654232041345e-06,1.0000000000000004,7622
181,17,8.208534744138997e-06,0.9999999999999998,7623
182,17,1.3064564525936282e-05,1.0000000000000002,7624
183,17,1.0186613362290734e-05,0.9999999999999999,7631
184,17,1.8497539351301894e-05,1.0,7633
185,17,1.623233540473752e-05,1.0,7626
186,17,1.1723650130020658e-05,1.0000000000000002,7634
187,17,3.6030472704189525e-05,1.0000000000000002,7625
188,17,1.0095540914221885e-05,1.0000000000000007,7656
190,19,2.3268058727535233e-05,0.972816853272122,9727
191,17,1.898247145555444e-05,0.9743779547016983,9748
193,17,3.518458654960331e-05,0.9762485729062139,9728
196,19,6.756799138761264e-06,0.9999971626458262,7709
197,17,1.8174495174238733e-05,0.7836562166968892,7708
198,19,5.017428512456788e-06,0.21634378330311355,7708
199,17,1.5052466720628197e-05,0.8660906307844721,9737
200,19,2.327315701211086e-06,0.13390936921549254,9737
201,17,1.8538733956429888e-05,0.9247687897594857,9736
203,17,4.1040576828605165e-05,1.0000000000000002,7706
204,17,2.5350893325449776e-05,1.0000000000000007,7707
