,District,area_col,percent,precinct
1,12,0.018688379817658,0.9880892461489639,7131
4,12,0.00024414217966962166,0.9969814557711281,7533
6,12,7.931327288278824e-06,1.0,1012MB
7,12,0.0002192351513712069,0.9999999999999992,7121MB
8,12,0.00012554133936740867,0.9999999999999993,2301
9,12,0.00011361388388212953,1.0000000000000004,7315MB
10,12,0.0005728783854079891,1.0000000000000007,7203
11,12,0.0016252070976862693,1.0000000000000004,7225MB
12,12,0.0013002830413923003,0.9999024944993864,5199-5
13,12,0.00017648353552513263,1.0,2509
14,12,0.00029317574603642725,1.0,7229
15,12,0.0001626944181555737,0.9999999999999998,2502
16,12,0.00010962349372403711,1.0000000000000002,2508
17,12,4.9918565938090315e-05,0.9999999999999998,2503
19,2,0.0014157763861277995,0.9999674635139008,7102MB
20,12,0.0006594376612072271,1.0000000000000002,2523
21,12,0.00012201722206106044,1.0,2504
22,12,0.002295082447300561,1.0,7201
23,12,0.00011643343439930102,0.9999999999999997,2530
24,12,0.0002703875269670234,0.9999999999999994,7228
25,12,0.0003305363015143683,0.9999999999999996,7230
26,12,0.00014253540591069942,0.9999999999999998,2520
27,12,0.00013055434417088663,1.0,7231
28,12,0.00014966783300946702,1.0,2519
29,12,0.00025018600209999683,1.0,7219
30,12,6.975314286516014e-05,0.9999999999999998,2515
32,4,0.0011475635920173337,0.9983729674759504,1077
33,12,0.0006923648728881344,0.9999999999999999,7130
34,12,3.220468464781551e-05,0.9999999999999998,2505MB
35,12,0.0010323852026765425,0.9999999999999998,7207
36,12,0.00013377694353442255,1.0000000000000002,2514
37,12,0.00013507556449160105,1.0,2026MB
38,12,3.258680173999185e-05,1.0,3621MB
39,12,0.00011456451791935337,0.9999999999999999,2531
40,12,0.0001699630448795195,0.9999999999999999,2540
41,12,3.473095594009065e-05,1.0,2506MB
42,12,0.0019858260316681646,0.8656395099745854,7129
43,4,0.0003082305690136197,0.13436049002540365,7129
44,12,8.540450430851424e-05,0.9999999999999999,2513MB
46,4,0.00015494211280713346,0.9996458089192415,7134
47,12,0.00213565520433042,0.9999999999999998,7202
49,4,0.0001594149747401028,0.9999928318114398,7135
50,12,0.007122220711453024,0.9999999999999997,7204
51,12,0.0003808840717694609,0.9999999999999997,2036MB
52,12,0.0002680775000955552,0.9999999999999992,2028MB
53,12,0.00024394658016672975,1.0000000000000002,2034MB
54,12,0.0011162346254633474,1.0,7206MB
55,12,0.0018162126055130522,0.9999999999999999,7209
56,12,1.1198972303630445e-05,1.0,2014MB
58,4,0.0001552141411523772,0.9979500748782694,1023
59,12,0.00010704845144563833,1.0000000000000002,7212
60,12,0.0007359516214602852,0.9999999999999997,2007MB
61,12,3.013886844553775e-05,1.0,1085MB
62,12,0.00037740368647338574,0.16463209291514802,7104MB
63,2,0.0019139556342181007,0.8349110861965201,7104MB
65,12,4.16486392259255e-06,0.9069128278174203,1002MB
68,2,0.0027482888376364934,0.9923938148706294,7103MB
71,4,5.672351183820278e-07,0.9958725334885835,1814MB
72,12,6.369699845110235e-05,1.0000000000000002,2012MB
73,12,0.0006488003404058655,1.0,7132MB
74,12,0.015137598221214982,0.9999999999999997,7210
75,12,0.0001868775610404133,0.9999999999999996,2601
76,12,0.00046056670721478124,0.9999999999999994,7220MB
78,4,8.159020014012817e-06,0.9994020568294019,1070MB
79,12,0.000625437259029904,1.0000000000000004,1047MB
80,12,5.5886014945907576e-05,1.0,2015MB
81,12,9.166394307516511e-05,1.0,2606
82,12,0.00023845843060319187,1.0000000000000004,7213
84,4,2.80006130670761e-05,0.9995127219897667,1052MB
85,12,5.0930441429746714e-05,0.9999999999999996,3605
86,12,2.9888508526361365e-06,0.9858543660699547,1069MB
88,12,0.0001268412413308938,0.9999999999999998,3603
89,12,0.001907257871904795,0.9995700278246453,2020MB
91,12,4.8647744625160465e-05,0.18332429002741146,7123
92,4,0.00021671667935752712,0.8166757099725626,7123
93,12,0.00014404753439143793,0.9999999999999998,3602
94,12,0.00015371405420153887,1.0000000000000002,3601
95,12,0.0003427733239191976,0.9999999999999996,7128MB
96,12,0.00011212486102762683,0.9999999999999998,3016MB
98,4,0.0003643202890793019,0.9573821484143955,1054MB
99,12,0.0002610810010545589,0.9999999999999998,2041MB
100,12,0.0014071713886114735,1.0000000000000002,7216
101,12,0.0007223889661478066,1.0,1094MB
102,12,0.00024008412779952183,1.0000000000000007,7318
104,2,0.0011532741378809139,0.9840502103902019,7548MB
105,12,0.00010944121094133925,0.9890590639303062,1061MB
107,12,0.00041189763636538285,0.9939452971812939,7526MB
109,12,0.0009800875622263709,0.9999999999999996,7211
110,12,0.0004874909389654089,0.9999898179479805,7127MB
112,12,0.00019743140862072116,0.9999999999999996,7222MB
113,12,0.00011299387132191292,1.0000000000000004,3609
115,12,0.00013243374005879452,1.0,1092MB
116,12,0.0013666369979470217,0.9665388382090043,7119MB
118,12,4.852540025997803e-05,0.9999999999999999,1090MB
119,12,6.424160012114551e-05,1.0000000000000002,2609MB
120,12,9.035235498368565e-06,1.0000000000000004,7223MB
122,4,0.00012144289538394383,0.9495238054667459,1046MB
123,12,8.819562622464543e-05,1.0,7221MB
124,12,2.1128553417092e-05,0.9999999999999997,7111MB
125,12,8.830454027713106e-05,1.0,2604MB
126,12,8.281397696248321e-05,1.0000000000000004,7217MB
127,12,0.00021351098674105741,1.0000000000000007,3611
128,12,0.0004374867274344854,0.9998488928886744,2016MB
131,2,0.0004578911860364801,0.9993051570056579,7547MB
132,12,0.00026610015397681385,1.0000000000000007,1093MB
133,12,8.007745227532356e-05,0.9999999999999997,1057MB
134,12,0.0005706036346129125,0.9989886203211934,7215
136,12,0.000172650505897727,1.0000000000000002,3616
137,12,0.0035736629502547226,0.9876500465852127,7116
139,12,8.955847776319818e-05,0.9999999999999997,3618
140,12,4.205318666560999e-05,0.2276088577283033,5199-3
141,12,2.7285724806383583e-05,0.9999999999999999,1088MB
142,12,7.83966912735806e-05,0.4243146064612104,5199-3
143,12,0.000277083447772596,1.0,7218MB
145,2,0.00013468211524743,0.9987035987350745,7141
146,12,0.0003437038598916027,0.997873882242409,1136
148,12,1.5835570796972178e-05,0.11154399734202325,7136
149,2,0.00012613146619575767,0.888456002657964,7136
150,12,9.256512757668868e-05,0.2494701279473453,7525
151,2,0.000278481812344793,0.7505298720525931,7525
152,12,0.00023421649429952734,1.0,7313MB
153,12,0.0002958619899946209,0.9999999999999998,7114MB
154,12,0.001083077399320675,0.7862012530121574,7523
155,2,0.0002945309359129655,0.2137987469878475,7523
156,12,0.0003617632437175035,1.0000000000000007,3017MB
157,12,0.00036857685377110776,1.0000000000000002,7110MB
158,12,0.00010998860834663211,0.9999999999999999,7549MB
159,12,5.5603102389864886e-05,0.6989831715447531,5058MB
160,2,2.3945454218428286e-05,0.3010168284553765,5058MB
162,2,0.0015605914003549279,0.9994949134563406,7522
163,12,0.00010578886682337627,0.1475494211131736,7521
164,2,0.0006111835619754764,0.8524505788868313,7521
165,12,0.00016908323681394494,0.8224402497589228,7516
166,2,3.6504022398509515e-05,0.17755975024106835,7516
167,12,0.0001799653721585126,0.28770025814619477,5199-2
170,12,0.0006248482636191274,1.0000000000000004,3011
171,12,0.002156648059521159,1.0000000000000027,7115
172,12,0.00023528616886780927,1.0000000000000002,7531MB
173,12,0.0015876985075055912,0.9999999999999999,7539
174,12,1.7420508219191204e-05,1.0,3021MB
177,2,0.00017576640941449745,0.9989896712345511,7519
179,2,0.00014599885723379414,0.9999540560679933,5074MB
180,12,4.812519417094956e-05,1.0000000000000002,7540MB
181,12,9.367504977433077e-06,1.0000000000000002,7535MB
182,12,0.00020973947596527746,0.33529840021395296,5199-2
184,12,0.0001178058669425532,0.9999999999999998,3110
186,2,0.00016676035337746714,0.9786273511807931,7529MB
188,2,0.00016677170459435258,0.2666083029629467,5199-2
189,12,5.146836984195653e-05,1.0000000000000002,1067MB
190,12,9.14232436434002e-06,0.9999999999999997,3005MB
191,12,7.269585791261433e-06,1.0,5108MB
192,12,3.788889433620899e-06,1.0,3024MB
193,12,0.00010622069899955288,0.9999999999999998,7139
194,12,7.026998998894176e-06,0.9999999999999999,5107MB
195,12,1.5768783969769482e-06,0.9999999999999998,1089MB
196,12,7.815243156267816e-05,0.9999999999999997,5101
198,2,0.0001841993222865532,0.9925060249956532,7532MB
199,12,0.0002517728733386792,1.0000000000000004,7554
200,12,1.4159248023535914e-05,1.0,5122MB
201,12,7.912820965365857e-06,1.0000000000000002,5110MB
202,12,0.00017280972367853775,1.0,5105
203,12,0.0008662748870348808,0.9999996434003037,1017
205,12,2.4024766560173725e-06,0.9999999999999998,3104MB
206,12,0.0004368340166963803,0.996750510045187,5104
208,12,0.0002854311017442337,1.0,7530MB
209,12,0.0025572876520174614,0.9969162211599124,7120MB
211,12,8.47085908980885e-07,0.9999999999999998,3001MB
212,12,0.0005832595841378652,1.0000000000000004,7314MB
213,12,0.00025542738050052103,1.0,7138
214,12,7.986309319312632e-05,0.9997090027326994,7536
216,12,0.000788014124380502,0.9999981333382538,1053MB
219,2,3.0228522201816957e-05,0.9590666651745329,7316MB
220,12,0.0001536388757713949,0.9999999999999998,1110
222,2,8.540298278212073e-05,0.999246332618523,7538
223,12,0.0003227143482883948,0.7291208346270741,7109
224,2,0.00011989314962167375,0.27087916537291146,7109
226,2,7.980402473896315e-05,0.9815351301327019,5113
228,2,9.850830481052673e-05,0.9649649328236282,7304
230,2,5.180427738265771e-05,0.9448640494419734,5123
231,12,0.00011276357822025624,0.8436067620354714,7137
232,2,2.0904836134529458e-05,0.15639323796453078,7137
234,2,7.531595258761523e-05,0.9763310904299388,7303
235,12,2.4613206214295063e-05,0.1588346094334171,7140
236,2,0.00013034802233717407,0.8411653905665837,7140
237,12,0.0013883150042364625,0.9212152088706443,1080MB
240,2,0.00018740429928762437,0.998853727728527,7537
241,12,8.865817899085517e-05,0.9999999999999999,1079MB
242,12,5.786241945548508e-06,0.9999999999999999,1091MB
245,12,2.183089359700383e-06,0.9999999999999998,2027MB
246,12,0.00010849838138285056,1.0000000000000002,1122
247,12,0.0012301266711257314,0.7365993431803556,5199-8
248,12,1.3881899157606965e-05,0.9999999999999998,1078MB
250,2,0.00027547940881111763,0.9978816141642094,7106MB
252,2,0.00013257890826935526,0.9529514104692267,1128
254,2,0.00012796334475257377,0.9949803443783052,1116
256,2,0.00026902011238972353,0.9980310220437417,1121
257,12,0.0025478892489150186,0.9659644718514253,7124
260,12,1.0833276122571213e-05,1.0000000000000004,2029MB
261,12,0.0012392909178021122,1.0000000000000002,7205MB
262,12,0.00011430334187596864,1.0000000000000007,7226MB
263,12,8.944224146571457e-05,1.0,2032MB
264,12,9.935532252051764e-06,0.10106994647851114,5075MB
265,2,8.836799513883321e-05,0.8989300535208682,5075MB
266,12,0.0002574333883295523,0.9999999999999998,7224MB
267,12,0.0006936707117083274,1.0,7208MB
269,12,1.0466518563686601e-05,1.0,5114MB
270,12,3.172508790946123e-05,0.9999036929258567,2037MB
272,12,3.2482033515004396e-05,0.9999999999999996,2038MB
273,12,6.827198556970922e-05,0.9999848946276018,5029MB
275,12,5.146024466478534e-06,1.0000000000000009,2039MB
276,12,5.9348613242725645e-05,1.0000000000000002,2042MB
277,12,0.00028198035856822224,1.0000000000000002,1124
278,12,0.00023464724145254908,1.0000000000000002,7227MB
279,12,0.00017302322699087855,0.9998361057399693,7301
281,12,7.668307475940495e-05,0.9676245406195232,7553
283,12,0.00018800830669765743,0.9999999999999997,2022MB
284,12,4.192397399691035e-05,1.0000000000000002,2536
285,12,5.5885703754030885e-06,1.0,5124MB
286,12,6.6468087041522e-05,1.0000000000000007,5121MB
288,2,1.634122413831724e-05,0.9963026941381663,1133MB
289,12,0.0002098854987585689,0.9148903776783327,7108
291,12,0.00012625772342452288,0.9999999999999991,7112MB
292,12,0.000306314051540191,0.9999999999999994,7113MB
293,12,0.0009266182143825786,0.9999999999999999,1076MB
294,12,3.1459970123498845e-05,1.0,1106
295,12,4.8054530266366553e-05,1.0000000000000002,7541
296,12,1.3842160526798333e-05,0.9995961017800468,1130MB
298,12,0.00010633636973176303,1.0000000000000007,3113
299,12,0.0001823583860527566,1.0000000000000002,7312
